pernicieux	ADJ	pernicieux
vous	PRON	vous
Manhattan	PROPN	Manhattan
alors	ADV	alors
superstition	NOUN	superstition
concernées	ADJ	concerner
Si	SCONJ	si
Chase	NOUN	chase
d'	ADP	de
juste	ADV	juste
,	PUNCT	,
la	DET	le
je	PRON	je
,	PUNCT	,
vous	PRON	vous
laquelle	PRON	lequel
personnes	NOUN	personne
.	PUNCT	.
romans	NOUN	roman
vous	PRON	vous
les	DET	le
suis	AUX	être
disparu	VERB	disparaître
ce	PRON	ce
toutes	ADJ	tout
que	PRON	que
sont	AUX	être
“	VERB	“
les	DET	le
tranquille	VERB	tranquille
Bank	X	Bank
a	AUX	avoir
estimez	VERB	estimer
vieille	ADJ	vieux
.	PUNCT	.
pour	ADP	pour
”	ADJ	”
,	PUNCT	,
selon	ADP	selon
tranquille	ADJ	tranquille
.	PUNCT	.
Donc	ADV	donc
de	ADP	de
«	NOUN	«
Certes	ADV	certes
êtes	AUX	être
faites	VERB	faire
la	DET	le
Angleterre	PROPN	Angleterre
P.D.G.	ADV	p.d.g.
jadis	ADV	jadis
il	PRON	il
.	PUNCT	.
histoire	NOUN	histoire
plus	ADV	plus
vers	ADP	vers
mais	CCONJ	mais
plaisanterie	NOUN	plaisanterie
littéraire	ADJ	littéraire
un	DET	un
plus	ADV	plus
facétieux	ADJ	facétieux
n'	ADV	n'
la	DET	le
traces	NOUN	trace
moins	ADV	moins
dirigé	VERB	diriger
ou	CCONJ	ou
la	DET	le
refusant	VERB	refuser
oblique	ADJ	oblique
est	VERB	être
frivolité	NOUN	frivolité
demeure	VERB	demeure
regard	NOUN	regard
quelques	DET	quelque
réprobation	NOUN	réprobation
dirigée	VERB	diriger
peser	VERB	peser
admettre	NOUN	admettre
Le	DET	le
la	DET	le
dans	ADP	dans
sent	VERB	sentir
qu'	SCONJ	que
certain	ADJ	certain
contre	ADP	contre
toute	DET	tout
ou	CCONJ	ou
plus	ADV	plus
roman	NOUN	roman
elle	PRON	lui
qu'	SCONJ	que
même	ADV	même
le	DET	le
d'	ADP	de
en	PRON	en
une	DET	un
:	PUNCT	:
moins	ADV	moins
“	ADJ	“
ne	ADV	ne
-	PROPN	-
ayant	VERB	avoir
que	ADV	que
Tout	ADV	tout
facétie	NOUN	facétie
œuvre	NOUN	œuvre
autre	ADJ	autre
pour	ADP	pour
,	PUNCT	,
n'	ADV	n'
,	PUNCT	,
?	PUNCT	?
à	ADP	à
“	PRON	“
.	PUNCT	.
attendent	VERB	attendre
”	ADJ	”
peut-être	ADV	peut-être
orthodoxie	NOUN	orthodoxie
les	DET	le
est-elle	VERB	est-elle
pas	ADV	pas
l'	DET	le
toujours	ADV	toujours
(	PUNCT	(
une	DET	un
feindre	VERB	feindre
de	ADP	de
qui	PRON	qui
”	ADJ	”
passer	VERB	passer
est	VERB	être
le	PRON	le
de	ADP	de
histoire	NOUN	histoire
en	PRON	en
du	ADP	de
lecteurs	NOUN	lecteur
,	PUNCT	,
dire	VERB	dire
d'	ADP	de
après	ADP	après
tout	ADV	tout
honte	ADJ	hont
réussit	VERB	réussir
une	DET	un
chose	NOUN	chose
toujours	ADV	toujours
discernera	VERB	discerner
,	PUNCT	,
soi	ADV	soi
ambitieux	ADJ	ambitieux
de	ADP	de
à	ADP	à
)	PUNCT	)
de	ADP	de
tolérance	NOUN	tolérance
degré	ADJ	degré
d'	ADP	de
intelligence	NOUN	intelligence
vie	NOUN	vie
on	PRON	on
à	ADP	à
le	DET	le
ainsi	ADV	ainsi
renoncement	NOUN	renoncement
,	PUNCT	,
désir	NOUN	désir
renonçant	VERB	renoncer
.	PUNCT	.
la	DET	le
elle	PRON	lui
,	PUNCT	,
soit	VERB	être
car	CCONJ	car
elle	PRON	lui
refusera	NOUN	refusera
reproduire	VERB	reproduire
que	SCONJ	que
que	SCONJ	que
quelque	DET	quelque
et	CCONJ	et
vraiment	ADV	vraiment
apologétique	NOUN	apologétique
vite	ADV	vite
l'	DET	le
lucidité	NOUN	lucidité
Ce	DET	ce
toute	DET	tout
la	DET	le
il	PRON	il
histoire	NOUN	histoire
empreinte	ADJ	empreindre
de	ADP	de
qu'	SCONJ	que
va	VERB	aller
qu'	PRON	qu'
,	PUNCT	,
chances	NOUN	chance
accorde	VERB	accorde
aussi	ADV	aussi
qu'	SCONJ	que
considérait	VERB	considérer
générosité	NOUN	générosité
lui	PRON	lui
,	PUNCT	,
part	NOUN	part
-	PUNCT	-
et	CCONJ	et
qui	PRON	qui
La	DET	le
paradis	NOUN	paradis
n'	ADV	n'
peine	NOUN	peine
de	ADP	de
évangélique	ADJ	évangélique
favorable	ADJ	favorable
une	DET	un
acte	NOUN	acte
vieille	ADJ	vieux
notre	DET	notre
cette	DET	ce
en	ADP	en
condition	NOUN	condition
à	ADP	à
nos	DET	notre
moins	ADV	moins
d'	ADP	de
catégorique	ADJ	catégorique
obtenir	VERB	obtenir
est	AUX	être
le	PRON	le
étouffement	NOUN	étouffement
travestie	NOUN	travestie
d'	ADP	de
-	PUNCT	-
à	ADP	à
hostilité	NOUN	hostilité
qu'	PRON	qu'
.	PUNCT	.
le	DET	le
étroite	VERB	étroite
,	PUNCT	,
tentative	NOUN	tentative
à	ADP	à
roman	NOUN	roman
de	ADP	de
envers	NOUN	envers
,	PUNCT	,
une	DET	un
vraiment	ADV	vraiment
offensante	ADJ	offensant
James	PROPN	James
beaucoup	ADV	beaucoup
qu'	SCONJ	que
attacher	VERB	attacher
française	ADJ	français
cette	DET	ce
.	PUNCT	.
»	PUNCT	»
être	AUX	être
M.	NOUN	m.
,	PUNCT	,
L'	DET	le
fait	NOUN	fait
roman	NOUN	roman
de	ADP	de
.	PUNCT	.
en	ADP	en
d'	ADP	de
Traduction	NOUN	traduction
de	ADP	de
était	AUX	être
théâtre	NOUN	théâtre
la	DET	le
fiction(Klincksieck	NOUN	fiction(klincksieck
Art	PROPN	Art
seule	ADJ	seul
à	ADP	à
)	PUNCT	)
-	PUNCT	-
Henry	PROPN	Henry
raison	NOUN	raison
hostilité	NOUN	hostilité
1978	NUM	1978
moins	ADV	moins
,	PUNCT	,
un	DET	un
reproduire	VERB	reproduire
d'	ADP	de
de	ADP	de
la	DET	le
vie	NOUN	vie
La	DET	le
pièce	NOUN	pièce
s'	PRON	se
de	ADP	de
est	AUX	être
qu'	SCONJ	que
et	CCONJ	et
une	DET	un
,	PUNCT	,
en	ADP	en
tué	DET	tué
Sibon	PROPN	Sibon
d'	ADP	de
l'	DET	le
je	PRON	je
aurais	AUX	avoir
aimé	NOUN	aimé
un	DET	un
,	PUNCT	,
En	ADP	en
avec	ADP	avec
jamais	ADV	jamais
humain	ADJ	humain
père	NOUN	père
assassiné	VERB	assassiner
encore	ADV	encore
autre	ADJ	autre
avait	VERB	avoir
Zéraffa	PROPN	Zéraffa
ai	AUX	avoir
1	NUM	1
,	PUNCT	,
vu	VERB	voir
mon	DET	mon
un	PRON	un
certaine	NOUN	certaine
en	PRON	en
fait	NOUN	fait
pouvoir	VERB	pouvoir
,	PUNCT	,
n'	ADV	n'
il	PRON	il
personne	NOUN	personne
parler	VERB	parler
être	NOUN	être
façon	NOUN	façon
supprimé	VERB	supprimer
Bizarrement	ADV	bizarrement
,	PUNCT	,
j'	PRON	je
quelqu'	DET	quelque
M.	NOUN	m.
,	PUNCT	,
expérience	NOUN	expérience
.	PUNCT	.
44	NUM	44
il	PRON	il
pendant	ADP	pendant
,	PUNCT	,
«	VERB	«
l'	DET	le
qu'	PRON	qu'
fantassin	VERB	fantassin
traversé	VERB	traverser
,	PUNCT	,
,	PUNCT	,
qui	PRON	qui
de	ADP	de
France	PROPN	France
nous	PRON	nous
sous	ADP	sous
de	ADP	de
lui	PRON	lui
drapeaux	NOUN	drapeau
un	DET	un
monde	NOUN	monde
compétence	NOUN	compétence
et	CCONJ	et
ce	PRON	ce
le	DET	le
que	PRON	que
»	PUNCT	»
en	ADP	en
les	DET	le
en	ADP	en
la	DET	le
45	NOUN	45
appelons	VERB	appeler
avait	AUX	avoir
ce	DET	ce
dans	ADP	dans
-	NOUN	-
entreprise	NOUN	entreprise
servi	VERB	servir
;	PUNCT	;
Seconde	ADJ	second
domaine	NOUN	domaine
avait	AUX	avoir
