commençait	VERB	commencer
Victor	PROPN	Victor
heures	NOUN	heure
la	DET	le
depuis	ADP	depuis
visiteurs	NOUN	visiteur
1	NUM	1
onze	NUM	onze
.	PUNCT	.
bancs	NOUN	banc
Victor	PROPN	Victor
était	AUX	être
l'	PRON	l'
avait	AUX	avoir
un	PRON	un
heures	NOUN	heure
aux	ADP	à
personnel	NOUN	personnel
une	DET	un
cour	NOUN	cour
réservé	VERB	réserver
appelait	VERB	appeler
exaspérer	VERB	exaspérer
assis	ADJ	assis
jardin	AUX	jardin
sur	ADP	sur
attente	NOUN	attente
qui	PRON	qui
,	PUNCT	,
honneur	NOUN	honneur
moins	ADV	moins
l'	DET	le
des	ADP	de
là	ADV	là
,	PUNCT	,
du	ADP	de
à	ADP	à
,	PUNCT	,
dix	NUM	dix
le	DET	le
le	DET	le
comme	ADP	comme
Il	PRON	il
quart	NOUN	quart
,	PUNCT	,
d'	ADP	de
était	AUX	être
était	AUX	être
Elle	PRON	lui
.	PUNCT	.
là	ADV	là
été	VERB	être
un	DET	un
ces	DET	ce
bon	ADJ	bon
encore	ADV	encore
toujours	ADV	toujours
était	AUX	être
,	PUNCT	,
le	DET	le
il	PRON	il
faudrait	VERB	falloir
de	ADP	de
retard	NOUN	retard
elle	PRON	lui
à	ADP	à
être	AUX	être
mauvaise	ADJ	mauvais
quand	SCONJ	quand
circonstances	NOUN	circonstance
l'	PRON	l'
calmer	VERB	calmer
ailleurs	ADV	ailleurs
retard	NOUN	retard
de	ADP	de
,	PUNCT	,
elle	PRON	lui
serait	VERB	être
Catherine	NOUN	catherine
Il	PRON	il
jour	NOUN	jour
D'	ADP	de
trouvait	VERB	trouver
faire	VERB	faire
s'	PRON	se
moyen	NOUN	moyen
.	PUNCT	.
dans	ADP	dans
visage	NOUN	visage
sa	DET	son
de	ADP	de
efforça	VERB	efforcer
,	PUNCT	,
liesse	NOUN	liesse
,	PUNCT	,
.	PUNCT	.
en	ADP	en
c'	PRON	ce
ce	DET	ce
humeur	NOUN	humeur
et	CCONJ	et
était	AUX	être
de	ADP	de
cinquantaine	NOUN	cinquantaine
d'	ADP	de
d'	ADP	de
n'	ADV	n'
impression	NOUN	impression
raglan	NOUN	raglan
.	PUNCT	.
vêtu	VERB	vêtir
avec	ADP	avec
moyenne	ADJ	moyen
paraissait	VERB	paraître
sa	DET	son
costume	NOUN	costume
homme	NOUN	homme
bâti	NOUN	bâti
chevrons	NOUN	chevron
d'	ADP	de
un	DET	un
,	PUNCT	,
imperméable	ADJ	imperméable
doute	NOUN	doute
était	AUX	être
pas	ADV	pas
bien	ADV	bien
coupé	VERB	couper
à	ADP	à
,	PUNCT	,
vigueur	NOUN	vigueur
un	DET	un
faute	NOUN	faute
négligence	NOUN	négligence
de	ADP	de
Victor	PROPN	Victor
d'	ADP	de
une	DET	un
un	DET	un
bien	ADV	bien
.	PUNCT	.
taille	NOUN	taille
donnant	VERB	donner
Il	PRON	il
était	AUX	être
années	NOUN	année
sans	ADP	sans
une	DET	un
qui	PRON	qui
,	PUNCT	,
et	CCONJ	et
grand	ADJ	grand
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
au	ADP	au
trop	ADV	trop
hiver	VERB	hiver
bleus	ADJ	bleu
nouée	VERB	nouer
fatigué	VERB	fatiguer
de	ADP	de
une	DET	un
Il	PRON	il
la	DET	le
tignasse	NOUN	tignasse
choisie	VERB	choisir
devait	VERB	devoir
cheveux	ADJ	cheveux
les	DET	le
été	AUX	être
boue	NOUN	boue
très	ADV	très
lui	PRON	lui
avait	AUX	avoir
;	PUNCT	;
