langage	NOUN	langage
Dormir	NOUN	dormir
Voguant	VERB	voguer
ce	DET	ce
,	PUNCT	,
;	PUNCT	;
Prologue	PROPN	Prologue
.	PUNCT	.
zézaiement	NOUN	zézaiement
toujours	ADV	toujours
du	ADP	de
début	NOUN	début
avaient	AUX	avoir
la	DET	le
l'	PRON	l'
de	ADP	de
maintenant	NOUN	maintenant
pénétrer	VERB	pénétrer
,	PUNCT	,
soir	NOUN	soir
à	ADP	à
réussi	ADV	réussi
le	DET	le
de	ADP	de
jusqu'	ADP	jusque
Jésus	PROPN	Jésus
copiant	VERB	copier
le	DET	le
ténèbres	NOUN	ténèbre
les	DET	le
sur	ADP	sur
et	CCONJ	et
avait	VERB	avoir
avril	NOUN	avril
voix	NOUN	voix
protégée	VERB	protéger
primitif	ADJ	primitif
mais	CCONJ	mais
enveloppés	NOUN	enveloppé
à	ADP	à
les	DET	le
électriques	ADJ	électrique
ce	DET	ce
vents	NOUN	vent
âpres	ADJ	âpre
,	PUNCT	,
auprès	ADV	auprès
sanctuaire	NOUN	sanctuaire
de	ADP	de
dans	ADP	dans
et	CCONJ	et
,	PUNCT	,
l'	PRON	l'
avaient	AUX	avoir
les	PRON	le
-	PRON	-
pluie	NOUN	pluie
Orateurs	NOUN	orateur
en	ADP	en
trois	NUM	trois
endroit	NOUN	endroit
,	PUNCT	,
En	ADP	en
;	PUNCT	;
ils	PRON	il
convaincus	ADJ	convaincre
ci	NOUN	ci
occasions	NOUN	occasion
s'	PRON	se
retrouvée	VERB	retrouver
-	NOUN	-
d'	DET	d'
laisser	VERB	laisser
Orateurs	NOUN	orateur
fois	NOUN	fois
-	PUNCT	-
en	PRON	en
aller	VERB	aller
de	ADP	de
après	ADP	après
avaient	AUX	avoir
la	PRON	le
étaient	VERB	être
Jésus	ADV	jésus
minuit	NOUN	minuit
cette	DET	ce
de	ADP	de
l'	PRON	l'
avait	AUX	avoir
autres	ADJ	autre
découverte	VERB	découvrir
.	PUNCT	.
quand	SCONJ	quand
à	ADP	à
cet	DET	ce
peu	ADV	peu
les	DET	le
les	DET	le
paix	NOUN	paix
,	PUNCT	,
paquet	NOUN	paquet
ce	DET	ce
,	PUNCT	,
Jésus	PROPN	Jésus
ils	PRON	il
de	ADP	de
mais	CCONJ	mais
heures	NOUN	heure
frémissants	NOUN	frémissant
n'	ADV	n'
et	CCONJ	et
craché	VERB	cracher
de	ADP	de
le	DET	le
Chi	PROPN	Chi
avaient	AUX	avoir
cesse	NOUN	cesse
;	PUNCT	;
dessus	ADV	dessus
et	CCONJ	et
de	DET	de
l'	PRON	l'
noirs	ADJ	noir
,	PUNCT	,
eu	VERB	avoir
Hô	ADP	hô
depuis	ADP	depuis
le	DET	le
uriné	VERB	uriner
persuader	VERB	persuader
les	DET	le
nuages	NOUN	nuage
Minh	PROPN	Minh
,	PUNCT	,
les	DET	le
avait	AUX	avoir
de	ADP	de
défier	ADJ	défier
lui	PRON	lui
imiter	VERB	imiter
Orateurs	NOUN	orateur
autres	ADJ	autre
presque	ADV	presque
avaient	AUX	avoir
juré	VERB	jurer
de	ADP	de
soir	NOUN	soir
deux	NUM	deux
que	SCONJ	que
pendant	ADP	pendant
-	PUNCT	-
de	ADP	de
ses	DET	son
douleur	NOUN	douleur
lui	PRON	lui
.	PUNCT	.
Sauveur	PROPN	Sauveur
contractaient	VERB	contracter
empirer	VERB	empirer
tête	NOUN	tête
ses	DET	son
os	NOUN	os
Orateurs	PROPN	Orateurs
elle	PRON	lui
de	ADP	de
et	CCONJ	et
tendus	ADJ	tendre
décharges	NOUN	décharge
gonflaient	ADV	gonflaient
provoquée	VERB	provoquer
bras	NOUN	bras
-	PUNCT	-
d'	ADP	de
tenait	VERB	tenir
ses	DET	son
au-dessus	ADV	au-dessus
les	DET	le
yeux	NOUN	oeil
lui	PRON	lui
les	DET	le
muscles	NOUN	muscle
cessait	VERB	cesser
sa	DET	son
,	PUNCT	,
voix	NOUN	voix
dans	ADP	dans
ne	ADV	ne
La	DET	le
brûlaient	NOUN	brûlaient
des	DET	un
,	PUNCT	,
des	ADP	de
frémissantes	ADJ	frémissant
faisaient	VERB	faire
vibrer	VERB	vibrer
par	ADP	par
pierre	NOUN	pierre
qui	PRON	qui
;	PUNCT	;
électriques	ADJ	électrique
en	ADP	en
qu'	SCONJ	que
La	DET	le
.	PUNCT	.
de	ADP	de
pas	ADV	pas
savait	VERB	savoir
