radiophonique	NOUN	radiophonique
vie	NOUN	vie
qui	PRON	qui
d'	ADP	de
:	PUNCT	:
un	DET	un
La	DET	le
,	PUNCT	,
de	ADP	de
temps	NOUN	temps
peu	ADV	peu
de	ADP	de
ose	VERB	ose
XVII	NUM	XVII
depuis	ADP	depuis
écriture	NOUN	écriture
dans	ADP	dans
évoquer	VERB	évoquer
un	DET	un
esprit	NOUN	esprit
plongé	VERB	plonger
à	ADP	à
aventures	NOUN	aventure
je	PRON	je
a	AUX	avoir
mène	VERB	mener
interminable	ADJ	interminable
feuilleton	ADJ	feuilleton
d'	ADP	de
particulier	ADJ	particulier
se	PRON	se
Les	DET	le
quelque	DET	quelque
chose	NOUN	chose
.	PUNCT	.
m'	PRON	me
,	PUNCT	,
état	NOUN	état
l'	DET	le
peine	NOUN	peine
résume	VERB	résume
J'	PRON	je
vie	NOUN	vie
maintenant	ADV	maintenant
à	ADP	à
bien	ADV	bien
que	PRON	que
professionnelle	ADJ	professionnel
Louis	PROPN	Louis
ma	DET	mon
du	ADP	de
Comme	ADP	comme
XVII	NUM	XVII
cours	NOUN	cours
ce	DET	ce
imagine	VERB	imagine
.	PUNCT	.
Louis	PROPN	Louis
j'	PRON	je
à	ADP	à
avenir	NOUN	avenir
.	PUNCT	.
encore	ADV	encore
allumé	VERB	allumer
changent	VERB	changer
-là	PROPN	-là
m'	PRON	me
épisodes	NOUN	épisode
à	ADP	à
des	ADP	de
je	PRON	je
de	DET	de
,	PUNCT	,
programmes	NOUN	programme
,	PUNCT	,
ne	ADV	ne
mon	DET	mon
retour	NOUN	retour
,	PUNCT	,
années	NOUN	année
.	PUNCT	.
Rosal	PROPN	Rosal
guère	NOUN	guère
Mais	CCONJ	mais
,	PUNCT	,
Radio-Mundial	PROPN	Radio-Mundial
café	NOUN	café
au	ADP	au
soir	NOUN	soir
nouveaux	ADJ	nouveau
Voilà	VERB	voilà
ajoutant	VERB	ajouter
Aventures	NOUN	aventure
pour	ADP	pour
l'	DET	le
prochaines	ADJ	prochain
les	DET	le
de	ADP	de
ai	AUX	avoir
aux	ADP	à
silence	NOUN	silence
radio	NOUN	radio
les	PRON	le
au	ADP	au
.	PUNCT	.
Sirvent	ADV	sirvent
la	DET	le
je	PRON	je
de	ADP	de
,	PUNCT	,
évasion	NOUN	évasion
du	ADP	de
aventures	NOUN	aventure
qui	PRON	qui
l'	DET	le
tombée	NOUN	tombée
Carlos	PROPN	Carlos
XVII	NUM	XVII
soir	NOUN	soir
micro	NOUN	micro
où	PRON	où
de	ADP	de
voix	NOUN	voix
C'	PRON	ce
,	PUNCT	,
était	AUX	être
,	PUNCT	,
le	DET	le
du	ADP	de
une	PRON	un
avais	NOUN	avai
la	DET	le
heure	NOUN	heure
Temple	NOUN	temple
des	ADP	de
justement	ADV	justement
,	PUNCT	,
entamait	VERB	entamer
La	DET	le
Louis	PROPN	Louis
imaginées	ADJ	imaginer
multiples	ADJ	multiple
telles	ADJ	tel
après	ADP	après
son	DET	son
l'	DET	le
.	PUNCT	.
que	SCONJ	que
Sirvent	ADV	sirvent
,	PUNCT	,
toutes	ADJ	tout
mon	DET	mon
bien	ADV	bien
Tétouan	PROPN	Tétouan
ou	CCONJ	ou
côté	NOUN	côté
lisait	VERB	lire
aussi	ADV	aussi
à	ADP	à
d'	DET	d'
,	PUNCT	,
en	ADP	en
Algésiras	PROPN	Algésiras
--	PUNCT	--
espagnole	ADJ	espagnol
italien	NOUN	italien
du	ADP	de
autre	ADJ	autre
des	DET	un
,	PUNCT	,
égarés	VERB	égarer
--	PUNCT	--
existent	VERB	exister
en	ADP	en
auditeurs	NOUN	auditeur
langue	NOUN	langue
émissions	NOUN	émission
en	ADP	en
puisque	SCONJ	puisque
Gibraltar	PROPN	Gibraltar
le	PRON	le
langues	ADJ	langue
pour	ADP	pour
anglais	VERB	angler
ou	CCONJ	ou
hypothétiques	ADJ	hypothétique
ces	DET	ce
de	ADP	de
en	ADP	en
un	DET	un
lire	VERB	lire
d'	ADP	de
aurait	AUX	avoir
en	ADP	en
français	ADJ	français
de	ADP	de
feuilleton	NOUN	feuilleton
pu	VERB	pouvoir
Radio-Mundial	PROPN	Radio-Mundial
speaker	NOUN	speaker
aventures	NOUN	aventure
la	DET	le
n'	ADV	n'
,	PUNCT	,
réflexion	NOUN	réflexion
des	ADP	de
,	PUNCT	,
je	PRON	je
,	PUNCT	,
feutrée	ADJ	feutré
--	PROPN	--
à	ADP	à
-là	PROPN	-là
qu'	SCONJ	que
en	ADP	en
Je	PRON	je
étouffaient	ADV	étouffaient
entraîné	VERB	entraîner
d'	ADP	de
oui	NOUN	oui
qu'	SCONJ	que
m'	PRON	me
XVII	NUM	XVII
de	ADP	de
Sirvent	ADV	sirvent
plus	ADV	plus
écrire	ADJ	écrir
Les	DET	le
continuerai	VERB	continuer
cela	PRON	cela
ai	VERB	avoir
Louis	PROPN	Louis
plus	ADV	plus
la	DET	le
ce	DET	ce
de	ADP	de
de	ADP	de
parasites	NOUN	parasite
.	PUNCT	.
a	AUX	avoir
pas	ADV	pas
soir	NOUN	soir
chose	NOUN	chose
l'	DET	le
habitude	NOUN	habitude
tout	ADJ	tout
voix	NOUN	voix
dont	PRON	dont
tant	ADV	tant
--	DET	--
reconnaîtrais	VERB	reconnaître
en	PRON	en
oisif	NOUN	oisif
et	CCONJ	et
,	PUNCT	,
d'	ADP	de
ils	PRON	il
un	DET	un
traduction	NOUN	traduction
Elles	PRON	lui
de	ADP	de
vue	NOUN	vue
de	ADP	de
de	ADP	de
Radio-Mundial	PROPN	Radio-Mundial
ne	ADV	ne
peu	ADV	peu
pas	ADV	pas
rien	PRON	rien
j'	PRON	je
un	DET	un
n'	ADV	n'
la	DET	le
,	PUNCT	,
rapportent	VERB	rapporter
à	ADP	à
et	CCONJ	et
je	PRON	je
vaut	VERB	valoir
ainsi	ADV	ainsi
.	PUNCT	.
que	SCONJ	que
.	PUNCT	.
littéraire	ADJ	littéraire
le	DET	le
me	PRON	me
volontiers	ADJ	volontier
argent	NOUN	argent
cela	PRON	cela
être	AUX	être
D'	ADP	de
sentiment	NOUN	sentiment
à	ADP	à
un	DET	un
point	NOUN	point
ai	VERB	avoir
voudront	VERB	vouloir
fait	NOUN	fait
espagnole	ADJ	espagnol
tout	ADV	tout
il	PRON	il
texte	NOUN	texte
et	CCONJ	et
était	AUX	être
m'	PRON	me
préoccupation	NOUN	préoccupation
mon	DET	mon
fur	NOUN	fur
et	CCONJ	et
plus	ADV	plus
XVII	NUM	XVII
,	PUNCT	,
de	ADP	de
les	DET	le
style	NOUN	style
-t	PART	-t
ma	DET	mon
chargé	VERB	charger
pas	ADV	pas
le	DET	le
