justifia	VERB	justifier
Le	DET	le
à	ADP	à
dans	ADP	dans
celle	PRON	celui
dérivant	ADJ	dérivant
PROLOGUE	ADJ	prologu
tout	ADV	tout
exploitation	NOUN	exploitation
-	PROPN	-
orbite	NOUN	orbite
croise	ADJ	crois
de	ADP	de
.	PUNCT	.
Le	DET	le
la	DET	le
bar	NOUN	bar
1685-Toro	NUM	1685-Toro
—	VERB	—
l'	DET	le
un	DET	un
l'	DET	le
son	DET	son
-	PROPN	-
est	AUX	être
Pors	ADV	pors
ce	DET	ce
qui	PRON	qui
Terre	NOUN	terre
mine	NOUN	mine
fait	NOUN	fait
temps	NOUN	temps
Coz	PROPN	Coz
régulièrement	ADV	régulièrement
de	ADP	de
Pors	ADV	pors
un	DET	un
construit	VERB	construire
de	ADP	de
astéroïde	NOUN	astéroïde
insignifiant	ADJ	insignifiant
ferronickel	NOUN	ferronickel
un	DET	un
dont	PRON	dont
l'	DET	le
ancienne	ADJ	ancien
Coz	PROPN	Coz
astricule	NOUN	astricule
minière	ADJ	minier
,	PUNCT	,
coriaces	NOUN	coriace
bar	NOUN	bar
lui-même	PRON	lui-même
un	DET	un
,	PUNCT	,
lec	ADV	lec
Le	DET	le
définit	NOUN	définit
drogues	ADJ	drogue
propriété	NOUN	propriété
cent	NUM	cent
douze	NOUN	douze
(	PUNCT	(
plus	ADV	plus
sont	AUX	être
ni	CCONJ	ni
-	PUNCT	-
—	PUNCT	—
boissons	NOUN	boisson
Breton	PROPN	Breton
Kéfé	PROPN	Kéfé
!	PUNCT	!
les	DET	le
l'	DET	le
Yanik	NOUN	yanik
astéroïde	NOUN	astéroïde
les	DET	le
plus	ADP	plus
les	DET	le
?	PUNCT	?
—	PRON	—
ni	CCONJ	ni
la	DET	le
ans	NOUN	an
)	PUNCT	)
de	ADP	de
,	PUNCT	,
,	PUNCT	,
dont	PRON	dont
)	PUNCT	)
,	PUNCT	,
authentique	ADJ	authentique
il	PRON	il
âgé	ADJ	âgé
de	ADP	de
(	PUNCT	(
et	CCONJ	et
se	PRON	se
les	DET	le
comme	SCONJ	comme
Mondes	NOUN	monde
ne	ADV	ne
de	ADP	de
la	DET	le
pendant	ADP	pendant
touché	VERB	toucher
exotiques	NOUN	exotique
poignée	NOUN	poignée
époque	NOUN	époque
il	PRON	il
quatre-vingt-quinze	NUM	quatre-vingt-quinze
ans	NOUN	an
ce	PRON	ce
personne	PRON	personne
bout	NOUN	bout
Grand	ADJ	grand
jamais	ADV	jamais
de	ADP	de
vers	ADP	vers
Fleur	PROPN	Fleur
cependant	ADV	cependant
sinistre	ADJ	sinistre
une	DET	un
venir	VERB	venir
a	AUX	avoir
à	ADP	à
les	DET	le
Nouveaux	PROPN	Nouveaux
Exode	NOUN	exode
.	PUNCT	.
cristaux	NOUN	cristal
à	ADP	à
(	PUNCT	(
,	PUNCT	,
Il	PRON	il
n'	ADV	n'
,	PUNCT	,
à	ADP	à
le	DET	le
bout	NOUN	bout
il	PRON	il
acheta	VERB	acheter
pour	ADP	pour
y	PRON	y
a	VERB	avoir
)	PUNCT	)
semblent	VERB	sembler
une	DET	un
où	PRON	où
rocher	VERB	rocher
bar	NOUN	bar
songeait	VERB	songer
dix-sept	NUM	dix-sept
Terre	NOUN	terre
dans	ADP	dans
de	ADP	de
ne	ADV	ne
de	ADP	de
senso	NOUN	senso
de	ADP	de
fit	VERB	faire
donc	ADV	donc
—	NOUN	—
832	NUM	832
à	ADP	à
anciennes	ADJ	ancien
kilomètres	NOUN	kilomètre
mais	CCONJ	mais
de	ADP	de
pestiférée	ADJ	pestiférer
de	ADP	de
civilement	NOUN	civilement
-	NOUN	-
s'	PRON	se
millions	NOUN	million
établir	VERB	établir
1685-Toro	NOUN	1685-toro
un	DET	un
galeries	NOUN	galerie
A	ADP	à
ans	NOUN	an
hôtel	NOUN	hôtel
moins	ADV	moins
installer	VERB	installer
l'	DET	le
cent	NUM	cent
-	NOUN	-
la	DET	le
les	DET	le
responsable	ADJ	responsable
,	PUNCT	,
âge	NOUN	âge
fougueux	ADJ	fougueux
Yanik	NOUN	yanik
Kéfélec	PROPN	Kéfélec
.	PUNCT	.
à	ADP	à
—	PRON	—
de	ADP	de
néanmoins	ADV	néanmoins
fortune	NOUN	fortune
,	PUNCT	,
commerciales	NOUN	commerciale
de	ADP	de
soleil	NOUN	soleil
quatre	NUM	quatre
m2	NOUN	m2
fréquences	ADJ	fréquence
sur	ADP	sur
berceaux	ADJ	berceal
de	ADP	de
kilomètres	NOUN	kilomètre
deux	NUM	deux
Terre	NOUN	terre
surface	ADJ	surfac
.	PUNCT	.
par	ADP	par
pubs	NOUN	pub
engloutit	NOUN	engloutit
guidage	NOUN	guidage
commandés	ADJ	commander
balises	NOUN	balise
amassée	VERB	amasser
à	ADP	à
atterrissage	NOUN	atterrissage
sa	DET	son
toute	ADJ	tout
sa	DET	son
Il	PRON	il
et	CCONJ	et
jusqu'	ADP	jusque
illégalement	ADV	illégalement
douze	ADJ	douz
par	ADP	par
satelliser	VERB	satelliser
d'	ADP	de
(	PUNCT	(
faisceaux	NOUN	faisceau
calme	ADJ	calme
-	PUNCT	-
à	ADP	à
autour	ADV	autour
sur	ADP	sur
six	NUM	six
milliards	NOUN	milliard
,	PUNCT	,
bâtir	VERB	bâtir
quatorze	NUM	quatorze
la	DET	le
émettant	VERB	émettre
trente	NUM	trente
dans	ADP	dans
la	DET	le
misère	NOUN	misère
kilomètres	NOUN	kilomètre
dans	ADP	dans
)	PUNCT	)
de	ADP	de
condamnée	VERB	condamner
dans	ADP	dans
cent	NUM	cent
millions	NOUN	million
—	SYM	—
Toute	DET	tout
et	CCONJ	et
et	CCONJ	et
et	CCONJ	et
ne	ADV	ne
frôlait	VERB	frôler
pendant	ADP	pendant
chic	VERB	chic
car	CCONJ	car
planète	NOUN	planète
opération	NOUN	opération
bar	NOUN	bar
,	PUNCT	,
tous	ADJ	tout
les	DET	le
Toro	PROPN	Toro
quinze	NUM	quinze
Terre	NOUN	terre
cette	DET	ce
vécut	VERB	vivre
de	ADP	de
années	NOUN	année
son	DET	son
ans	NOUN	an
la	DET	le
,	PUNCT	,
personne	ADJ	personn
à	ADP	à
suivantes	ADJ	suivant
s'	PRON	se
moins	ADV	moins
de	ADP	de
les	DET	le
l'	DET	le
approcher	VERB	approcher
!	PUNCT	!
voulait	VERB	vouloir
Ceti	PROPN	Ceti
sensée	VERB	senser
remarquer	VERB	remarquer
ou	CCONJ	ou
ne	ADV	ne
de	ADP	de
personne	PRON	personne
faire	AUX	faire
besoin	NOUN	besoin
délirant	VERB	délirer
Yanik	PROPN	Yanik
,	PUNCT	,
on	PRON	on
bars	NOUN	bar
ce	DET	ce
-	PUNCT	-
poignée	NOUN	poignée
pas	ADV	pas
pas	ADV	pas
même	ADV	même
autre	ADJ	autre
ne	ADV	ne
ont	VERB	avoir
rapidement	ADV	rapidement
une	DET	un
abandonné	VERB	abandonner
vers	ADP	vers
Tau	NOUN	tau
tu	VERB	taire
du	ADP	de
:	PUNCT	:
Ils	PRON	il
projet	NOUN	projet
pourquoi	AUX	pourquoi
tout	PRON	tout
contre	ADP	contre
?	PUNCT	?
cristaux	NOUN	cristal
déménages	NOUN	déménage
manqua	VERB	manquer
«	NOUN	«
(	PUNCT	(
le	DET	le
Enfin	ADV	enfin
,	PUNCT	,
rien	PRON	rien
aurait	AUX	avoir
lui	PRON	lui
de	ADP	de
de	ADP	de
Pas	ADV	pas
le	DET	le
s'	PRON	se
obstiné	VERB	obstiner
.	PUNCT	.
était	AUX	être
comme	ADP	comme
il	PRON	il
qu'	PRON	qu'
»	PUNCT	»
à	ADP	à
son	DET	son
,	PUNCT	,
avait	AUX	avoir
bas	ADJ	bas
finalement	ADV	finalement
Kéfélec	PROPN	Kéfélec
-il	PRON	il
fortune	NOUN	fortune
—	VERB	—
Yanik	NOUN	yanik
se	PRON	se
forme	NOUN	forme
là	ADV	là
mais	CCONJ	mais
-	ADJ	-
arriva	PROPN	arriver
.	PUNCT	.
