plate	NOUN	plate
L'	DET	le
du	ADP	de
,	PUNCT	,
course	NOUN	course
léger	NOUN	léger
OUVERTURE	PROPN	OUVERTURE
acier	NOUN	acier
d'	ADP	de
.	PUNCT	.
insecte	NOUN	insecte
interrompait	VERB	interrompre
un	DET	un
feuille	NOUN	feuille
la	DET	le
pour	ADP	pour
un	DET	un
éparpillant	VERB	éparpiller
poser	VERB	poser
ses	DET	son
produisait	VERB	produire
seul	ADJ	seul
lancéolée	ADJ	lancéolé
volait	VERB	voler
vol	NOUN	vol
dans	ADP	dans
sur	ADP	sur
la	DET	le
se	PRON	se
n'	ADV	n'
ciel	NOUN	ciel
forme	NOUN	forme
chaleur	NOUN	chaleur
sa	DET	son
étaient	VERB	être
Son	DET	son
-	PUNCT	-
bourdonnement	NOUN	bourdonnement
hasardeuse	ADJ	hasardeux
battement	NOUN	battement
.	PUNCT	.
qu'	SCONJ	que
coulée	NOUN	coulée
Parfois	ADV	parfois
l'	DET	le
ailes	NOUN	aile
insecte	NOUN	insecte
d'	ADP	de
une	DET	un
la	DET	le
alors	ADV	alors
Son	DET	son
d'	ADP	de
de	ADP	de
plus	ADV	plus
insecte	NOUN	insecte
.	PUNCT	.
quête	NOUN	quête
les	DET	le
même	ADV	même
assimilable	ADJ	assimilable
.	PUNCT	.
sillons	NOUN	sillon
.	PUNCT	.
la	DET	le
il	PRON	il
L'	DET	le
la	DET	le
trouvait	VERB	trouver
sa	DET	son
.	PUNCT	.
nervurés	VERB	nervurer
vers	ADP	vers
infime	ADJ	infime
plier	ADJ	plier
ne	ADV	ne
pas	ADV	pas
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
un	DET	un
replongeait	VERB	replonger
faisait	VERB	faire
Le	DET	le
parcourait	VERB	parcourir
pas	ADV	pas
il	PRON	il
,	PUNCT	,
souvent	ADV	souvent
de	ADP	de
fragment	NOUN	fragment
les	DET	le
,	PUNCT	,
de	ADP	de
nourriture	NOUN	nourriture
trompe	NOUN	trompe
poids	NOUN	poids
en	ADP	en
hauteurs	NOUN	hauteur
feuille	NOUN	feuille
dans	ADP	dans
vie	NOUN	vie
Cette	DET	ce
se	PRON	se
s'	PRON	se
nourrir	VERB	nourrir
Sa	DET	son
.	PUNCT	.
une	DET	un
deux	NUM	deux
grand	ADJ	grand
mal	NOUN	mal
une	DET	un
,	PUNCT	,
que	SCONJ	que
.	PUNCT	.
se	PRON	se
au	ADP	au
ou	CCONJ	ou
reproduire	ADJ	reproduir
:	PUNCT	:
machine	NOUN	machine
d'	ADP	de
était	AUX	être
fondamentales	ADJ	fondamental
faite	VERB	faire
là	ADV	là
,	PUNCT	,
Ici	ADV	ici
L'	DET	le
programmation	NOUN	programmation
nervure	NOUN	nervure
de	ADP	de
à	ADP	à
insecte	NOUN	insecte
pulsions	NOUN	pulsion
la	DET	le
,	PUNCT	,
exercer	VERB	exercer
,	PUNCT	,
primaire	ADJ	primaire
était	AUX	être
indéfiniment	ADV	indéfiniment
trouvait	VERB	trouver
sans	ADP	sans
.	PUNCT	.
n'	ADV	n'
