lestée	VERB	lester
PREMIER	ADJ	premier
Louis	PROPN	Louis
direction	NOUN	direction
Cette	DET	ce
jours	NOUN	jour
CHAPITRE	NOUN	chapitre
de	ADP	de
des	DET	un
roi	NOUN	roi
Terreur	NOUN	terreur
blanche	ADJ	blanc
avaient	AUX	avoir
et	CCONJ	et
frégate	NOUN	frégate
,	PUNCT	,
quinze	NUM	quinze
restituer	VERB	restituer
,	PUNCT	,
du	ADP	de
depuis	ADP	depuis
promis	VERB	promettre
par	ADP	par
Méduse	PROPN	Méduse
voguait	VERB	voguer
,	PUNCT	,
gréée	NOUN	gréée
,	PUNCT	,
armée	NOUN	armée
que	PRON	que
XVIII	NUM	XVIII
calfatée	VERB	calfater
du	ADP	de
.	PUNCT	.
les	DET	le
,	PUNCT	,
,	PUNCT	,
en	ADP	en
frégate	NOUN	frégate
de	ADP	de
et	CCONJ	et
Anglais	PROPN	Anglais
la	DET	le
de	ADP	de
la	DET	le
Sénégal	NOUN	sénégal
La	DET	le
France	PROPN	France
marins	NOUN	marin
à	ADP	à
,	PUNCT	,
maçons	NOUN	maçon
Quatre	NUM	Quatre
était	AUX	être
officiers	NOUN	officier
Rochefort	PROPN	Rochefort
des	ADP	de
.	PUNCT	.
que	SCONJ	que
les	DET	le
à	ADP	à
bord	NOUN	bord
trois	NUM	trois
nouveau	ADJ	nouveau
avait	AUX	avoir
matelots	NOUN	matelot
de	ADP	de
une	DET	un
colons	NOUN	colon
un	DET	un
bagne	NOUN	bagne
mâts	NOUN	mât
ainsi	ADV	ainsi
qui	PRON	qui
du	ADP	de
on	PRON	on
,	PUNCT	,
soldats	NOUN	soldat
,	PUNCT	,
de	ADP	de
cents	NOUN	cent
,	PUNCT	,
adjoint	ADJ	adjoint
:	PUNCT	:
guerre	NOUN	guerre
forçats	NOUN	forçat
employés	VERB	employer
,	PUNCT	,
,	PUNCT	,
portant	VERB	porter
personnes	NOUN	personne
à	ADP	à
de	ADP	de
se	PRON	se
trouvaient	VERB	trouver
bâtiment	NOUN	bâtiment
à	ADP	à
canons	NOUN	canon
le	DET	le
cinquantaine	NOUN	cinquantaine
à	ADP	à
de	ADP	de
l'	DET	le
été	AUX	être
composé	VERB	composer
soldats	NOUN	soldat
gouverneur	NOUN	gouverneur
à	ADP	à
régulièrement	ADV	régulièrement
et	CCONJ	et
du	ADP	de
Sénégal	PROPN	Sénégal
personne	NOUN	personne
du	ADP	de
sa	DET	son
fripouilles	NOUN	fripouille
Les	DET	le
les	DET	le
de	ADP	de
admis	VERB	admettre
.	PUNCT	.
ne	ADV	ne
donnait	VERB	donner
colonie	NOUN	colonie
domestiques	NOUN	domestique
,	PUNCT	,
déserteurs	NOUN	déserteur
,	PUNCT	,
et	CCONJ	et
dernier	ADJ	dernier
équipage	NOUN	équipage
on	PRON	on
famille	NOUN	famille
était	AUX	être
moment	NOUN	moment
ses	DET	son
qui	PRON	qui
