glissé	VERB	glisser
regard	NOUN	regard
devant	ADP	devant
au	ADP	au
de	ADP	de
Nice	PROPN	Nice
Son	DET	son
podium	NOUN	podium
des	ADP	de
mien	NOUN	mien
et	CCONJ	et
de	ADP	de
Il	PRON	il
qui	PRON	qui
croiser	VERB	croiser
,	PUNCT	,
à	ADP	à
sur	ADP	sur
je	PRON	je
début	NOUN	début
était	AUX	être
se	PRON	se
rang	NOUN	rang
fini	VERB	finir
C'	PRON	ce
par	ADP	par
m'	PRON	me
étais	AUX	être
et	CCONJ	et
boulevard	NOUN	boulevard
un	DET	un
premier	ADJ	premier
le	DET	le
manteaux	NOUN	manteau
Gambetta	PROPN	Gambetta
.	PUNCT	.
au	ADP	au
,	PUNCT	,
cuir	NOUN	cuir
tenait	VERB	tenir
étalage	NOUN	étalage
.	PUNCT	.
sorte	NOUN	sorte
de	ADP	de
vestes	NOUN	veste
du	ADP	de
a	AUX	avoir
de	ADP	de
badauds	NOUN	badaud
une	DET	un
ce	DET	ce
écoutaient	NOUN	écoutaient
il	PRON	il
bagout	NOUN	bagout
et	CCONJ	et
perdu	VERB	perdre
l'	PRON	l'
s'	SCONJ	s'
exerçait	VERB	exercer
ma	DET	mon
entre	ADP	entre
son	DET	son
d'	ADP	de
là	ADV	là
.	PUNCT	.
et	CCONJ	et
a	AUX	avoir
plus	ADV	plus
faire	AUX	faire
de	ADP	de
il	PRON	il
une	DET	un
il	PRON	il
sa	DET	son
,	PUNCT	,
marchandise	NOUN	marchandise
comprendre	VERB	comprendre
que	SCONJ	que
me	PRON	me
.	PUNCT	.
voulait	VERB	vouloir
qu'	PRON	qu'
A	ADP	à
auditoire	NOUN	auditoire
Il	PRON	il
vue	NOUN	vue
métier	NOUN	métier
son	DET	son
lui	PRON	lui
manière	NOUN	manière
établir	VERB	établir
parlait	VERB	parler
,	PUNCT	,
une	DET	un
distance	NOUN	distance
camelot	NOUN	camelot
vanter	VERB	vanter
comme	ADP	comme
,	PUNCT	,
sèche	ADJ	sec
dans	ADP	dans
en	ADP	en
semblait	VERB	sembler
sept	NUM	sept
un	DET	un
.	PUNCT	.
,	PUNCT	,
me	PRON	me
avec	ADP	avec
-	NOUN	-
soir	NOUN	soir
tombait	VERB	tomber
pas	ADV	pas
premières	ADJ	premier
était	AUX	être
de	ADP	de
condition	NOUN	condition
:	PUNCT	:
s'	PRON	se
ans	NOUN	an
sa	DET	son
beaucoup	ADV	beaucoup
Gambetta	PROPN	Gambetta
air	NOUN	air
de	ADP	de
,	PUNCT	,
est	AUX	être
engouffré	VERB	engouffrer
vent	ADV	vent
il	PRON	il
plus	ADV	plus
boulevard	NOUN	boulevard
au	ADP	au
et	CCONJ	et
n'	ADV	n'
dessous	NOUN	dessous
le	DET	le
En	ADP	en
coup	NOUN	coup
