remit	VERB	remettre
.	PUNCT	.
trouvèrent	ADV	trouvèrent
...	PUNCT	...
accueillants	NOUN	accueillant
île	PROPN	île
1	NUM	1
la	DET	le
lunettes	NOUN	lunette
écrit	VERB	écrire
par	ADP	par
nature	NOUN	nature
fut	AUX	être
soleil	NOUN	soleil
qui	PRON	qui
tradition	NOUN	tradition
l'	DET	le
les	DET	le
»	PUNCT	»
«	PUNCT	«
de	ADP	de
colonisée	VERB	coloniser
ses	DET	son
Voilà	VERB	voilà
propos	NOUN	propos
ce	PRON	ce
Amelia	PROPN	Amelia
Langston	PROPN	Langston
...	PUNCT	...
1640	NUM	1640
peuplée	NOUN	peuplée
place	NOUN	place
est	AUX	être
et	CCONJ	et
,	PUNCT	,
à	ADP	à
en	ADP	en
Aury	NOUN	aury
par	ADP	par
par	ADP	par
d'	ADP	de
elle	PRON	lui
,	PUNCT	,
indigènes	ADJ	indigène
doux	ADJ	doux
En	ADP	en
—	PUNCT	—
qui	PRON	qui
de	ADP	de
Espagnols	NOUN	espagnol
ton	NOUN	ton
A	AUX	avoir
,	PUNCT	,
un	DET	un
vers	ADP	vers
elles	PRON	lui
.	PUNCT	.
-moi	PRON	moi
doux	ADJ	doux
sur	ADP	sur
en	ADP	en
se	PRON	se
long	NOUN	long
accueillants	NOUN	accueillant
la	DET	le
amie	NOUN	amie
,	PUNCT	,
nez	NOUN	nez
Pourquoi	ADV	pourquoi
petit	ADJ	petit
cahoteuse	ADJ	cahoteux
de	ADP	de
aussi	ADV	aussi
tressautement	NOUN	tressautement
route	NOUN	route
de	ADP	de
,	PUNCT	,
à	ADP	à
.	PUNCT	.
plus	ADV	plus
s'	PRON	se
,	PUNCT	,
voiture	NOUN	voiture
tournant	VERB	tourner
bas	ADJ	bas
la	DET	le
avis	NOUN	avis
glissaient	VERB	glisser
son	DET	son
son	DET	son
écria	VERB	écrier
le	DET	le
—	PUNCT	—
-t	PART	-t
-elle	PRON	lui
peu	ADV	peu
chaque	DET	chaque
Dis	PROPN	Dis
et	CCONJ	et
.	PUNCT	.
!	PUNCT	!
soient	AUX	être
pour	ADP	pour
colonisateurs	NOUN	colonisateur
—	PUNCT	—
par	ADP	par
que	PRON	que
geste	NOUN	geste
Lis	X	Lis
toujours	ADV	toujours
la	DET	le
soldatesque	NOUN	soldatesque
volant	VERB	voler
les	DET	le
ils	PRON	il
les	DET	le
massacrer	VERB	massacrer
temps	NOUN	temps
aillent	ADV	aillent
?	PUNCT	?
faire	AUX	faire
juste	ADV	juste
.	PUNCT	.
indigènes	NOUN	indigène
se	PRON	se
,	PUNCT	,
au	ADP	au
diable	NOUN	diable
Espagnols	NOUN	espagnol
Brewer	X	Brewer
signifier	VERB	signifier
-elle	PRON	lui
finissent	VERB	finir
.	PUNCT	.
lâcha	ADV	lâcha
par	ADP	par
dit	VERB	dire
les	DET	le
Que	SCONJ	que
le	DET	le
son	DET	son
le	DET	le
esquisser	VERB	esquisser
dédain	NOUN	dédain
de	ADP	de
Peggy	PROPN	Peggy
les	DET	le
un	DET	un
seulement	ADV	seulement
d'	ADP	de
partie	NOUN	partie
intéressants	ADJ	intéressant
parvenir	VERB	parvenir
—	NOUN	—
.	PUNCT	.
ses	DET	son
passages	NOUN	passage
fait	AUX	faire
les	PRON	le
dans	ADP	dans
week	NOUN	week
-	NOUN	-
Plantation	NOUN	plantation
,	PUNCT	,
le	DET	le
avait	AUX	avoir
sur	ADP	sur
île	PROPN	île
la	DET	le
une	DET	un
ouverte	ADJ	ouvert
de	ADP	de
à	ADP	à
Amelia	NOUN	amelia
brochure	NOUN	brochure
plongea	VERB	plonger
plus	ADV	plus
grande	ADJ	grand
passé	VERB	passer
innombrables	NOUN	innombrable
en	ADP	en
trajet	NOUN	trajet
nez	NOUN	nez
end	NOUN	end
que	PRON	que
la	DET	le
du	ADP	de
genoux	NOUN	genou
Elle	PRON	lui
l'	DET	le
prévision	NOUN	prévision
la	DET	le
lui	PRON	lui
de	ADP	de
ce	DET	ce
des	ADP	de
.	PUNCT	.
avait	AUX	avoir
parcourir	VERB	parcourir
Aury	NOUN	aury
Non	ADV	non
abord	NOUN	abord
réussit	VERB	réussir
l'	DET	le
à	ADP	à
mettre	VERB	mettre
d'	ADP	de
Aury	NOUN	aury
non	ADV	non
ensuite	ADV	ensuite
de	ADP	de
Sécession	NOUN	sécession
d'	ADP	de
plus	ADV	plus
temps	NOUN	temps
une	DET	un
se	PRON	se
riziculture	ADJ	rizicultur
...	PUNCT	...
ambiance	NOUN	ambiance
de	ADP	de
une	DET	un
,	PUNCT	,
tuer	VERB	tuer
essayer	VERB	essayer
le	DET	le
»	PUNCT	»
—	PROPN	—
neutralité	NOUN	neutralité
—	PUNCT	—
,	PUNCT	,
non	ADV	non
,	PUNCT	,
,	PUNCT	,
«	NOUN	«
pour	ADP	pour
,	PUNCT	,
dans	ADP	dans
garder	VERB	garder
florissante	NOUN	florissante
pendant	ADP	pendant
Lieu	NOUN	lieu
l'	DET	le
la	DET	le
guerre	NOUN	guerre
.	PUNCT	.
pour	ADP	pour
île	PROPN	île
,	PUNCT	,
,	PUNCT	,
malgré	ADP	malgré
.	PUNCT	.
noire	ADJ	noir
famille	NOUN	famille
,	PUNCT	,
de	ADP	de
loin	ADV	loin
œuvre	NOUN	œuvre
«	PUNCT	«
son	DET	son
des	ADP	de
îles	NOUN	île
prospérer	VERB	prospérer
1920	NUM	1920
île	NOUN	île
Haïti	PROPN	Haïti
propriété	NOUN	propriété
une	DET	un
»	PUNCT	»
Craig	PROPN	Craig
la	DET	le
grâce	NOUN	grâce
.	PUNCT	.
«	PUNCT	«
était	AUX	être
L'	DET	le
,	PUNCT	,
continua	VERB	continuer
surtout	ADV	surtout
qui	PRON	qui
,	PUNCT	,
Amelia	PROPN	Amelia
dans	ADP	dans
voisines	NOUN	voisin
la	PRON	le
intégralité	NOUN	intégralité
tout	DET	tout
la	DET	le
de	ADP	de
à	ADP	à
locale	ADJ	local
faisait	VERB	faire
-	PUNCT	-
ou	CCONJ	ou
importée	VERB	importer
,	PUNCT	,
—	PUNCT	—
d'	ADP	de
En	ADP	en
main	NOUN	main
fut	AUX	être
des	DET	un
bâtir	VERB	bâtir
à	ADP	à
la	DET	le
ancestrale	ADJ	ancestral
,	PUNCT	,
firent	VERB	faire
investisseurs	NOUN	investisseur
Craig	NOUN	craig
En	ADP	en
1960	NUM	1960
terre	NOUN	terre
la	DET	le
contraignirent	ADV	contraignirent
grande	ADJ	grand
demeure	NOUN	demeure
industriels	NOUN	industriel
de	ADP	de
