contemporains	ADJ	contemporain
Qui	PRON	qui
disons	NOUN	dison
Nicolas	PROPN	Nicolas
essoré	VERB	essorer
pourtant	ADV	pourtant
I	ADJ	i
,	PUNCT	,
lui-même	PRON	lui-même
du	ADP	de
,	PUNCT	,
l'	DET	le
pour	ADP	pour
quelques	DET	quelque
lois	NOUN	loi
la	DET	le
sait	VERB	savoir
dépêtrer	VERB	dépêtrer
de	ADP	de
de	ADP	de
Dieu	PROPN	Dieu
s'	PRON	se
étant	AUX	être
nier	ADJ	nier
?	PUNCT	?
les	DET	le
divers	ADJ	divers
penseurs	NOUN	penseur
lecture	NOUN	lecture
avait	AUX	avoir
vers	ADP	vers
s'	PRON	se
augustes	ADJ	auguste
esprit	NOUN	esprit
tout	ADV	tout
milieu	NOUN	milieu
et	CCONJ	et
si	SCONJ	si
par	ADP	par
en	PRON	en
sa	DET	son
fait	NOUN	fait
Très	ADV	très
seizième	ADJ	seizième
année	NOUN	année
Saint-Damien	PROPN	Saint-Damien
osera	VERB	oser
tôt	ADV	tôt
formulé	VERB	formuler
.	PUNCT	.
même	ADV	même
,	PUNCT	,
son	DET	son
tout	DET	tout
était	AUX	être
savoir	VERB	savoir
réflexions	NOUN	réflexion
où	PRON	où
alimenter	VERB	alimenter
deux	NUM	deux
naître	ADJ	naîtr
,	PUNCT	,
que	SCONJ	que
feux	ADJ	feux
à	ADP	à
un	DET	un
à	ADP	à
particulièrement	ADV	particulièrement
de	ADP	de
milieu	NOUN	milieu
,	PUNCT	,
le	DET	le
à	ADP	à
avait	AUX	avoir
superposées	ADJ	superposer
abouti	VERB	aboutir
vieux	ADJ	vieux
branchages	NOUN	branchage
ramas	NOUN	ramas
une	DET	un
malheur	NOUN	malheur
bons	ADJ	bon
ces	DET	ce
n'	ADV	n'
prison	NOUN	prison
conclusions	NOUN	conclusion
plus	ADV	plus
que	SCONJ	que
qu'	ADV	qu'
sien	NOUN	sien
l'	PRON	l'
et	CCONJ	et
cette	DET	ce
avait	AUX	avoir
fait	VERB	faire
était	AUX	être
il	PRON	il
noblesse	NOUN	noblesse
les	DET	le
,	PUNCT	,
avait	AUX	avoir
camp	NOUN	camp
gens	NOUN	gens
Janson	PROPN	Janson
(	PUNCT	(
du	ADP	de
de	ADP	de
jeunes	ADJ	jeune
lors	ADV	lors
,	PUNCT	,
blouson	NOUN	blouson
de	ADP	de
préféré	ADJ	préférer
une	DET	un
.	PUNCT	.
simplifie	VERB	simplifier
condisciples	NOUN	condisciple
avec	ADP	avec
,	PUNCT	,
de	ADP	de
ses	DET	son
se	PRON	se
connaissance	NOUN	connaissance
l'	DET	le
résolument	VERB	résolumer
Histoire	NOUN	histoire
dont	PRON	dont
il	PRON	il
)	PUNCT	)
,	PUNCT	,
,	PUNCT	,
la	DET	le
Aussi	ADV	aussi
cuir	NOUN	cuir
avait	AUX	avoir
fuyant	VERB	fuir
fait	VERB	faire
lycée	NOUN	lycée
je	PRON	je
lier	VERB	lier
adeptes	NOUN	adepte
-il	PRON	il
bande	NOUN	bande
plutôt	ADV	plutôt
du	ADP	de
Sailly	PROPN	Sailly
de	ADP	de
de	ADP	de
d'	ADP	de
une	DET	un
ce	DET	ce
au	ADP	au
avec	ADP	avec
à	ADP	à
témoignant	VERB	témoigner
délivrance	NOUN	délivrance
incursion	NOUN	incursion
,	PUNCT	,
ami	NOUN	ami
est	VERB	être
murs	NOUN	mur
d'	ADP	de
,	PUNCT	,
était	AUX	être
.	PUNCT	.
un	DET	un
de	ADP	de
avait	AUX	avoir
engagement	NOUN	engagement
diverses	ADJ	divers
sentiment	NOUN	sentiment
il	PRON	il
son	DET	son
des	ADP	de
un	DET	un
Sports	NOUN	sport
.	PUNCT	.
Dans	ADP	dans
net	NOUN	net
,	PUNCT	,
eux	PRON	lui
,	PUNCT	,
C'	PRON	ce
inscriptions	NOUN	inscription
le	DET	le
avec	ADP	avec
groupe	NOUN	groupe
qu'	SCONJ	que
d'	ADP	de
les	PRON	le
,	PUNCT	,
soir	NOUN	soir
pour	ADP	pour
barbouiller	VERB	barbouiller
les	DET	le
reprises	NOUN	reprise
Palais	PROPN	Palais
aller	VERB	aller
principal	ADJ	principal
rejoints	ADJ	rejoindre
clairon	ADJ	clairon
certain	ADJ	certain
pouvait	VERB	pouvoir
lui	PRON	lui
le	DET	le
âgé	ADJ	âgé
un	DET	un
qui	PRON	qui
,	PUNCT	,
colosse	NOUN	colosse
d'	ADP	de
étrangleur	NOUN	étrangleur
dans	ADP	dans
mon	DET	mon
manière	NOUN	manière
rugueux	ADJ	rugueux
plus	ADV	plus
de	ADP	de
le	DET	le
,	PUNCT	,
peu	ADV	peu
un	DET	un
qui	PRON	qui
,	PUNCT	,
un	DET	un
une	DET	un
nez	NOUN	nez
en	ADP	en
,	PUNCT	,
son	DET	son
étonner	VERB	étonner
instrument	NOUN	instrument
de	ADP	de
,	PUNCT	,
état	NOUN	état
,	PUNCT	,
,	PUNCT	,
que	SCONJ	que
visage	NOUN	visage
magasin	NOUN	magasin
vu	VERB	voir
manutentionnaire	NOUN	manutentionnaire
,	PUNCT	,
ses	DET	son
poignets	NOUN	poignet
de	ADP	de
Joséphin	PROPN	Joséphin
