Quelle	ADJ	quell
Irène	PROPN	Irène
ma	DET	mon
longuement	ADJ	longuement
considère	VERB	considérer
,	PUNCT	,
ICEBERG	PROPN	ICEBERG
mis	VERB	mettre
-je	PROPN	-je
longue	ADJ	long
.	PUNCT	.
Elle	PRON	lui
!	PUNCT	!
-	PUNCT	-
sa	DET	son
mi-confuse	NOUN	mi-confuse
yeux	NOUN	oeil
Je	PRON	je
mi-railleuse	NOUN	mi-railleuse
et	CCONJ	et
les	DET	le
pardon	NOUN	pardon
dis	ADP	dis
étire	ADJ	étir
entrouvre	VERB	entrouvrir
sur	ADP	sur
.	PUNCT	.
-	PUNCT	-
,	PUNCT	,
:	PUNCT	:
main	NOUN	main
?	PUNCT	?
chaise	NOUN	chaise
me	PRON	me
-	PUNCT	-
,	PUNCT	,
importance	NOUN	importance
bâille	NOUN	bâille
,	PUNCT	,
!	PUNCT	!
devant	ADP	devant
Oh	PROPN	Oh
ai	AUX	avoir
ma	DET	mon
bouche	NOUN	bouche
pouffe	ADJ	pouff
s'	PRON	se
pas	ADV	pas
.	PUNCT	.
n'	ADV	n'
aime	VERB	aime
vous	PRON	vous
cheval	NOUN	cheval
On	PRON	on
Tant	ADV	tant
non	ADV	non
Pour	ADP	pour
à	ADP	à
on	PRON	on
ça	PRON	cela
très	ADV	très
pudibond	ADJ	pudibond
...	PUNCT	...
connaisse	VERB	connaître
sûre	VERB	sûre
!	PUNCT	!
Mais	CCONJ	mais
tendance	NOUN	tendance
!	PUNCT	!
dirait	VERB	dire
-	PUNCT	-
Irène	NOUN	irène
l'	DET	le
je	PRON	je
a.	NOUN	a.
suis	AUX	être
Je	PRON	je
n'	ADV	n'
Parfait	VERB	parfaire
vous	PRON	vous
sur	ADP	sur
que	SCONJ	que
que	SCONJ	que
.	PUNCT	.
ne	ADV	ne
en	ADP	en
pas	ADV	pas
!	PUNCT	!
mieux	ADV	mieux
a	AUX	avoir
les	DET	le
me	PRON	me
me	PRON	me
convenances	NOUN	convenance
et	CCONJ	et
que	SCONJ	que
,	PUNCT	,
croire	VERB	croire
me	PRON	me
à	ADP	à
.	PUNCT	.
.	PUNCT	.
,	PUNCT	,
et	CCONJ	et
elle	PRON	lui
quarts	NOUN	quart
trop	ADV	trop
expliquer	VERB	expliquer
c'	PRON	ce
un	DET	un
rares	ADJ	rare
occasions	NOUN	occasion
début	NOUN	début
fini	VERB	finir
pour	ADP	pour
donnait	VERB	donner
trois	NUM	trois
cherchais	VERB	chercher
parler	VERB	parler
le	DET	le
les	DET	le
,	PUNCT	,
,	PUNCT	,
préfère	VERB	préférer
:	PUNCT	:
rester	VERB	rester
de	ADP	de
moi	PRON	moi
de	ADP	de
immergé	VERB	immerger
je	PRON	je
maintenant	ADV	maintenant
elle	PRON	lui
qu'	PRON	qu'
.	PUNCT	.
iceberg	NOUN	iceberg
Mais	CCONJ	mais
visibles	ADJ	visible
me	PRON	me
je	PRON	je
sautais	VERB	sauter
Au	ADP	au
à	ADP	à
sur	ADP	sur
les	DET	le
reste	NOUN	reste
Je	PRON	je
m'	PRON	me
est	AUX	être
toujours	ADV	toujours
.	PUNCT	.
je	PRON	je
Pourquoi	ADV	pourquoi
de	ADP	de
jardin	VERB	jardin
premier	ADJ	premier
et	CCONJ	et
-	PUNCT	-
pour	ADP	pour
Je	PRON	je
pas	ADV	pas
dans	ADP	dans
fait	VERB	faire
pas	ADV	pas
conversation	NOUN	conversation
-	PUNCT	-
du	ADP	de
?	PUNCT	?
cause	NOUN	cause
la	DET	le
fenêtre	NOUN	fenêtre
sa	DET	son
retiens	VERB	retenir
changer	VERB	changer
la	DET	le
de	ADP	de
du	ADP	de
soleil	NOUN	soleil
A	ADP	à
.	PUNCT	.
ne	ADV	ne
me	PRON	me
.	PUNCT	.
le	DET	le
-	PUNCT	-
désigne	VERB	désigne
Je	PRON	je
étage	NOUN	étage
?	PUNCT	?
sieste	NOUN	sieste
la	DET	le
Georges	PROPN	Georges
Oui	PROPN	Oui
fait	VERB	faire
-il	PRON	il
villa	NOUN	villa
préfère	VERB	préférer
.	PUNCT	.
ne	ADV	ne
-	PUNCT	-
le	DET	le
les	DET	le
Irène	PROPN	Irène
jamais	ADV	jamais
peu	ADV	peu
n'	ADV	n'
hausser	VERB	hausser
avec	ADP	avec
en	PRON	en
automne	VERB	automne
assuré	VERB	assurer
d'	ADP	de
tout	ADV	tout
.	PUNCT	.
soleil	NOUN	soleil
tranquillité	NOUN	tranquillité
,	PUNCT	,
je	PRON	je
je	PRON	je
tué	DET	tué
Bouville	PROPN	Bouville
,	PUNCT	,
m'	PRON	me
:	PUNCT	:
à	ADP	à
le	DET	le
devrais	VERB	devoir
être	AUX	être
,	PUNCT	,
.	PUNCT	.
dans	ADP	dans
à	ADP	à
d'	ADP	de
un	DET	un
Mais	CCONJ	mais
,	PUNCT	,
dernier	ADJ	dernier
a	AUX	avoir
de	ADP	de
si	SCONJ	si
le	DET	le
après	ADP	après
trouve	VERB	trouve
