franchi	VERB	franchir
Du	ADP	de
.	PUNCT	.
à	ADP	à
chemin	NOUN	chemin
cette	DET	ce
PROLOGUE	PROPN	PROLOGUE
Sombre	PROPN	Sombre
métal	ADJ	métal
en	PRON	en
,	PUNCT	,
par	ADP	par
de	ADP	de
en	ADP	en
il	PRON	il
gravier	NOUN	gravier
associe	VERB	associer
nous	PRON	nous
,	PUNCT	,
la	DET	le
j'	PRON	je
celui	PRON	celui
de	ADP	de
loin	ADV	loin
,	PUNCT	,
qu'	SCONJ	que
une	DET	un
fois	NOUN	fois
qui	PRON	qui
mystérieuse	ADJ	mystérieux
Il	PRON	il
portail	NOUN	portail
m'	PRON	me
le	DET	le
et	CCONJ	et
souvienne	VERB	souvenir
le	DET	le
époque	NOUN	époque
de	ADP	de
que	PRON	que
arrivait	VERB	arriver
trapue	VERB	trapue
l'	DET	le
à	ADP	à
pied	NOUN	pied
silhouette	NOUN	silhouette
plus	ADV	plus
Homme	NOUN	homme
peint	VERB	peindre
appelions	VERB	appeler
nuit	NOUN	nuit
,	PUNCT	,
au	ADP	au
enfance	NOUN	enfance
son	DET	son
de	ADP	de
vert	NOUN	vert
mêlée	VERB	mêler
la	DET	le
mes	DET	mon
nous	PRON	nous
reconnaissions	AUX	reconnaissions
un	DET	un
du	ADP	de
villa	NOUN	villa
dans	ADP	dans
maison	NOUN	maison
sur	ADP	sur
silence	NOUN	silence
.	PUNCT	.
la	DET	le
bruit	NOUN	bruit
était	AUX	être
à	ADP	à
—	VERB	—
la	DET	le
de	ADP	de
la	DET	le
le	DET	le
pas	ADV	pas
mâchefer	NOUN	mâchefer
c'	PRON	ce
de	ADP	de
aisément	VERB	aisémer
brefs	ADJ	bref
parents	NOUN	parent
;	PUNCT	;
mon	DET	mon
rythme	NOUN	rythme
particulier	ADJ	particulier
gris	ADJ	gris
faisaient	VERB	faire
caillasse	NOUN	caillasse
,	PUNCT	,
et	CCONJ	et
Ses	DET	son
menait	VERB	mener
blanche	ADJ	blanc
fin	NOUN	fin
la	DET	le
qui	PRON	qui
familial	ADJ	familial
.	PUNCT	.
père	NOUN	père
,	PUNCT	,
à	ADP	à
repas	NOUN	repas
peur	NOUN	peur
eut	VERB	avoir
rituellement	ADV	rituellement
un	PRON	un
des	ADP	de
conversation	NOUN	conversation
mots	NOUN	mot
il	PRON	il
l'	DET	le
visite	NOUN	visite
certains	DET	certain
des	ADP	de
et	CCONJ	et
rendre	VERB	rendre
incompréhensible	ADJ	incompréhensible
,	PUNCT	,
heure	NOUN	heure
pour	ADP	pour
qu'	SCONJ	que
pas	ADV	pas
crissants	ADJ	crissant
écoute	NOUN	écoute
engager	VERB	engager
Un	DET	un
rapprochaient	VERB	rapprocher
avait	AUX	avoir
enfants	NOUN	enfant
dans	ADP	dans
choisie	ADJ	choisir
se	PRON	se
mon	DET	mon
à	ADP	à
dont	PRON	dont
soir	NOUN	soir
une	DET	un
nous	PRON	nous
,	PUNCT	,
l'	DET	le
l'	DET	le
,	PUNCT	,
faisaient	VERB	faire
ces	DET	ce
éclats	NOUN	éclat
par	ADP	par
prononcés	VERB	prononcer
l'	DET	le
le	DET	le
la	DET	le
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
grise	ADJ	gris
Homme	NOUN	homme
l'	DET	le
Homme	NOUN	homme
nous	PRON	nous
gainée	NOUN	gainée
—	PUNCT	—
puisqu'	SCONJ	puisque
