fond	NOUN	fond
.	PUNCT	.
soixante-quinze	NOUN	soixante-quinze
soixante-dix	VERB	soixante-dix
dit	VERB	dire
Quinze	PROPN	Quinze
1	NUM	1
cent	NUM	cent
lambrissée	ADJ	lambrissé
,	PUNCT	,
fois	NOUN	fois
...	PUNCT	...
cent	NUM	cent
Hannah	PROPN	Hannah
soixante	NOUN	soixante
cent	NUM	cent
?	PUNCT	?
ma	DET	mon
?	PUNCT	?
à	ADP	à
mieux	ADV	mieux
soixante-quinze	NOUN	soixante-quinze
salle	NOUN	salle
Quinze	PROPN	Quinze
dit	VERB	dire
cent	NUM	cent
Adossée	VERB	adosser
au	ADP	au
quatre-vingts	ADV	quatre-vingts
gauche	NOUN	gauche
une	DET	un
la	DET	le
dollars	ADJ	dollar
Qui	PRON	qui
!	PUNCT	!
qui	PRON	qui
de	ADP	de
cent	NUM	cent
quinze	NUM	quinze
à	ADP	à
fois	NOUN	fois
Quinze	NUM	Quinze
!	PUNCT	!
...	PUNCT	...
deux	NUM	deux
ma	DET	mon
—	PUNCT	—
Quinze	NUM	Quinze
,	PUNCT	,
droite	NOUN	droite
l'	DET	le
se	PRON	se
cadre	NOUN	cadre
tandis	ADV	tandis
.	PUNCT	.
yeux	NOUN	oeil
Greene	PROPN	Greene
son	DET	son
commençait	VERB	commencer
larme	NOUN	larme
quatorze	NUM	quatorze
dernières	ADJ	dernier
à	ADP	à
éprouver	VERB	éprouver
.	PUNCT	.
,	PUNCT	,
ses	DET	son
meubles	NOUN	meuble
ciel	NOUN	ciel
qu'	SCONJ	que
dans	ADP	dans
un	DET	un
Hannah	PROPN	Hannah
très	ADV	très
brillait	VERB	briller
droite	NOUN	droite
était	AUX	être
à	ADP	à
le	DET	le
regardait	VERB	regarder
quotidien	ADJ	quotidien
et	CCONJ	et
Aucune	DET	aucun
années	NOUN	année
partir	VERB	partir
ne	ADV	ne
orage	NOUN	orage
gris	VERB	gris
Dehors	ADV	dehors
les	DET	le
au	ADP	au
un	DET	un
avaient	AUX	avoir
cours	NOUN	cours
des	ADP	de
elle	PRON	lui
tenait	VERB	tenir
constitué	VERB	constituer
à	ADP	à
qui	PRON	qui
A	NOUN	a
désagréable	ADJ	désagréable
fées	NOUN	fée
une	DET	un
elle	PRON	lui
fille	NOUN	fille
une	DET	un
de	ADP	de
un	DET	un
était	AUX	être
des	ADP	de
ans	NOUN	an
ses	DET	son
diplôme	VERB	diplôme
elle	PRON	lui
était	AUX	être
petite	ADJ	petit
avaient	AUX	avoir
à	ADP	à
enfance	NOUN	enfance
une	DET	un
parents	NOUN	parent
.	PUNCT	.
.	PUNCT	.
qu'	ADV	qu'
Lorsqu'	SCONJ	lorsque
croire	VERB	croire
.	PUNCT	.
prise	VERB	prendre
en	ADP	en
auxquels	PRON	auxquels
ans	NOUN	an
n'	ADV	n'
,	PUNCT	,
lowa	NOUN	lowa
encore	ADV	encore
dix-neuf	NUM	dix-neuf
coulant	VERB	couler
s'	PRON	se
l'	PRON	l'
,	PUNCT	,
,	PUNCT	,
de	ADP	de
au	ADP	au
fil	NOUN	fil
heureuse	ADJ	heureux
migraine	NOUN	migraine
contes	NOUN	conte
beau	NOUN	beau
bercée	VERB	bercer
les	DET	le
poche	NOUN	poche
.	PUNCT	.
avait	AUX	avoir
tout	ADV	tout
où	PRON	où
en	ADP	en
Greene	PROPN	Greene
.	PUNCT	.
bus	NOUN	bus
prince	NOUN	prince
,	PUNCT	,
dans	ADP	dans
leur	DET	leur
pris	VERB	prendre
était	AUX	être
,	PUNCT	,
de	ADP	de
exactement	ADV	exactement
trouvé	VERB	trouver
York	PROPN	York
l'	DET	le
fées	NOUN	fée
elle	PRON	lui
New	PROPN	New
avait	AUX	avoir
comme	ADP	comme
dans	ADP	dans
passé	VERB	passer
poste	NOUN	poste
David	PROPN	David
de	ADP	de
le	DET	le
et	CCONJ	et
d'	ADP	de
pour	ADP	pour
contes	NOUN	conte
elle	PRON	lui
s'	PRON	se
agence	NOUN	agence
était	AUX	être
assistante	NOUN	assistant
de	ADP	de
un	DET	un
véritable	ADJ	véritable
un	DET	un
,	PUNCT	,
David	PROPN	David
Dès	ADP	dès
publicité	NOUN	publicité
avaient	AUX	avoir
rencontre	NOUN	rencontre
Hannah	PROPN	Hannah
vie	NOUN	vie
trois-pièces	NOUN	trois-pièces
de	ADP	de
première	ADJ	premier
et	CCONJ	et
,	PUNCT	,
envisagé	VERB	envisager
château	NOUN	château
:	PUNCT	:
,	PUNCT	,
les	DET	le
elle	PRON	lui
mais	CCONJ	mais
reste	NOUN	reste
avait	AUX	avoir
.	PUNCT	.
ensemble	ADJ	ensembl
le	DET	le
David	PROPN	David
heureuses	NOUN	heureux
David	PROPN	David
passer	VERB	passer
et	CCONJ	et
Les	DET	le
années	NOUN	année
douillet	NOUN	douillet
dès	ADP	dès
avait	AUX	avoir
,	PUNCT	,
avaient	AUX	avoir
un	DET	un
la	DET	le
de	ADP	de
passé	VERB	passer
leur	DET	leur
petit	ADJ	petit
l'	PRON	l'
emménagé	VERB	emménager
seconde	ADJ	second
en	ADP	en
dans	ADP	dans
son	DET	son
;	PUNCT	;
,	PUNCT	,
mariage	NOUN	mariage
et	CCONJ	et
demandée	VERB	demander
contes	NOUN	conte
florissantes	ADJ	florissant
héritier	NOUN	héritier
York	PROPN	York
était	AUX	être
de	ADP	de
affaires	NOUN	affaire
,	PUNCT	,
comme	ADP	comme
de	ADP	de
agence	NOUN	agence
Greene	PROPN	Greene
dans	ADP	dans
devait	VERB	devoir
avaient	AUX	avoir
.	PUNCT	.
nord	NOUN	nord
plus	ADV	plus
seul	ADJ	seul
,	PUNCT	,
au	ADP	au
un	DET	un
,	PUNCT	,
David	PROPN	David
installer	VERB	installer
leur	PRON	leur
inconvénient	NOUN	inconvénient
des	ADP	de
Le	DET	le
le	DET	le
du	ADP	de
fées	NOUN	fée
permis	VERB	permettre
,	PUNCT	,
Connecticut	PROPN	Connecticut
s'	PRON	se
de	ADP	de
New	PROPN	New
né	VERB	naître
palais	NOUN	palais
trône	NOUN	trône
,	PUNCT	,
où	PRON	où
de	ADP	de
l'	DET	le
dans	ADP	dans
de	ADP	de
Scott	PROPN	Scott
Hannah	PROPN	Hannah
luxueux	ADJ	luxueux
—	PUNCT	—
découvrir	VERB	découvrir
vendre	VERB	vendre
fait	NOUN	fait
