classiques	ADJ	classique
PARTIE	NOUN	partie
corps	NOUN	corps
Kuschnick	PROPN	Kuschnick
un	DET	un
pourquoi	ADV	pourquoi
PREMIÈRE	ADJ	premier
ce	DET	ce
attachées	VERB	attacher
personne	ADJ	personn
vêtu	VERB	vêtir
seulement	ADV	seulement
est	AUX	être
barres	NOUN	barre
réalité	NOUN	réalité
pantalon	NOUN	pantalon
su	VERB	savoir
ça	PRON	cela
pyjama	NOUN	pyjama
s'	PRON	se
jamais	ADV	jamais
-ce	PRON	-ce
chevilles	NOUN	cheville
automne	VERB	automne
a	AUX	avoir
En	ADP	en
à	ADP	à
rayures	NOUN	rayure
de	ADP	de
suicidé	VERB	suicider
de	ADP	de
les	DET	le
,	PUNCT	,
d'	ADP	de
.	PUNCT	.
n'	ADV	n'
,	PUNCT	,
Buck	PROPN	Buck
long	ADJ	long
que	SCONJ	que
dix-huit	NOUN	dix-huit
Qu'	PRON	qu'
dire	VERB	dire
ans	NOUN	an
,	PUNCT	,
était	AUX	être
L'	DET	le
,	PUNCT	,
aux	ADP	à
voulait	VERB	vouloir
heure	NOUN	heure
métal	ADJ	métal
la	DET	le
,	PUNCT	,
ligoté	VERB	ligoter
freshmen	NOUN	freshmen
de	ADP	de
par	ADP	par
où	PRON	où
de	ADP	de
était	AUX	être
-il	PRON	il
rez-de-chaussée	PROPN	rez-de-chaussée
garçons	NOUN	garçon
du	ADP	de
un	DET	un
le	DET	le
droite	NOUN	droite
soir	NOUN	soir
aile	VERB	aile
dans	ADP	dans
,	PUNCT	,
creuse	ADJ	creux
deux	NUM	deux
chambre	NOUN	chambre
extrémités	NOUN	extrémité
à	ADP	à
l'	DET	le
dimanche	NOUN	dimanche
du	ADP	de
cour	NOUN	cour
et	CCONJ	et
lit	NOUN	lit
ainsi	ADV	ainsi
dortoir	NOUN	dortoir
sa	DET	son
paisible	ADJ	paisible
dorm	ADJ	dorm
,	PUNCT	,
à	ADP	à
?	PUNCT	?
,	PUNCT	,
on	PRON	on
Pourquoi	ADV	pourquoi
s'	PRON	se
ouest	VERB	ouest
des	ADP	de
entrait	VERB	entrer
les	DET	le
quand	SCONJ	quand
il	PRON	il
dans	ADP	dans
riz	NOUN	riz
posées	VERB	poser
chœurs	NOUN	chœur
briques	NOUN	brique
,	PUNCT	,
au	ADP	au
,	PUNCT	,
de	ADP	de
Miller	PROPN	Miller
et	CCONJ	et
les	DET	le
?	PUNCT	?
les	DET	le
Barney	VERB	barney
de	ADP	de
mangeaient	VERB	manger
est	AUX	être
sur	ADP	sur
et	CCONJ	et
vallons	NOUN	vallon
faire	VERB	faire
fraternités	NOUN	fraternité
clair	ADJ	clair
,	PUNCT	,
-ce	PRON	-ce
qu'	SCONJ	que
Google?Qu'	PROPN	Google?Qu'
collines	NOUN	colline
brun	VERB	brun
voulu	VERB	vouloir
maisons	NOUN	maison
ses	DET	son
et	CCONJ	et
bois	NOUN	bois
avait	AUX	avoir
rouges	ADJ	rouge
chanter	VERB	chanter
,	PUNCT	,
en	ADP	en
dans	ADP	dans
poulet	NOUN	poulet
écoutant	VERB	écouter
Mitch	NOUN	mitch
les	DET	le
les	DET	le
frit	VERB	frire
Buck	PROPN	Buck
le	DET	le
.	PUNCT	.
réalité	NOUN	réalité
étudiants	NOUN	étudiant
,	PUNCT	,
la	DET	le
civil	NOUN	civil
En	ADP	en
les	DET	le
prénom	NOUN	prénom
pas	ADV	pas
l'	DET	le
identifie	VERB	identifier
1954	NOUN	1954
je	PRON	je
s'	PRON	se
dénomination	NOUN	dénomination
état	NOUN	état
,	PUNCT	,
Balford	PROPN	Balford
dans	ADP	dans
Son	DET	son
-	NOUN	-
un	DET	un
il	PRON	il
.	PUNCT	.
ne	ADV	ne
Frank	PROPN	Frank
Kuschnick	PROPN	Kuschnick
de	ADP	de
annuaire	NOUN	annuaire
de	ADP	de
est	AUX	être
appelait	VERB	appeler
sous	ADP	sous
Calyx	PROPN	Calyx
Buck	PROPN	Buck
Balford	PROPN	Balford
complet	ADJ	complet
triple	NOUN	triple
1955	NOUN	1955
première	ADJ	premier
de	ADP	de
freshmen	ADJ	freshmen
année	NOUN	année
,	PUNCT	,
l'	DET	le
,	PUNCT	,
,	PUNCT	,
que	PRON	que
catégorie	NOUN	catégorie
de	ADP	de
connais	VERB	connaître
dans	ADP	dans
on	PRON	on
né	VERB	naître
enfance	NOUN	enfance
ne	ADV	ne
époque	NOUN	époque
de	ADP	de
,	PUNCT	,
où	PRON	où
il	PRON	il
de	ADP	de
,	PUNCT	,
imagine	VERB	imagine
Buck	PROPN	Buck
son	DET	son
assez	ADV	assez
ça	PRON	cela
l'	PRON	l'
dans	ADP	dans
Buck	PROPN	Buck
joueur	NOUN	joueur
mais	CCONJ	mais
tôt	ADV	tôt
j'	PRON	je
fait	VERB	faire
pilote	NOUN	pilote
,	PUNCT	,
gratifié	VERB	gratifier
la	DET	le
,	PUNCT	,
que	SCONJ	que
était	AUX	être
du	ADP	de
très	ADV	très
course	NOUN	course
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
partie	NOUN	partie
diminutif	NOUN	diminutif
à	ADP	à
du	ADP	de
pays	NOUN	pays
avait	AUX	avoir
pas	ADV	pas
l'	DET	le
basket	NOUN	basket
répandu	NOUN	répandu
du	ADP	de
garçon	NOUN	garçon
rejoint	VERB	rejoindre
Buck	PROPN	Buck
un	DET	un
:	PUNCT	:
petit	ADJ	petit
déjà	ADV	déjà
mère	NOUN	mère
qu'	SCONJ	que
,	PUNCT	,
c'	PRON	ce
l'	DET	le
dû	VERB	devoir
tout	ADV	tout
de	ADP	de
loin	ADV	loin
les	DET	le
impatienté	VERB	impatienter
!	PUNCT	!
de	ADP	de
heure	NOUN	heure
Sa	DET	son
qui	PRON	qui
hèle	VERB	héler
casse	VERB	casser
au	ADP	au
coucher	VERB	coucher
parent	NOUN	parent
!	PUNCT	!
le	DET	le
.	PUNCT	.
et	CCONJ	et
est	AUX	être
»	PUNCT	»
on	PRON	on
soleil	NOUN	soleil
«	NOUN	«
cri	NOUN	cri
où	PRON	où
foyer	NOUN	foyer
à	ADP	à
sages	NOUN	sage
.	PUNCT	.
Buck	PROPN	Buck
Buck	PROPN	Buck
turbulent	ADJ	turbulent
ont	AUX	avoir
a	AUX	avoir
enfants	NOUN	enfant
pas	ADV	pas
l'	PRON	l'
gentleman	NOUN	gentleman
,	PUNCT	,
,	PUNCT	,
du	ADP	de
vouloir	VERB	vouloir
du	ADP	de
société	NOUN	société
,	PUNCT	,
-	PUNCT	-
surtout	ADV	surtout
de	ADP	de
Et	CCONJ	et
début	NOUN	début
,	PUNCT	,
mères	NOUN	mère
son	DET	son
Kuschnick	PROPN	Kuschnick
elle	PRON	lui
de	ADP	de
voir	VERB	voir
haute	NOUN	haute
Balford	PROPN	Balford
beaucoup	ADV	beaucoup
au	ADP	au
n'	ADV	n'
appartenaient	VERB	appartenir
les	DET	le
pouvait	VERB	pouvoir
aristocratique	ADJ	aristocratique
la	DET	le
puisque	SCONJ	puisque
si	SCONJ	si
s'	PRON	se
comme	ADP	comme
à	ADP	à
Sud	PROPN	Sud
précisément	ADV	précisément
en	ADP	en
du	ADP	de
empêcher	VERB	empêcher
une	DET	un
siècle	NOUN	siècle
dernier	ADJ	dernier
ne	ADV	ne
appeler	VERB	appeler
réincarnation	NOUN	réincarnation
.	PUNCT	.
fils	NOUN	fils
faisait	VERB	faire
la	DET	le
quand	SCONJ	quand
Buck	PROPN	Buck
surtout	ADV	surtout
ça	PRON	cela
puis	CCONJ	puis
collège	NOUN	collège
qu'	SCONJ	que
le	DET	le
,	PUNCT	,
on	PRON	on
ça	DET	ça
parle	VERB	parle
renoncer	VERB	renoncer
ça	PRON	cela
:	PUNCT	:
luck	NOUN	luck
avec	ADP	avec
,	PUNCT	,
tranché	VERB	trancher
rime	VERB	rime
pour	ADP	pour
a	AUX	avoir
a	AUX	avoir
dû	VERB	devoir
fucket	NOUN	fucket
il	PRON	il
rimait	VERB	rimer
sonne	ADJ	sonn
on	PRON	on
imbécile	NOUN	imbécile
et	CCONJ	et
disait	VERB	dire
bien	ADV	bien
père	NOUN	père
l'	DET	le
sera	AUX	être
que	SCONJ	que
avec	ADP	avec
rigolait	VERB	rigoler
,	PUNCT	,
nous	PRON	nous
avec	ADP	avec
Buck	PROPN	Buck
ça	DET	ça
mère	NOUN	mère
au	ADP	au
on	PRON	on
,	PUNCT	,
page	NOUN	page
autre	ADJ	autre
imprimés	VERB	imprimer
éclat	NOUN	éclat
large	NOUN	large
dans	ADP	dans
d'	ADP	de
sont	AUX	être
,	PUNCT	,
de	ADP	de
format	NOUN	format
d'	ADP	de
deux	NUM	deux
milieu	NOUN	milieu
passait	VERB	passer
-	PUNCT	-
chose	NOUN	chose
le	DET	le
,	PUNCT	,
de	ADP	de
autre	ADJ	autre
prénoms	NOUN	prénom
Calyx	PROPN	Calyx
.	PUNCT	.
à	ADP	à
Il	PRON	il
à	ADP	à
la	DET	le
poste	NOUN	poste
gêné	ADJ	gêné
sous	ADP	sous
du	ADP	de
tout	ADV	tout
un	DET	un
.	PUNCT	.
suite	NOUN	suite
68	NUM	68
un	DET	un
timbre	NOUN	timbre
et	CCONJ	et
sa	DET	son
Les	DET	le
de	ADP	de
photo	NOUN	photo
,	PUNCT	,
