bonnes	ADJ	bon
Je	PRON	je
me	PRON	me
.	PUNCT	.
bien	ADV	bien
soir	NOUN	soir
I	ADJ	i
ne	ADV	ne
en	PRON	en
pressentiment	NOUN	pressentiment
me	PRON	me
souviens	VERB	souvenir
rien	PRON	rien
-	PUNCT	-
qu'	SCONJ	que
-	PUNCT	-
ce	DET	ce
comportement	NOUN	comportement
j'	PRON	je
L'	DET	le
frappé	VERB	frapper
dans	ADP	dans
m'	PRON	me
puis	VERB	pouvoir
avait	AUX	avoir
prétendre	VERB	prétendre
ai	VERB	avoir
de	DET	de
et	CCONJ	et
était	AUX	être
parut	VERB	paraître
pour	ADP	pour
un	DET	un
,	PUNCT	,
détendue	VERB	détendre
m'	PRON	me
raisons	NOUN	raison
-là	PRON	-là
entendu	VERB	entendre
le	DET	le
anormal	ADJ	anormal
et	CCONJ	et
mes	DET	mon
.	PUNCT	.
Je	PRON	je
atmosphère	NOUN	atmosphère
ne	ADV	ne
compagnons	NOUN	compagnon
souvenir	VERB	souvenir
de	ADP	de
y	PRON	y
que	PRON	que
alors	ADV	alors
nous	PRON	nous
me	PRON	me
Mais	CCONJ	mais
,	PUNCT	,
deviner	VERB	deviner
déterminer	VERB	déterminer
en	ADP	en
discussion	NOUN	discussion
.	PUNCT	.
générales	ADJ	général
de	ADP	de
de	ADP	de
même	ADV	même
.	PUNCT	.
n'	ADV	n'
,	PUNCT	,
étions	VERB	être
cocktails	NOUN	cocktail
et	CCONJ	et
de	ADP	de
avions	AUX	avoir
nos	DET	notre
discuté	VERB	discuter
lorsque	SCONJ	lorsque
j'	PRON	je
impossible	ADJ	impossible
à	ADP	à
les	DET	le
,	PUNCT	,
criminologie	NOUN	criminologie
Il	PRON	il
des	DET	un
prenant	VERB	prendre
repensai	NOUN	repensai
nous	PRON	nous
fut	AUX	être
rien	PRON	rien
conséquences	NOUN	conséquence
idées	NOUN	idée
pu	VERB	pouvoir
de	ADP	de
cette	DET	ce
bornés	VERB	borner
nous	PRON	nous
laisser	VERB	laisser
lequel	PRON	lequel
aurait	AUX	avoir
-	NOUN	-
avait	AUX	avoir
discussion	NOUN	discussion
le	PRON	le
verrez	NOUN	verrez
pu	VERB	pouvoir
nous	PRON	nous
cette	DET	ce
les	DET	le
taois	ADV	taois
comme	SCONJ	comme
vous	PRON	vous
été	AUX	être
,	PUNCT	,
sur	ADP	sur
tard	ADV	tard
avais	VERB	avoir
à	ADP	à
Pendant	ADP	pendant
rappeler	VERB	rappeler
j'	PRON	je
plus	ADV	plus
chez	ADP	chez
la	DET	le
Si	SCONJ	si
question	NOUN	question
les	DET	le
week	NOUN	week
.	PUNCT	.
les	DET	le
eut	VERB	avoir
,	PUNCT	,
le	DET	le
le	DET	le
événements	NOUN	événement
.	PUNCT	.
ends	NOUN	end
me	PRON	me
plus	ADV	plus
faciles	ADJ	facile
son	DET	son
auraient	AUX	avoir
.	PUNCT	.
importance	NOUN	importance
,	PUNCT	,
,	PUNCT	,
mis	VERB	mettre
Car	CCONJ	car
Thurston	NOUN	thurston
comprendre	VERB	comprendre
Chez	ADP	chez
pouvait	VERB	pouvoir
affirmait	VERB	affirmer
Tout	DET	tout
d'	ADP	de
occultes	ADJ	occulte
on	PRON	on
Chacun	PRON	chacun
la	DET	le
politique	ADJ	politique
qu'	PRON	qu'
il	PRON	il
bien	ADV	bien
était	AUX	être
religion	NOUN	religion
aussi	ADV	aussi
sciences	NOUN	science
examiné	VERB	examiner
que	SCONJ	que
sujet	NOUN	sujet
ou	CCONJ	ou
accueilli	ADJ	accueillir
,	PUNCT	,
crime	ADJ	crim
cinéma	NOUN	cinéma
,	PUNCT	,
possible	ADJ	possible
.	PUNCT	.
intelligemment	ADJ	intelligemment
ordre	NOUN	ordre
très	ADV	très
Thurston	NOUN	thurston
,	PUNCT	,
essayait	VERB	essayer
général	ADJ	général
,	PUNCT	,
les	DET	le
.	PUNCT	.
exposer	VERB	exposer
