jouer	VERB	jouer
chapitre	NOUN	chapitre
aussi	ADV	aussi
ne	ADV	ne
dix	NUM	dix
tournées	NOUN	tournée
Un	DET	un
mais	CCONJ	mais
tournée	NOUN	tournée
était	AUX	être
.	PUNCT	.
J'	PRON	je
,	PUNCT	,
nous	PRON	nous
.	PUNCT	.
.	PUNCT	.
les	DET	le
et	CCONJ	et
mère	NOUN	mère
parcouraient	VERB	parcourir
où	PRON	où
la	DET	le
en	ADP	en
les	DET	le
époque	NOUN	époque
rêves	NOUN	rêve
était	AUX	être
partie	VERB	partir
Ma	DET	mon
seulement	ADV	seulement
l'	DET	le
pièce	NOUN	pièce
C'	PRON	ce
avais	VERB	avoir
la	DET	le
l'	DET	le
une	DET	un
théâtrales	ADJ	théâtral
ans	NOUN	an
Suisse	PROPN	Suisse
Afrique	PROPN	Afrique
France	PROPN	France
Belgique	PROPN	Belgique
du	ADP	de
Nord	PROPN	Nord
pas	ADV	pas
sur	ADP	sur
,	PUNCT	,
et	CCONJ	et
la	DET	le
nomment	VERB	nommer
,	PUNCT	,
la	DET	le
un	DET	un
ces	DET	ce
,	PUNCT	,
habitions	VERB	habiter
à	ADP	à
le	DET	le
chez	ADP	chez
L'	DET	le
une	PRON	un
.	PUNCT	.
.	PUNCT	.
moi	PRON	moi
en	ADP	en
elle	PRON	lui
d'	ADP	de
que	SCONJ	que
village	NOUN	village
à	ADP	à
Une	DET	un
windowsprolongeait	NOUN	windowsprolongeait
frère	NOUN	frère
amies	NOUN	amie
et	CCONJ	et
les	DET	le
Anglais	PROPN	Anglais
saillie	NOUN	saillie
environs	NOUN	environ
façade	NOUN	façade
-	NOUN	-
,	PUNCT	,
de	ADP	de
de	ADP	de
des	DET	un
bow	VERB	bow
dans	ADP	dans
fenêtres	NOUN	fenêtre
maison	NOUN	maison
de	ADP	de
Paris	PROPN	Paris
étage	NOUN	étage
lierre	NOUN	lierre
.	PUNCT	.
des	ADP	de
mon	DET	mon
,	PUNCT	,
salon	NOUN	salon
un	DET	un
les	DET	le
la	DET	le
Avait	AUX	avoir
terrasse	NOUN	terrasse
avait	AUX	avoir
la	DET	le
Derrière	ADP	derrière
.	PUNCT	.
en	ADP	en
terrasses	NOUN	terrasse
maison	NOUN	maison
?	PUNCT	?
des	DET	un
du	ADP	de
jardin	ADJ	jardin
perfectionné	VERB	perfectionner
de	ADP	de
tombe	NOUN	tombe
machine	NOUN	machine
du	ADP	de
fond	NOUN	fond
clématites	NOUN	clématite
Tout	ADV	tout
,	PUNCT	,
Au	ADP	au
un	DET	un
à	ADP	à
couper	VERB	couper
sa	DET	son
était	AUX	être
-il	PRON	il
?	PUNCT	?
en	ADP	en
Y	PRON	y
cachée	VERB	cacher
.	PUNCT	.
têtes	NOUN	tête
première	ADJ	premier
-il	PRON	il
la	DET	le
vécu	VERB	vivre
sous	ADP	sous
docteur	NOUN	docteur
dans	ADP	dans
cette	DET	ce
jardin	ADJ	jardin
maison	NOUN	maison
Guillotin	PROPN	Guillotin
haut	ADJ	haut
du	ADP	de
du	ADP	de
,	PUNCT	,
portaient	NOUN	portaient
par	ADP	par
Curaçao	PROPN	Curaçao
émail	NOUN	émail
jardin	VERB	jardin
,	PUNCT	,
milieu	NOUN	milieu
.	PUNCT	.
,	PUNCT	,
Sherry	PROPN	Sherry
carafons	NOUN	carafon
la	DET	le
un	DET	un
Le	DET	le
d'	ADP	de
,	PUNCT	,
envahissait	VERB	envahir
des	DET	un
plaques	NOUN	plaque
de	ADP	de
au	ADP	au
pommiers	NOUN	pommier
petites	ADJ	petit
et	CCONJ	et
la	DET	le
margelle	NOUN	margelle
chèvrefeuille	NOUN	chèvrefeuille
d'	ADP	de
des	ADP	de
,	PUNCT	,
poirier	NOUN	poirier
,	PUNCT	,
argent	NOUN	argent
Les	DET	le
puits	NOUN	puits
accrochées	VERB	accrocher
.	PUNCT	.
liqueur	NOUN	liqueur
noms	NOUN	nom
aux	ADP	à
le	DET	le
:	PUNCT	:
Izarra	PROPN	Izarra
chaînettes	NOUN	chaînette
deux	NUM	deux
salon	NOUN	salon
de	ADP	de
dans	ADP	dans
.	PUNCT	.
qui	PRON	qui
façade	NOUN	façade
tout	ADV	tout
de	ADP	de
guéridon	NOUN	guéridon
cour	NOUN	cour
la	DET	le
on	PRON	on
téléphone	NOUN	téléphone
légèrement	VERB	légèremer
en	ADP	en
fenêtres	NOUN	fenêtre
repeint	VERB	repeindre
.	PUNCT	.
rue	NOUN	rue
un	DET	un
.	PUNCT	.
Docteur	NOUN	docteur
près	ADV	près
sur	ADP	sur
du	ADP	de
,	PUNCT	,
le	DET	le
posé	VERB	poser
jardin	VERB	jardin
-	PUNCT	-
Dordaine	NOUN	dordaine
du	ADP	de
l'	DET	le
de	ADP	de
jour	NOUN	jour
Le	DET	le
retrait	NOUN	retrait
une	PRON	un
était	AUX	être
Un	DET	un
,	PUNCT	,
la	DET	le
salon	NOUN	salon
la	DET	le
des	ADP	de
grillage	NOUN	grillage
maison	NOUN	maison
,	PUNCT	,
de	ADP	de
précédait	VERB	précéder
protégeait	VERB	protéger
avait	AUX	avoir
Un	DET	un
une	DET	un
grillage	NOUN	grillage
rue	NOUN	rue
,	PUNCT	,
villageois	ADJ	villageois
du	ADP	de
le	DET	le
La	DET	le
sœurs	NOUN	sœur
minium	NOUN	minium
avait	VERB	avoir
un	DET	un
qui	PRON	qui
puis	CCONJ	puis
