Halifax	PROPN	Halifax
-	PUNCT	-
l'	DET	le
,	PUNCT	,
ma	DET	mon
fait	VERB	faire
1	NUM	1
est	AUX	être
,	PUNCT	,
bonjour	NOUN	bonjour
me	PRON	me
demandais	VERB	demander
Cette	DET	ce
après-demain	ADJ	après-demain
Oh	PROPN	Oh
,	PUNCT	,
Il	PRON	il
y	PRON	y
Andrew	PROPN	Andrew
hein	NOUN	hein
-	PUNCT	-
fois	NOUN	fois
demain	ADV	demain
?	PUNCT	?
.	PUNCT	.
-	PUNCT	-
allait	VERB	aller
à	ADP	à
si	SCONJ	si
-	PUNCT	-
été	NOUN	été
ou	CCONJ	ou
,	PUNCT	,
,	PUNCT	,
Oui	PROPN	Oui
Lydia	PROPN	Lydia
aujourd'hui	ADV	aujourd'hui
beau	NOUN	beau
chérie	NOUN	chéri
ça	PRON	cela
.	PUNCT	.
.	PUNCT	.
,	PUNCT	,
-	PUNCT	-
Je	PRON	je
?	PUNCT	?
Thea	PROPN	Thea
c'	PRON	ce
ou	CCONJ	ou
est	VERB	être
fait	VERB	faire
-	PUNCT	-
me	PRON	me
un	PRON	un
pratiquement	VERB	pratiquemer
y	PRON	y
.	PUNCT	.
ne	ADV	ne
du	ADP	de
Oui	ADV	oui
je	PRON	je
n'	ADV	n'
Ecoute	NOUN	ecoute
de	ADP	de
oui	NOUN	oui
de	ADP	de
certainement	ADV	certainement
sais	VERB	savoir
.	PUNCT	.
de	ADP	de
va	VERB	aller
,	PUNCT	,
brouillons	NOUN	brouillon
pense	VERB	pense
il	PRON	il
que	SCONJ	que
J'	PRON	je
ai	AUX	avoir
papier	NOUN	papier
jours	NOUN	jour
ressemble	VERB	ressemble
de	ADP	de
.	PUNCT	.
ai	AUX	avoir
.	PUNCT	.
,	PUNCT	,
tellement	ADV	tellement
aller	VERB	aller
plus	ADV	plus
je	PRON	je
pas	ADV	pas
-	PUNCT	-
que	SCONJ	que
,	PUNCT	,
mais	CCONJ	mais
ces	DET	ce
Je	PRON	je
ça	PRON	cela
chapitre	NOUN	chapitre
bien	ADV	bien
gentil	ADJ	gentil
assassinat	NOUN	assassinat
ramette	NOUN	ramette
de	ADP	de
lui	PRON	lui
au	ADP	au
l'	DET	le
une	DET	un
prenne	VERB	prendre
que	SCONJ	que
sept	NUM	sept
?	PUNCT	?
rendre	VERB	rendre
qu'	PRON	qu'
dernière	ADJ	dernier
.	PUNCT	.
arrivée	VERB	arriver
-	PUNCT	-
C'	PRON	ce
la	DET	le
presque	ADV	presque
compte	NOUN	compte
il	PRON	il
la	DET	le
suis	AUX	être
semaine	NOUN	semaine
est	AUX	être
vraiment	ADV	vraiment
-	PUNCT	-
sans	ADP	sans
vingt	NUM	vingt
Qu'	PRON	qu'
,	PUNCT	,
Je	PRON	je
m'	PRON	me
je	PRON	je
.	PUNCT	.
bout	NOUN	bout
dirai	VERB	dire
.	PUNCT	.
et	CCONJ	et
en	PRON	en
est	AUX	être
un	DET	un
vingt-neuf	NOUN	vingt-neuf
rame	NOUN	rame
,	PUNCT	,
bien	ADV	bien
ce	PRON	ce
C'	PRON	ce
oublié	VERB	oublier
trouvera	VERB	trouver
?	PUNCT	?
avant	ADP	avant
si	SCONJ	si
pas	ADV	pas
il	PRON	il
courrier	NOUN	courrier
eu	VERB	avoir
que	SCONJ	que
intéressant	NOUN	intéressant
...	PUNCT	...
Sinon	ADV	sinon
lettre	NOUN	lettre
-	PUNCT	-
excuse	ADJ	excus
aurai	VERB	avoir
de	ADP	de
,	PUNCT	,
le	DET	le
en	PRON	en
,	PUNCT	,
ai	AUX	avoir
Et	CCONJ	et
n'	ADV	n'
dis	ADV	dis
j'	PRON	je
ai	AUX	avoir
-moi	PRON	moi
-	NOUN	-
-	PUNCT	-
J'	PRON	je
lui	PRON	lui
Oh	INTJ	Oh
end	NOUN	end
je	PRON	je
.	PUNCT	.
besoin	NOUN	besoin
,	PUNCT	,
quoi	PRON	quoi
Oh	PROPN	Oh
.	PUNCT	.
?	PUNCT	?
rien	PRON	rien
d'	ADP	de
week	NOUN	week
.	PUNCT	.
Du	ADP	de
une	DET	un
neuf	ADJ	neuf
Je	PRON	je
Maurice	PROPN	Maurice
Sa	DET	son
Tout	DET	tout
entre	ADP	entre
?	PUNCT	?
de	ADP	de
.	PUNCT	.
tout	DET	tout
Rien	PRON	rien
les	DET	le
guerres	NOUN	guerre
entends	NOUN	entend
mais	CCONJ	mais
Maurice	PROPN	Maurice
différentes	ADJ	différent
lui	PRON	lui
nouveau	ADJ	nouveau
de	ADP	de
dépend	NOUN	dépend
pour	ADP	pour
par	ADP	par
pas	ADV	pas
-	PUNCT	-
nouveau	ADJ	nouveau
Pauvre	PROPN	Pauvre
télé	VERB	téler
.	PUNCT	.
chaînes	NOUN	chaîne
ce	PRON	ce
lettre	NOUN	lettre
ai	VERB	avoir
.	PUNCT	.
intestines	ADJ	intestin
que	SCONJ	que
de	ADP	de
n'	ADV	n'
-	PUNCT	-
les	DET	le
«	NOUN	«
raconte	ADJ	racont
