vraiment	ADV	vraiment
alphabet	NOUN	alphabet
souvenirs	NOUN	souvenir
aux	ADP	à
disputent	VERB	disputer
faut	VERB	falloir
L'	DET	le
mes	DET	mon
d'	ADP	de
genre	NOUN	genre
parents	NOUN	parent
qui	PRON	qui
.	PUNCT	.
.	PUNCT	.
est	AUX	être
Ça	CCONJ	ça
il	PRON	il
Aussi	ADV	aussi
m'	PRON	me
enfants	NOUN	enfant
qu'	SCONJ	que
Elève	PROPN	Elève
Question	NOUN	question
révélations	NOUN	révélation
histoire	NOUN	histoire
C'	PRON	ce
a	AUX	avoir
jamais	ADV	jamais
ne	ADV	ne
Qu'	PRON	qu'
,	PUNCT	,
.	PUNCT	.
le	DET	le
se	PRON	se
on	PRON	on
d'	ADP	de
gênée	VERB	gêner
raconter	VERB	raconter
.	PUNCT	.
.	PUNCT	.
j'	PRON	je
enlève	VERB	enlever
que	SCONJ	que
entends	VERB	entendre
mes	DET	mon
.	PUNCT	.
des	ADP	de
remontent	VERB	remonter
habitude	NOUN	habitude
loin	ADV	loin
mezzanine	NOUN	mezzanine
commencent	VERB	commencer
ni	CCONJ	ni
,	PUNCT	,
escalier	NOUN	escalier
L'	DET	le
Ils	PRON	il
incliné	ADJ	incliné
Alors	ADV	alors
.	PUNCT	.
,	PUNCT	,
un	DET	un
y	PRON	y
a	AUX	avoir
de	ADP	de
l'	DET	le
.	PUNCT	.
:	PUNCT	:
,	PUNCT	,
par	ADP	par
tout	ADV	tout
tenait	VERB	tenir
.	PUNCT	.
à	ADP	à
de	ADP	de
propos	NOUN	propos
pour	ADP	pour
la	DET	le
ancienne	ADJ	ancien
.	PUNCT	.
un	DET	un
living	NOUN	living
rien	PRON	rien
vrai	NOUN	vrai
Ma	DET	mon
Et	CCONJ	et
du	ADP	de
escalier	NOUN	escalier
à	ADP	à
absolument	ADV	absolument
élévator	NOUN	élévator
mère	NOUN	mère
un	DET	un
,	PUNCT	,
non	ADV	non
exemple	NOUN	exemple
toujours	ADV	toujours
plan	NOUN	plan
on	PRON	on
pas	ADV	pas
performances	NOUN	performance
forcés	VERB	forcer
en	ADP	en
ordinaires	ADJ	ordinaire
du	ADP	de
des	ADP	de
été	AUX	être
Avec	ADP	avec
baisse	NOUN	baisse
type	NOUN	type
avait	VERB	avoir
toujours	ADV	toujours
.	PUNCT	.
Ma	DET	mon
robots	NOUN	robot
,	PUNCT	,
lieu	NOUN	lieu
a	AUX	avoir
dès	ADP	dès
,	PUNCT	,
au	ADP	au
Ça	CCONJ	ça
moindre	ADJ	moindre
acheter	VERB	acheter
,	PUNCT	,
des	DET	un
que	SCONJ	que
ses	DET	son
angoissé	VERB	angoisser
sur	ADP	sur
plus	ADV	plus
la	DET	le
de	ADP	de
peur	NOUN	peur
les	DET	le
OZ	PROPN	OZ
accusaient	VERB	accuser
servants	NOUN	servant
chômage	NOUN	chômage
nous	PRON	nous
mon	DET	mon
marches	NOUN	marche
cher	ADJ	cher
père	NOUN	père
qui	PRON	qui
maladroits	VERB	maladroits
d'	ADP	de
.	PUNCT	.
.	PUNCT	.
coûté	VERB	coûter
ça	PRON	cela
a	AUX	avoir
a	AUX	avoir
qui	PRON	qui
un	DET	un
est	AUX	être
mère	NOUN	mère
Elle	PRON	lui
a	AUX	avoir
,	PUNCT	,
supplémentaires	ADJ	supplémentaire
,	PUNCT	,
est	AUX	être
voulu	VERB	vouloir
D'	ADP	de
patron	NOUN	patron
c'	PRON	ce
le	DET	le
C'	PRON	ce
l'	PRON	l'
,	PUNCT	,
moi	PRON	moi
n'	ADV	n'
:	PUNCT	:
escalier	NOUN	escalier
«	NOUN	«
est	AUX	être
pour	ADP	pour
.	PUNCT	.
demandé	VERB	demander
dû	VERB	devoir
elle	PRON	lui
accord	NOUN	accord
prendre	VERB	prendre
,	PUNCT	,
cet	DET	ce
qu'	SCONJ	que
moi	PRON	moi
deuxième	ADJ	deuxième
qui	PRON	qui
faire	VERB	faire
c'	PRON	ce
.	PUNCT	.
des	DET	un
heures	NOUN	heure
ai	AUX	avoir
dit	VERB	dire
»	PUNCT	»
pas	ADV	pas
paie	NOUN	paie
la	PRON	le
grossesse	NOUN	grossesse
relevait	VERB	relever
pour	ADP	pour
Il	PRON	il
son	DET	son
de	ADP	de
se	PRON	se
et	CCONJ	et
souvent	ADV	souvent
en	ADP	en
coin	NOUN	coin
.	PUNCT	.
peu	ADV	peu
nuit	NOUN	nuit
prenait	VERB	prendre
à	ADP	à
se	PRON	se
rages	NOUN	rage
finir	VERB	finir
rivée	VERB	river
Mon	DET	mon
près	ADV	près
Même	ADV	même
restait	VERB	rester
la	DET	le
,	PUNCT	,
de	ADP	de
des	DET	un
travaux	NOUN	travail
,	PUNCT	,
si	ADV	si
,	PUNCT	,
...	PUNCT	...
de	ADP	de
elle	PRON	lui
sentir	VERB	sentir
terminal	NOUN	terminal
lui	PRON	lui
père	NOUN	père
venait	VERB	venir
secrétariat	NOUN	secrétariat
,	PUNCT	,
la	DET	le
regarder	VERB	regarder
ses	DET	son
.	PUNCT	.
puis	CCONJ	puis
si	ADV	si
couchait	VERB	coucher
étais	VERB	être
!	PUNCT	!
cesse	NOUN	cesse
les	DET	le
ce	DET	ce
dans	ADP	dans
disponible	ADJ	disponible
sans	ADP	sans
dans	ADP	dans
su	VERB	savoir
Parce	SCONJ	parce
qu'	SCONJ	que
qu'	PRON	qu'
ventre	NOUN	ventre
l'	PRON	l'
-là	PRON	-là
