Ensuite	ADV	ensuite
Elle	PRON	lui
jeune	ADJ	jeune
moi	PRON	moi
était	AUX	être
avançant	VERB	avancer
1	NUM	1
une	DET	un
un	DET	un
qu'	SCONJ	que
vis	VERB	voir
qu'	SCONJ	que
Un	DET	un
aguichant	VERB	aguicher
d'	ADP	de
,	PUNCT	,
s'	PRON	se
tard	ADV	tard
impeccablement	NOUN	impeccablement
,	PUNCT	,
lointaine	NOUN	lointaine
instant	NOUN	instant
fut	AUX	être
fut	AUX	être
silhouette	ADJ	silhouett
tout	ADV	tout
habillée	VERB	habiller
.	PUNCT	.
et	CCONJ	et
d'	DET	d'
fille	NOUN	fille
ce	PRON	ce
abord	ADV	abord
elle	PRON	lui
autres	ADJ	autre
une	DET	un
,	PUNCT	,
vers	ADP	vers
jolie	ADJ	joli
plus	ADV	plus
.	PUNCT	.
.	PUNCT	.
c'	PRON	ce
Puis	CCONJ	puis
je	PRON	je
parmi	ADP	parmi
ne	ADV	ne
était	AUX	être
être	AUX	être
,	PUNCT	,
.	PUNCT	.
dont	PRON	dont
A	ADP	à
le	DET	le
nous	PRON	nous
et	CCONJ	et
,	PUNCT	,
.	PUNCT	.
avaient	AUX	avoir
êtes	AUX	être
réflexions	NOUN	réflexion
,	PUNCT	,
oui	NOUN	oui
faire	AUX	faire
«	NOUN	«
rejoints	ADJ	rejoindre
,	PUNCT	,
-	PUNCT	-
et	CCONJ	et
vague	NOUN	vague
»	PUNCT	»
,	PUNCT	,
échangés	ADJ	échanger
yeux	NOUN	oeil
?	PUNCT	?
demandaient	ADV	demandaient
presque	ADV	presque
croisés	VERB	croiser
,	PUNCT	,
précisait	VERB	préciser
ce	DET	ce
regards	NOUN	regard
vous	PRON	vous
nous	PRON	nous
«	NOUN	«
seul	ADJ	seul
Les	DET	le
dont	PRON	dont
étions	VERB	être
dites	VERB	dire
stade	NOUN	stade
si	SCONJ	si
moi	NOUN	moi
de	ADP	de
mes	DET	mon
sourire	ADJ	sourir
les	DET	le
»	PUNCT	»
semblé	ADV	semblé
le	DET	le
fait	VERB	faire
une	DET	un
perceptible	ADJ	perceptible
sien	NOUN	sien
.	PUNCT	.
continuait	VERB	continuer
jaillir	VERB	jaillir
même	ADJ	même
quelqu'	ADP	quelqu'
rebroussai	VERB	rebrousser
soulevé	VERB	soulever
mon	DET	mon
trop	ADV	trop
.	PUNCT	.
.	PUNCT	.
est	AUX	être
elle	PRON	lui
être	AUX	être
que	PRON	que
.	PUNCT	.
qu'	SCONJ	que
vite	ADV	vite
rencontre	VERB	rencontre
entre	ADP	entre
tandis	ADV	tandis
nous	PRON	nous
l'	DET	le
on	PRON	on
ce	PRON	ce
s'	PRON	se
.	PUNCT	.
on	PRON	on
Je	PRON	je
chapeau	NOUN	chapeau
était	AUX	être
chemin	VERB	chemin
lorsqu'	SCONJ	lorsque
le	DET	le
C'	PRON	ce
pour	ADP	pour
Et	CCONJ	et
passé	VERB	passer
,	PUNCT	,
j'	PRON	je
avais	VERB	avoir
Cela	PRON	cela
étincelle	NOUN	étincelle
et	CCONJ	et
un	PRON	un
flagrant	ADJ	flagrant
Elle	PRON	lui
je	PRON	je
elle	PRON	lui
Rien	PRON	rien
c'	PRON	ce
voir	VERB	voir
Et	CCONJ	et
était	AUX	être
vêtue	VERB	vêtir
tout	ADJ	tout
moi	PRON	moi
.	PUNCT	.
soleil	NOUN	soleil
bleu	NOUN	bleu
,	PUNCT	,
là	ADV	là
le	PRON	le
cela	PRON	cela
la	DET	le
de	ADP	de
pouvait	VERB	pouvoir
,	PUNCT	,
entièrement	ADV	entièrement
avais	VERB	avoir
monde	NOUN	monde
rencontrée	VERB	rencontrer
différence	NOUN	différence
.	PUNCT	.
toute	ADJ	tout
nouveau	ADJ	nouveau
,	PUNCT	,
presque	ADV	presque
comme	ADP	comme
Et	CCONJ	et
sous	ADP	sous
le	DET	le
était	AUX	être
.	PUNCT	.
était	AUX	être
tout	ADV	tout
et	CCONJ	et
le	DET	le
Mais	CCONJ	mais
c'	PRON	ce
était	AUX	être
bien	ADV	bien
l'	PRON	l'
c'	PRON	ce
de	ADP	de
.	PUNCT	.
yeux	NOUN	oeil
mais	CCONJ	mais
avec	ADP	avec
rayons	NOUN	rayon
.	PUNCT	.
sous	ADP	sous
,	PUNCT	,
fondait	VERB	fondre
farfadets	NOUN	farfadet
d'	ADP	de
peau	NOUN	peau
qui	PRON	qui
une	DET	un
,	PUNCT	,
scintillants	NOUN	scintillant
petites	ADJ	petit
comme	ADP	comme
fine	NOUN	fine
jouaient	ADV	jouaient
du	ADP	de
acier	VERB	acier
texture	NOUN	texture
des	ADP	de
bas	NOUN	bas
gris	NOUN	gris
,	PUNCT	,
dans	ADP	dans
ses	DET	son
flammes	NOUN	flamme
,	PUNCT	,
le	DET	le
tels	ADJ	tel
,	PUNCT	,
transparaissait	VERB	transparaître
étaient	AUX	être
un	DET	un
,	PUNCT	,
les	DET	le
De	ADP	de
si	SCONJ	si
rose	NOUN	rose
d'	ADP	de
elle	PRON	lui
de	ADP	de
sa	DET	son
soleil	NOUN	soleil
ses	DET	son
se	PRON	se
gambadants	NOUN	gambadant
qu'	PRON	qu'
»	PUNCT	»
de	ADP	de
dire	VERB	dire
parfois	ADV	parfois
expression	NOUN	expression
Elle	PRON	lui
image	NOUN	image
veux	VERB	vouloir
dites	VERB	dire
formes	NOUN	forme
employait	VERB	employer
aussi	ADV	aussi
«	PUNCT	«
ça	PRON	cela
fantaisie	NOUN	fantaisie
,	PUNCT	,
.	PUNCT	.
voyez	VERB	voir
Pas	ADV	pas
d'	ADP	de
moqueuses	NOUN	moqueur
si	SCONJ	si
Ne	ADV	ne
et	CCONJ	et
et	CCONJ	et
de	ADP	de
Vrai	PROPN	Vrai
?	PUNCT	?
«	NOUN	«
voix	NOUN	voix
»	PUNCT	»
-	PUNCT	-
,	PUNCT	,
une	DET	un
traînante	ADJ	traînant
dansantes	ADJ	dansant
.	PUNCT	.
disait	VERB	dire
horrible	ADJ	horrible
vous	PRON	vous
,	PUNCT	,
,	PUNCT	,
que	PRON	que
et	CCONJ	et
elle	PRON	lui
une	DET	un
gaieté	NOUN	gaieté
je	PRON	je
pas	ADV	pas
ce	PRON	ce
souris	VERB	sourire
-	PUNCT	-
C'	PRON	ce
classe	NOUN	classe
vie	NOUN	vie
manque	VERB	manque
.	PUNCT	.
-	PUNCT	-
de	ADP	de
fait	VERB	faire
fois	NOUN	fois
de	ADP	de
-Vous	PRON	vous
elle	PRON	lui
?	PUNCT	?
je	PRON	je
ça	PRON	cela
plutôt	ADV	plutôt
ça	PRON	cela
.	PUNCT	.
,	PUNCT	,
faites	ADJ	fait
demandai	NOUN	demandai
pourquoi	ADV	pourquoi
Avenue	PROPN	Avenue
pas	ADV	pas
.	PUNCT	.
Je	PRON	je
fais	VERB	faire
Et	CCONJ	et
est	AUX	être
lui	PRON	lui
-Ça	PRON	-ça
ma	DET	mon
alors	ADV	alors
Troisième	ADJ	troisième
et	CCONJ	et
de	ADP	de
que	PRON	que
...	PUNCT	...
bien	ADV	bien
?	PUNCT	?
.	PUNCT	.
la	DET	le
première	ADJ	premier
-	PUNCT	-
Et	CCONJ	et
1	NUM	1
