attaques	NOUN	attaque
Ange	NOUN	ange
les	DET	le
du	ADP	de
pièges	NOUN	piège
Glace	PROPN	Glace
01	NUM	01
sous	ADP	sous
est	AUX	être
but	NOUN	but
,	PUNCT	,
dans	ADP	dans
vue	NOUN	vue
règle	NOUN	règle
touche	NOUN	touche
,	PUNCT	,
de	ADP	de
ses	DET	son
cours	NOUN	cours
Prince	PROPN	Prince
Palais	PROPN	Palais
.	PUNCT	.
C'	PRON	ce
Ange	NOUN	ange
le	DET	le
Bleu	NOUN	bleu
de	ADP	de
ses	DET	son
au	ADP	au
Ténèbres	PROPN	Ténèbres
assauts	NOUN	assaut
.	PUNCT	.
au	ADP	au
ses	DET	son
est	AUX	être
:	PUNCT	:
sournoises	ADJ	sournois
Noire	PROPN	Noire
insidieux	ADJ	insidieux
Tous	ADJ	tout
de	ADP	de
en	ADP	en
ont	AUX	avoir
l'	DET	le
Ennemi	NOUN	ennemi
des	ADP	de
Bleu	NOUN	bleu
péri	ADJ	péri
la	DET	le
compagnons	NOUN	compagnon
qui	PRON	qui
le	DET	le
les	DET	le
survivant	VERB	survivre
est	AUX	être
un	DET	un
:	PUNCT	:
traversé	VERB	traverser
;	PUNCT	;
peut	VERB	pouvoir
-	PUNCT	-
X	NOUN	x
c'	PRON	ce
le	DET	le
Noire	PROPN	Noire
;	PUNCT	;
par	ADP	par
.	PUNCT	.
l'	DET	le
—	PRON	—
que	SCONJ	que
est	AUX	être
Shanti	PROPN	Shanti
de	ADP	de
atteint	NOUN	atteint
Glace	PROPN	Glace
Hydre	PROPN	Hydre
Hybride	NOUN	hybride
vaincu	VERB	vaincre
ce	PRON	ce
Marais	PROPN	Marais
dévoré	NOUN	dévoré
ne	ADV	ne
s'	PRON	se
survivant	ADJ	survivant
être	AUX	être
a	AUX	avoir
unique	ADJ	unique
enlisé	VERB	enliser
lui	PRON	lui
Gluants	PROPN	Gluants
,	PUNCT	,
Bleu	PROPN	Bleu
où	PRON	où
Neutron	PROPN	Neutron
et	CCONJ	et
Palais	PROPN	Palais
a	AUX	avoir
parcouru	VERB	parcourir
Ange	NOUN	ange
,	PUNCT	,
d'	ADP	de
la	DET	le
Ténébreuses	NOUN	ténébreux
limace	NOUN	limace
les	DET	le
Corridor	NOUN	corridor
de	ADP	de
dans	ADP	dans
à	ADP	à
changé	VERB	changer
Supermax	NOUN	superma
808	PROPN	808
sinistre	ADJ	sinistre
a	AUX	avoir
Seul	ADJ	seul
combattu	ADJ	combattre
;	PUNCT	;
blessé	VERB	blesser
qui	PRON	qui
;	PUNCT	;
et	CCONJ	et
prudemment	VERB	prudemmer
où	PRON	où
terreur	NOUN	terreur
Minilys	PROPN	Minilys
