Juif	NOUN	juif
A	NOUN	a
,	PUNCT	,
conversation	NOUN	conversation
.	PUNCT	.
engageai	VERB	engager
I	ADJ	i
qui	PRON	qui
une	DET	un
provenance	NOUN	provenance
adressa	VERB	adresser
la	DET	le
être	AUX	être
cinquantaine	NOUN	cinquantaine
appareil	NOUN	appareil
homme	NOUN	homme
j'	PRON	je
,	PUNCT	,
question	NOUN	question
avec	ADP	avec
,	PUNCT	,
plus	ADV	plus
d'	ADP	de
de	ADP	de
Floride	NOUN	floride
l'	DET	le
était	AUX	être
un	DET	un
en	ADP	en
voisin	NOUN	voisin
le	DET	le
âgé	ADJ	âgé
en	ADP	en
parole	NOUN	parole
-	PUNCT	-
de	ADP	de
européen	ADJ	européen
la	DET	le
L'	DET	le
exact	ADJ	exact
premier	ADJ	premier
pour	ADP	pour
est	AUX	être
,	PUNCT	,
m'	PRON	me
mon	DET	mon
bord	NOUN	bord
lui	PRON	lui
bonne	ADJ	bon
c'	PRON	ce
moins	ADV	moins
années	NOUN	année
accent	NOUN	accent
lors	ADV	lors
une	DET	un
des	ADP	de
d'	ADP	de
son	DET	son
aviez	VERB	avoir
été	AUX	être
fit	VERB	faire
état	VERB	état
.	PUNCT	.
mon	DET	mon
famille	NOUN	famille
de	ADP	de
arrivée	NOUN	arrivée
néanmoins	ADV	néanmoins
,	PUNCT	,
de	ADP	de
l'	DET	le
Il	PRON	il
Vous	PRON	vous
dont	PRON	dont
par	ADP	par
la	DET	le
pour	ADP	pour
le	DET	le
reprises	NOUN	reprise
Seconde	ADJ	second
européen	ADJ	européen
«	NOUN	«
avait	AUX	avoir
à	ADP	à
Guerre	NOUN	guerre
chassée	VERB	chasser
.	PUNCT	.
Nazis	PROPN	Nazis
douzaine	NOUN	douzaine
était	AUX	être
et	CCONJ	et
mondiale	ADJ	mondial
fier	ADJ	fier
il	PRON	il
en	PRON	en
la	DET	le
,	PUNCT	,
de	ADP	de
remarqué	VERB	remarquer
très	ADV	très
vécu	VERB	vivre
,	PUNCT	,
pas	ADV	pas
amples	ADJ	ample
m'	PRON	me
de	ADP	de
accent	NOUN	accent
était	AUX	être
a	VERB	avoir
ne	ADV	ne
»	PUNCT	»
.	PUNCT	.
Cela	PRON	cela
,	PUNCT	,
»	PUNCT	»
qu'	SCONJ	que
obtenir	VERB	obtenir
ans	NOUN	an
avait	VERB	avoir
précisions	NOUN	précision
à	ADP	à
faisait	VERB	faire
qu	PRON	que
entendu	VERB	entendre
pas	ADV	pas
...	PUNCT	...
beaucoup	ADV	beaucoup
plus	ADV	plus
il	PRON	il
ses	DET	son
rentré	VERB	rentrer
États-Unis	PROPN	États-Unis
Je	PRON	je
Il	PRON	il
origines	NOUN	origine
cherchai	VERB	chercher
aux	ADP	à
plus	ADV	plus
apparut	VERB	apparaître
quatre	NUM	quatre
«	NOUN	«
.	PUNCT	.
il	PRON	il
chez	ADP	chez
lui	PRON	lui
sur	ADP	sur
bien	ADV	bien
n'	ADV	n'
Aguazul	PROPN	Aguazul
qu'	SCONJ	que
à	ADP	à
qu'	SCONJ	que
s'	PRON	se
.	PUNCT	.
et	CCONJ	et
d'	ADP	de
mais	CCONJ	mais
de	ADP	de
dans	ADP	dans
fortement	ADV	fortement
aisance	NOUN	aisance
en	ADP	en
ce	DET	ce
espagnol	NOUN	espagnol
était	AUX	être
portugais	ADJ	portugais
pays	NOUN	pays
les	DET	le
s'	PRON	se
Aussi	ADV	aussi
son	DET	son
vol	NOUN	vol
nôtre	NOUN	nôtre
,	PUNCT	,
à	ADP	à
il	PRON	il
acharnait	VERB	acharner
-il	PRON	il
,	PUNCT	,
bien	ADV	bien
exprimer	VERB	exprimer
la	DET	le
très	ADV	très
anglais	PRON	anglais
que	SCONJ	que
attaché	VERB	attacher
interpeller	VERB	interpeller
adoption	NOUN	adoption
en	PRON	en
