étonnement	NOUN	étonnement
il	PRON	il
l'	DET	le
les	DET	le
,	PUNCT	,
mourrait	VERB	mourir
QUAND	SCONJ	quand
avec	ADP	avec
pas	ADV	pas
l'	DET	le
jouissait	VERB	jouir
,	PUNCT	,
du	ADP	de
grand	ADJ	grand
publique	ADJ	public
un	DET	un
Tach	PROPN	Tach
sollicitèrent	VERB	solliciter
considérable	ADJ	considérable
deux	NUM	deux
Prétextat	PROPN	Prétextat
monde	NOUN	monde
fut	AUX	être
de	ADP	de
écrivain	ADJ	écrivain
notoriété	ADV	notoriété
;	PUNCT	;
l'	PRON	l'
prestige	NOUN	prestige
,	PUNCT	,
octogénaire	NOUN	octogénaire
en	PRON	en
que	SCONJ	que
certes	ADV	certes
des	DET	un
immense	NOUN	immense
n'	ADV	n'
dans	ADP	dans
d'	ADP	de
entier	ADJ	entier
.	PUNCT	.
journalistes	NOUN	journaliste
entretiens	NOUN	entretien
Le	DET	le
vieillard	NOUN	vieillard
mois	NOUN	mois
fut	AUX	être
privés	ADJ	priver
moins	ADV	moins
des	ADP	de
put	PRON	put
voir	VERB	voir
Nankinet	PROPN	Nankinet
aussi	ADV	aussi
mois	NOUN	mois
de	ADP	de
de	ADP	de
de	ADP	de
idée	NOUN	idée
romancier	NOUN	romancier
Ainsi	ADV	ainsi
,	PUNCT	,
sommes	AUX	être
l'	DET	le
chevet	NOUN	chevet
son	DET	son
émissaires	NOUN	émissaire
traduire	VERB	traduire
,	PUNCT	,
connus	ADJ	connu
des	DET	un
permis	VERB	permettre
une	DET	un
,	PUNCT	,
,	PUNCT	,
au	ADP	au
M.	NOUN	m.
Tach	PROPN	Tach
décès	NOUN	décès
(	PUNCT	(
The	X	The
faire	VERB	faire
du	ADP	de
deux	NUM	deux
nous	PRON	nous
francophone	VERB	francophone
se	PRON	se
quotidiens	NOUN	quotidien
avant	ADP	avant
de	ADP	de
Bangladesh	X	Bangladesh
nous	PRON	nous
Les	DET	le
Observer	PROPN	Observer
.	PUNCT	.
que	SCONJ	que
accourir	VERB	accourir
Rumeurs	NOUN	rumeur
de	ADP	de
)	PUNCT	)
refusa	VERB	refuser
de	ADP	de
mourant	ADJ	mourant
parmi	ADP	parmi
faisait	VERB	faire
sélection	NOUN	sélection
ampleur	NOUN	ampleur
le	DET	le
couleur	NOUN	couleur
se	PRON	se
français	ADJ	français
et	CCONJ	et
tous	ADJ	tout
parce	SCONJ	parce
Son	DET	son
à	ADP	à
une	DET	un
en	ADP	en
