annonçait	VERB	annoncer
.	PUNCT	.
une	DET	un
se	PRON	se
étroits	NOUN	étroit
New	X	New
1	NUM	1
qu'	SCONJ	que
en	ADP	en
matin	NOUN	matin
abattre	VERB	abattre
sur	ADP	sur
d'	ADP	de
des	ADP	de
un	DET	un
de	ADP	de
lorsque	SCONJ	lorsque
vent	ADJ	vent
.	PUNCT	.
sent	VERB	sentir
,	PUNCT	,
un	DET	un
,	PUNCT	,
était	AUX	être
hiver	VERB	hiver
par	ADP	par
La	DET	le
météo	NOUN	météo
Manhattan	PROPN	Manhattan
dans	ADP	dans
pluie	NOUN	pluie
encore	ADV	encore
sombre	NOUN	sombre
les	DET	le
les	DET	le
d'	ADP	de
pire	ADJ	pire
York	PROPN	York
goulets	NOUN	goulet
glacial	NOUN	glacial
drue	VERB	drue
serres	NOUN	serre
Nord-Ouest	PROPN	Nord-Ouest
vient	VERB	venir
s'	PRON	se
pris	VERB	prendre
C'	PRON	ce
et	CCONJ	et
provenance	NOUN	provenance
de	ADP	de
lança	VERB	lancer
du	ADP	de
moins	ADV	moins
Robert	PROPN	Robert
adressa	NOUN	adressa
et	CCONJ	et
plaines	NOUN	plaine
au	ADP	au
la	DET	le
s'	PRON	se
.	PUNCT	.
Il	PRON	il
,	PUNCT	,
,	PUNCT	,
l'	DET	le
toutes	ADJ	tout
étage	NOUN	étage
une	DET	un
sourire	ADJ	sourir
Carlton	PROPN	Carlton
trente-huitième	ADJ	trente-huitièm
ce	PRON	ce
à	ADP	à
.	PUNCT	.
au	ADP	au
Lorsque	SCONJ	lorsque
rapide	ADJ	rapide
,	PUNCT	,
un	DET	un
dans	ADP	dans
pour	ADP	pour
boutade	NOUN	boutade
ascenseur	NOUN	ascenseur
leur	DET	leur
le	DET	le
arrêta	VERB	arrêter
une	DET	un
que	SCONJ	que
à	ADP	à
fut	AUX	être
les	DET	le
couloir	NOUN	couloir
éclaircie	ADJ	éclaircir
femmes	NOUN	femme
alentour	NOUN	alentour
sortit	VERB	sortir
Canada	PROPN	Canada
...	PUNCT	...
réceptionniste	NOUN	réceptionniste
belle	ADJ	bel
...	PUNCT	...
se	PRON	se
est	AUX	être
,	PUNCT	,
nouvelle	ADJ	nouveau
la	DET	le
et	CCONJ	et
n'	ADV	n'
le	DET	le
,	PUNCT	,
réceptionniste	NOUN	réceptionniste
à	ADP	à
.	PUNCT	.
des	ADP	de
de	ADP	de
.	PUNCT	.
de	ADP	de
encore	ADV	encore
peut	VERB	pouvoir
les	DET	le
bureaux	NOUN	bureau
—	PUNCT	—
deux	PRON	deux
,	PUNCT	,
les	DET	le
sûr	ADJ	sûr
faire	AUX	faire
mieux	ADV	mieux
Il	PRON	il
fabricants	ADJ	fabricant
rien	PRON	rien
les	DET	le
lui	PRON	lui
une	DET	un
de	ADP	de
vers	ADP	vers
Toutes	ADJ	tout
Carltonworld	PROPN	Carltonworld
employée	NOUN	employé
Et	CCONJ	et
,	PUNCT	,
jouets	NOUN	jouet
aujourd'hui	ADV	aujourd'hui
dit	VERB	dire
la	DET	le
prospères	NOUN	prospère
dirigea	VERB	diriger
ce	PRON	ce
suivirent	NOUN	suivirent
,	PUNCT	,
étroit	ADJ	étroit
.	PUNCT	.
ans	NOUN	an
jais	NOUN	jais
immenses	ADJ	immense
comme	ADP	comme
yeux	NOUN	oeil
trente-deux	NOUN	trente-deu
Sa	DET	son
assurance	NOUN	assurance
,	PUNCT	,
