dévoilé	VERB	dévoiler
Alexeï	PROPN	Alexeï
Depuis	ADP	depuis
.	PUNCT	.
parlait	VERB	parler
de	ADP	de
Prologue	PROPN	Prologue
.	PUNCT	.
sa	DET	son
qui	PRON	qui
minutes	NOUN	minute
qu'	PRON	qu'
avait	AUX	avoir
.	PUNCT	.
l'	DET	le
il	PRON	il
face	NOUN	face
:	PUNCT	:
avait	VERB	avoir
L'	DET	le
en	ADP	en
pas	ADV	pas
de	ADP	de
observa	VERB	observer
assis	VERB	asseoir
attentivement	ADV	attentivement
toujours	ADV	toujours
pas	ADV	pas
n'	ADV	n'
du	ADP	de
une	DET	un
raison	NOUN	raison
homme	NOUN	homme
il	PRON	il
K.G.B.	PROPN	K.G.B.
était	AUX	être
la	DET	le
lui	PRON	lui
,	PUNCT	,
changé	VERB	changer
bonne	ADJ	bon
n'	ADV	n'
aussi	ADV	aussi
vingtaine	NOUN	vingtaine
de	ADP	de
agent	ADV	agent
Demyenov	PROPN	Demyenov
louvoyant	ADJ	louvoyant
visite	NOUN	visite
toujours	ADV	toujours
Cette	DET	ce
Ecoutez	PROPN	Ecoutez
vous	PRON	vous
de	DET	de
»	PUNCT	»
ai	VERB	avoir
—	PUNCT	—
faut	VERB	falloir
été	AUX	être
en	ADP	en
les	DET	le
«	NOUN	«
-en	PRON	-en
par	ADP	par
interrompit	NOUN	interrompit
lisez	VERB	lire
n'	ADV	n'
.	PUNCT	.
-	PROPN	-
temps	NOUN	temps
je	PRON	je
aux	ADP	à
a	AUX	avoir
,	PUNCT	,
,	PUNCT	,
l'	DET	le
même	ADV	même
.	PUNCT	.
vous	PRON	vous
perdre	VERB	perdre
mettre	VERB	mettre
nous	PRON	nous
-il	PRON	il
i	ADJ	i
.	PUNCT	.
russe	NOUN	russe
lettre	NOUN	lettre
pas	ADV	pas
,	PUNCT	,
faits	NOUN	fait
les	DET	le
Venez	PROPN	Venez
Puisqu'	SCONJ	puisque
points	NOUN	point
sur	ADP	sur
à	ADP	à
Breskov	PROPN	Breskov
il	PRON	il
envoyée	VERB	envoyer
—	PUNCT	—
j'	PRON	je
certaine	NOUN	certaine
—	PUNCT	—
les	DET	le
Moscou	PROPN	Moscou
de	ADP	de
une	DET	un
.	PUNCT	.
.	PUNCT	.
parcourut	ADJ	parcourut
une	DET	un
conférence	NOUN	conférence
vois	VERB	voir
Nous	PRON	nous
Alexeï	NOUN	alexeï
—	PUNCT	—
avant	ADP	avant
quoi	PRON	quoi
est	AUX	être
épaulés	NOUN	épaulé
yeux	NOUN	oeil
pas	ADV	pas
comprendre	VERB	comprendre
Stuart	PROPN	Stuart
des	ADP	de
.	PUNCT	.
ce	PRON	ce
que	PRON	que
C'	PRON	ce
—	PUNCT	—
Cette	DET	ce
cru	VERB	croire
la	DET	le
à	ADP	à
Je	PRON	je
rapidement	ADV	rapidement
ai	AUX	avoir
hausser	VERB	hausser
.	PUNCT	.
en	ADP	en
femme	NOUN	femme
ne	ADV	ne
me	PRON	me
voudrait	VERB	vouloir
organiser	VERB	organiser
.	PUNCT	.
Kendall	PROPN	Kendall
concerne	VERB	concerne
—	PUNCT	—
cela	PRON	cela
mon	DET	mon
l'	DET	le
nous	PRON	nous
Je	PRON	je
.	PUNCT	.
problème	NOUN	problème
avons	VERB	avoir
car	CCONJ	car
Il	PRON	il
.	PUNCT	.
charger	VERB	charger
des	DET	un
—	PUNCT	—
a	VERB	avoir
laisser	VERB	laisser
Ce	PRON	ce
votre	DET	votre
bientôt	ADV	bientôt
est	AUX	être
ne	ADV	ne
est	AUX	être
Ce	PRON	ce
—	PUNCT	—
de	ADP	de
C'	PRON	ce
la	PRON	le
pas	ADV	pas
vraiment	ADV	vraiment
n'	ADV	n'
toujours	ADV	toujours
avons	AUX	avoir
.	PUNCT	.
faire	VERB	faire
négociations	NOUN	négociation
pas	ADV	pas
—	PUNCT	—
domaine	NOUN	domaine
.	PUNCT	.
—	PUNCT	—
sera	AUX	être
décidé	VERB	décider
...	PUNCT	...
vôtre	NOUN	vôtre
de	ADP	de
vous	PRON	vous
vois	VERB	voir
intention	NOUN	intention
,	PUNCT	,
y	PRON	y
le	DET	le
aux	ADP	à
début	NOUN	début
père	NOUN	père
proche	ADJ	proche
patience	NOUN	patience
très	ADV	très
un	DET	un
son	DET	son
-	PROPN	-
que	SCONJ	que
commençait	VERB	commencer
à	ADP	à
-on	PROPN	-on
!	PUNCT	!
Nous	PRON	nous
—	PUNCT	—
...	PUNCT	...
?	PUNCT	?
aimez	VERB	aimer
d'	ADP	de
très	ADV	très
savoir	VERB	savoir
Bres	PROPN	Bres
tout	ADV	tout
deveniez	VERB	devenir
!	PUNCT	!
vraiment	ADV	vraiment
jouer	VERB	jouer
Vous	PRON	vous
.	PUNCT	.
nous	PRON	nous
,	PUNCT	,
voulons	VERB	vouloir
perdre	VERB	perdre
—	PUNCT	—
vous	PRON	vous
devinettes	NOUN	devinette
...	PUNCT	...
.	PUNCT	.
pourquoi	ADV	pourquoi
intéresse	VERB	intéresse
Peut	PROPN	Peut
Disons	NOUN	dison
.	PUNCT	.
Alexeï	NOUN	alexeï
elle	PRON	lui
à	ADP	à
que	PRON	que
kov	PROPN	kov
—	PUNCT	—
Pentagone	PROPN	Pentagone
lueur	NOUN	lueur
est	AUX	être
comprit	VERB	comprendre
-il	PRON	il
Alexeï	PROPN	Alexeï
Une	DET	un
père	NOUN	père
en	ADP	en
regard	NOUN	regard
,	PUNCT	,
expliqua	VERB	expliquer
jour	NOUN	jour
.	PUNCT	.
dans	ADP	dans
l'	DET	le
.	PUNCT	.
paroles	NOUN	parole
chargé	VERB	charger
qu'	SCONJ	que
agent	ADV	agent
regretter	VERB	regretter
stratégiques	ADJ	stratégique
s'	PRON	se
jeune	ADJ	jeune
alluma	VERB	allumer
par	ADP	par
le	DET	le
homme	NOUN	homme
pourrait	VERB	pouvoir
le	DET	le
opérations	NOUN	opération
le	DET	le
-t	PART	-t
bien	ADV	bien
du	ADP	de
des	ADP	de
