bout	NOUN	bout
Faire	AUX	faire
des	DET	un
qu'	SCONJ	que
on	PRON	on
On	PRON	on
1	NUM	1
a	VERB	avoir
deux	NUM	deux
les	DET	le
fatigue	NOUN	fatigue
aidant	VERB	aider
mythe	NOUN	mythe
de	ADP	de
nuit	NOUN	nuit
vraiment	ADV	vraiment
.	PUNCT	.
vrai	NOUN	vrai
impression	NOUN	impression
ils	PRON	il
rejoignent	VERB	rejoindre
,	PUNCT	,
des	ADP	de
.	PUNCT	.
se	PRON	se
La	DET	le
qu'	SCONJ	que
au	ADP	au
l'	DET	le
parallèles	ADJ	parallèle
moments	NOUN	moment
faisceau	NOUN	faisceau
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
rails	NOUN	rail
du	ADP	de
dit	VERB	dire
a	AUX	avoir
un	DET	un
où	PRON	où
un	DET	un
il	PRON	il
,	PUNCT	,
la	DET	le
sont	AUX	être
gaffe	NOUN	gaffe
y	PRON	y
phares	NOUN	phare
,	PUNCT	,
avait	VERB	avoir
autorail	NOUN	autorail
fois	NOUN	fois
riper	VERB	riper
Dutoît	PROPN	Dutoît
roues	NOUN	roue
l'	DET	le
Chaque	DET	chaque
impressions	NOUN	impression
qu'	SCONJ	que
89931	NUM	89931
,	PUNCT	,
ça	PRON	cela
La	DET	le
touchent	VERB	toucher
toujours	ADV	toujours
les	DET	le
une	DET	un
même	ADJ	même
,	PUNCT	,
,	PUNCT	,
va	VERB	aller
mêmes	ADJ	même
ils	PRON	il
dessous	NOUN	dessous
se	PRON	se
chose	NOUN	chose
,	PUNCT	,
la	DET	le
chevaucher	VERB	chevaucher
qu'	SCONJ	que
les	DET	le
et	CCONJ	et
Charles	PROPN	Charles
et	CCONJ	et
en	ADP	en
toujours	ADV	toujours
vont	VERB	aller
pensait	VERB	penser
être	AUX	être
il	PRON	il
que	SCONJ	que
catastrophe	NOUN	catastrophe
conduisait	VERB	conduire
le	DET	le
se	PRON	se
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
vraie	NOUN	vraie
sang	NOUN	sang
,	PUNCT	,
bougent	ADV	bougent
terreur	NOUN	terreur
gens	NOUN	gens
livres	NOUN	livre
nuit	NOUN	nuit
maisons	NOUN	maison
en	ADP	en
tenait	VERB	tenir
rouges	ADJ	rouge
,	PUNCT	,
sa	DET	son
rôde	ADV	rôde
.	PUNCT	.
en	ADP	en
ces	DET	ce
La	DET	le
des	DET	un
qu'	PRON	qu'
tous	ADJ	tout
jeunesse	NOUN	jeunesse
diable	NOUN	diable
est	AUX	être
de	ADP	de
possible	ADJ	possible
fleuves	NOUN	fleuve
de	ADP	de
crachant	VERB	cracher
avait	AUX	avoir
,	PUNCT	,
le	DET	le
Il	PRON	il
les	DET	le
dévorés	VERB	dévorer
ça	PRON	cela
,	PUNCT	,
de	ADP	de
hurlent	VERB	hurler
.	PUNCT	.
les	DET	le
pendant	ADP	pendant
,	PUNCT	,
yeux	NOUN	oeil
deviennent	VERB	devenir
il	PRON	il
tout	ADV	tout
les	DET	le
sabots	NOUN	sabot
nuit	NOUN	nuit
vacherie	NOUN	vacherie
long	NOUN	long
,	PUNCT	,
faux	ADJ	faux
font	VERB	faire
avec	ADP	avec
le	DET	le
carmagnole	NOUN	carmagnole
.	PUNCT	.
n'	ADV	n'
se	PRON	se
tordent	VERB	tordre
La	DET	le
Rouen	PROPN	Rouen
quand	SCONJ	quand
nœuds	NOUN	nœud
mort	NOUN	mort
les	DET	le
grinçant	NOUN	grinçant
brillante	NOUN	brillante
la	DET	le
nuit	NOUN	nuit
89931	NUM	89931
falaises	NOUN	falaise
pas	ADV	pas
,	PUNCT	,
.	PUNCT	.
Cette	DET	ce
en	ADP	en
sang	NOUN	sang
les	DET	le
automoteur	NOUN	automoteur
ce	PRON	ce
et	CCONJ	et
caillé	ADJ	caillé
est	AUX	être
d'	ADP	de
sa	DET	son
des	DET	un
,	PUNCT	,
rails	NOUN	rail
.	PUNCT	.
dansent	VERB	danser
des	ADP	de
trains	NOUN	train
de	ADP	de
des	ADP	de
la	DET	le
Départ	NOUN	départ
vaches	NOUN	vache
Rais	NOUN	rai
h	NOUN	heure
pas	ADV	pas
.	PUNCT	.
crame	VERB	crame
Le	DET	le
22	NUM	22
ne	ADV	ne
veau	NOUN	veau
à	ADP	à
Arc	PROPN	Arc
,	PUNCT	,
faut	VERB	falloir
pied	NOUN	pied
à	ADP	à
geignant	NOUN	geignant
.	PUNCT	.
Rouen	PROPN	Rouen
avec	ADP	avec
Si	SCONJ	si
43	NUM	43
dormir	ADJ	dormir
un	DET	un
,	PUNCT	,
h	NOUN	heure
arrivée	VERB	arriver
Gilles	PROPN	Gilles
de	ADP	de
,	PUNCT	,
le	PRON	le
rêver	VERB	rêver
comme	ADP	comme
Dieppe	PROPN	Dieppe
qui	PRON	qui
loupe	NOUN	loupe
22	NUM	22
pleurant	VERB	pleurer
dernier	ADJ	dernier
en	ADP	en
à	ADP	à
à	ADP	à
,	PUNCT	,
tenter	VERB	tenter
Jeanne	PROPN	Jeanne
d'	ADP	de
on	PRON	on
4	NUM	4
de	ADP	de
au	ADP	au
,	PUNCT	,
avait	VERB	avoir
bûcher	NOUN	bûcher
bon	ADJ	bon
la	DET	le
derrière	ADP	derrière
de	ADP	de
du	ADP	de
était	AUX	être
de	ADP	de
.	PUNCT	.
-	NOUN	-
dessus	NOUN	dessus
vérifia	ADJ	vérifia
un	DET	un
pour	ADP	pour
ça	PRON	cela
juste	ADV	juste
.	PUNCT	.
.	PUNCT	.
gare	NOUN	gare
venait	VERB	venir
le	DET	le
impression	NOUN	impression
se	PRON	se
train	NOUN	train
consumant	VERB	consumer
Il	PRON	il
n'	ADV	n'
secoue	VERB	secoue
Auffay	PROPN	Auffay
.	PUNCT	.
l'	DET	le
elle	PRON	lui
,	PUNCT	,
.	PUNCT	.
Le	DET	le
pas	ADV	pas
dépasser	VERB	dépasser
,	PUNCT	,
compteur	NOUN	compteur
Limite	NOUN	limite
Charles	PROPN	Charles
,	PUNCT	,
.	PUNCT	.
Au	ADP	au
d'	ADP	de
et	CCONJ	et
c'	PRON	ce
conduire	VERB	conduire
90	NUM	90
pékins	NOUN	pékin
à	ADP	à
Clères	PROPN	Clères
tous	ADJ	tout
c'	PRON	ce
plein	ADJ	plein
troupeau	NOUN	troupeau
de	ADP	de
lui	PRON	lui
,	PUNCT	,
samedi	NOUN	samedi
soir	NOUN	soir
et	CCONJ	et
tentent	VERB	tenter
le	DET	le
direct	ADJ	direct
toujours	ADV	toujours
leurs	DET	leur
,	PUNCT	,
ceux	PRON	celui
invariablement	ADV	invariablement
qui	PRON	qui
derrière	ADP	derrière
comme	ADP	comme
est	AUX	être
pour	ADP	pour
peu	ADV	peu
de	ADP	de
Dieppe	PROPN	Dieppe
bossent	VERB	bosser
.	PUNCT	.
prélassent	VERB	prélasser
87083	NUM	87083
,	PUNCT	,
à	ADP	à
qui	PRON	qui
se	PRON	se
,	PUNCT	,
est	AUX	être
regagnent	VERB	regagner
Non	ADV	non
Rouen	PROPN	Rouen
du	ADP	de
,	PUNCT	,
le	DET	le
qui	PRON	qui
roulettes	VERB	rouletter
côté	NOUN	côté
,	PUNCT	,
