mendiant	NOUN	mendiant
y	PRON	y
au	ADP	au
dans	ADP	dans
la	DET	le
siècles	NOUN	siècle
Il	PRON	il
,	PUNCT	,
de	ADP	de
,	PUNCT	,
de	ADP	de
Dieu	PROPN	Dieu
remparts	NOUN	rempart
du	ADP	de
de	ADP	de
,	PUNCT	,
des	DET	un
la	DET	le
mourir	VERB	mourir
la	DET	le
et	CCONJ	et
,	PUNCT	,
homme	NOUN	homme
bien	ADV	bien
années	NOUN	année
longtemps	ADV	longtemps
un	DET	un
vieux	ADJ	vieux
allait	VERB	aller
ronde	ADJ	rond
milieu	NOUN	milieu
un	DET	un
cela	PRON	cela
sur	ADP	sur
aux	ADP	à
des	DET	un
,	PUNCT	,
,	PUNCT	,
terre	NOUN	terre
dans	ADP	dans
de	ADP	de
trois	NUM	trois
du	ADP	de
ce	DET	ce
don	NOUN	don
ville	NOUN	ville
a	VERB	avoir
salut	NOUN	salut
rien	PRON	rien
ville	NOUN	ville
fondait	VERB	fondre
,	PUNCT	,
de	ADP	de
été	NOUN	été
trois	NUM	trois
après-midi	NOUN	après-midi
tout	ADV	tout
murailles	NOUN	muraille
une	DET	un
ocre	VERB	ocre
la	DET	le
ville	NOUN	ville
,	PUNCT	,
d'	ADP	de
rouge	NOUN	rouge
enceintes	ADJ	enceinte
d'	ADP	de
,	PUNCT	,
qu'	PRON	qu'
.	PUNCT	.
fin	NOUN	fin
si	SCONJ	si
comme	ADP	comme
la	DET	le
une	DET	un
poussière	NOUN	poussière
il	PRON	il
se	PRON	se
,	PUNCT	,
était	AUX	être
briques	NOUN	brique
elles	PRON	lui
et	CCONJ	et
en	ADP	en
si	ADV	si
d'	ADP	de
en	ADP	en
d'	ADP	de
orgueilleuses	NOUN	orgueilleux
ridé	VERB	rider
blondes	ADJ	blond
vieux	ADJ	vieux
semblable	ADJ	semblable
qui	PRON	qui
ceinturaient	VERB	ceinturer
Il	PRON	il
dans	ADP	dans
aux	ADP	à
pièce	NOUN	pièce
si	SCONJ	si
les	DET	le
au	ADP	au
-	PROPN	-
souvènirs	NOUN	souvènir
le	DET	le
lui	PRON	lui
or	NOUN	or
al	NOUN	al
chaleur	NOUN	chaleur
allait	VERB	aller
en	ADP	en
poussière	NOUN	poussière
Depuis	ADP	depuis
le	DET	le
.	PUNCT	.
où	PRON	où
avec	ADP	avec
la	DET	le
était	AUX	être
d'	ADP	de
mourraient	ADV	mourraient
longtemps	ADV	longtemps
la	DET	le
du	ADP	de
