suffit	NOUN	suffit
narrateur	NOUN	narrateur
câble	ADJ	câbl
de	ADP	de
,	PUNCT	,
du	ADP	de
Prologue	PROPN	Prologue
du	ADP	de
...	PUNCT	...
)	PUNCT	)
de	ADP	de
la	DET	le
cône	NOUN	cône
Accord	NOUN	accord
(	PUNCT	(
torsion	NOUN	torsion
micro	NOUN	micro
lumières	NOUN	lumière
hanches	NOUN	hanche
fer	NOUN	fer
le	DET	le
bleu	ADJ	bleu
Bonsoir	PROPN	Bonsoir
:	PUNCT	:
détaché	VERB	détacher
musicien	NOUN	musicien
et	CCONJ	et
ça	PRON	cela
des	ADP	de
,	PUNCT	,
rouge	NOUN	rouge
«	NOUN	«
Joël	PROPN	Joël
jambe	NOUN	jambe
dans	ADP	dans
A	AUX	avoir
...	PUNCT	...
support	NOUN	support
une	DET	un
des	ADP	de
,	PUNCT	,
le	DET	le
grande	ADJ	grand
un	DET	un
chassé	NOUN	chassé
et	CCONJ	et
1	NUM	1
boucle	NOUN	boucle
»	PUNCT	»
,	PUNCT	,
c'	PRON	ce
plein	ADJ	plein
ton	NOUN	ton
claque	VERB	claque
n'	ADV	n'
ventre	NOUN	ventre
,	PUNCT	,
dans	ADP	dans
blanc	ADJ	blanc
:	PUNCT	:
plat	NOUN	plat
,	PUNCT	,
toi	NOUN	toi
éblouissant	NOUN	éblouissant
de	ADP	de
plus	ADV	plus
du	ADP	de
de	ADP	de
et	CCONJ	et
dans	ADP	dans
part	NOUN	part
la	DET	le
feu	NOUN	feu
,	PUNCT	,
te	VERB	te
tout	ADV	tout
devant	ADP	devant
toi	NOUN	toi
possible	ADJ	possible
crâne	NOUN	crâne
dos	ADJ	do
ce	DET	ce
suite	NOUN	suite
reculer	VERB	reculer
,	PUNCT	,
ça	PRON	cela
est	AUX	être
et	CCONJ	et
est	AUX	être
façade	NOUN	façade
ton	NOUN	ton
derrière	ADP	derrière
ampli	NOUN	ampli
sang	ADJ	sang
à	ADP	à
le	DET	le
pot	NOUN	pot
plaque	ADJ	plaqu
,	PUNCT	,
l'	DET	le
Son	DET	son
qui	PRON	qui
instant	NOUN	instant
de	ADP	de
,	PUNCT	,
à	ADP	à
et	CCONJ	et
un	DET	un
pédale	NOUN	pédale
seule	ADJ	seul
ils	PRON	il
s'	PRON	se
un	DET	un
au	ADP	au
d'	ADP	de
d'	ADP	de
face	NOUN	face
,	PUNCT	,
même	ADJ	même
leurs	DET	leur
dressé	VERB	dresser
second	ADJ	second
de	ADP	de
aveugle	NOUN	aveugle
a	AUX	avoir
;	PUNCT	;
lézarde	NOUN	lézarde
...	PUNCT	...
une	DET	un
qui	PRON	qui
les	DET	le
coup	NOUN	coup
une	DET	un
effondrent	VERB	effondrer
font	VERB	faire
frappe	NOUN	frappe
bon	ADJ	bon
celui	PRON	celui
traversés	VERB	traverser
mur	NOUN	mur
oppose	NOUN	oppose
bloc	NOUN	bloc
égale	NOUN	égal
mais	CCONJ	mais
immédiatement	ADV	immédiatement
cris	NOUN	cri
t'	PRON	te
poussée	VERB	pousser
,	PUNCT	,
une	DET	un
,	PUNCT	,
du	ADP	de
les	DET	le
le	DET	le
tes	ADJ	te
,	PUNCT	,
jojo	NOUN	jojo
ensemble	ADJ	ensembl
chat	ADJ	chat
énorme	ADJ	énorme
instauré	ADJ	instaurer
.	PUNCT	.
labour	NOUN	labour
te	PRON	te
sur	ADP	sur
cette	DET	ce
roulement	NOUN	roulement
terre	NOUN	terre
hurlante	ADJ	hurlant
premier	ADJ	premier
un	DET	un
dans	ADP	dans
sens	VERB	sentir
,	PUNCT	,
lancé	VERB	lancer
et	CCONJ	et
,	PUNCT	,
plastique	ADJ	plastique
pâte	NOUN	pâte
c'	PRON	ce
tonnes	NOUN	tonne
te	PRON	te
l'	DET	le
Entre	ADP	entre
est	AUX	être
choc	NOUN	choc
tu	ADP	tu
dès	ADP	dès
mains	NOUN	main
la	DET	le
immobiles	NOUN	immobile
un	DET	un
s'	PRON	se
du	ADP	de
bruit	NOUN	bruit
rebond	NOUN	rebond
fond	NOUN	fond
ébranlent	VERB	ébranler
tu	ADP	tu
,	PUNCT	,
claquante	ADJ	claquant
tigre	NOUN	tigre
autant	ADV	autant
bord	NOUN	bord
:	PUNCT	:
jusqu'	ADP	jusque
sens	VERB	sentir
commençant	VERB	commencer
soudain	ADV	soudain
dans	ADP	dans
tu	VERB	taire
en	ADP	en
accord	NOUN	accord
à	ADP	à
souple	VERB	souple
sourd	ADJ	sourd
avances	NOUN	avance
te	NOUN	te
Depuis	ADP	depuis
,	PUNCT	,
tu	ADP	tu
et	CCONJ	et
laisse	VERB	laisse
,	PUNCT	,
feu	NOUN	feu
puissant	VERB	puisser
ta	DET	ton
base	NOUN	base
!	PUNCT	!
au	ADP	au
que	SCONJ	que
cordes	NOUN	corde
,	PUNCT	,
sors	ADV	sors
bord	NOUN	bord
ce	DET	ce
de	ADP	de
au	ADP	au
soûl	NOUN	soûl
tu	ADP	tu
lorsque	SCONJ	lorsque
,	PUNCT	,
soûl	VERB	soûl
plus	ADV	plus
tard	ADV	tard
tout	ADV	tout
et	CCONJ	et
en	ADP	en
porter	VERB	porter
retrouves	DET	retrouves
te	CCONJ	te
,	PUNCT	,
Et	CCONJ	et
thème	NOUN	thème
nouveau	ADJ	nouveau
brut	ADJ	brut
faux	ADJ	faux
.	PUNCT	.
le	DET	le
à	ADP	à
.	PUNCT	.
Boucle	NOUN	boucle
vague	NOUN	vague
.	PUNCT	.
...	PUNCT	...
lui	PRON	lui
à	ADP	à
cran	NOUN	cran
a	AUX	avoir
;	PUNCT	;
greffe	ADJ	greff
d'	ADP	de
reprend	VERB	reprendre
distorsion	NOUN	distorsion
sommet	VERB	sommet
enfle	VERB	enfle
passé	VERB	passer
,	PUNCT	,
chanteur	NOUN	chanteur
cris	NOUN	cri
riff	VERB	riff
,	PUNCT	,
alors	ADV	alors
à	ADP	à
monte	VERB	monte
ton	NOUN	ton
frôlant	VERB	frôler
le	DET	le
,	PUNCT	,
un	DET	un
,	PUNCT	,
la	DET	le
ils	PRON	il
comme	ADP	comme
griffe	NOUN	griffe
des	DET	un
une	DET	un
reconnaissent	VERB	reconnaître
centre	NOUN	centre
,	PUNCT	,
dans	ADP	dans
accords	NOUN	accord
Le	DET	le
il	PRON	il
dès	ADP	dès
,	PUNCT	,
Mes	DET	mon
...	PUNCT	...
»	PUNCT	»
lui	PRON	lui
la	DET	le
voix	NOUN	voix
,	PUNCT	,
Il	PRON	il
,	PUNCT	,
danse	NOUN	danse
jambes	NOUN	jambe
grands	ADJ	grand
Ça	PRON	cela
bouge	NOUN	bouge
les	DET	le
avec	ADP	avec
bonsoir	VERB	bonsoir
les	PRON	le
par	ADP	par
vois	PRON	vois
grognait	VERB	grogner
,	PUNCT	,
.	PUNCT	.
le	PRON	le
chant	NOUN	chant
«	NOUN	«
qui	PRON	qui
,	PUNCT	,
dirait	AUX	dirait
remontent	VERB	remonter
le	DET	le
quand	SCONJ	quand
la	DET	le
de	DET	de
ça	PRON	cela
bouffé	NOUN	bouffé
,	PUNCT	,
commence	NOUN	commence
avant	ADP	avant
on	PRON	on
je	PRON	je
trépignant	VERB	trépigner
.	PUNCT	.
gestes	NOUN	geste
maquille	VERB	maquille
picolé	X	picoler
à	ADP	à
.	PUNCT	.
avec	ADP	avec
,	PUNCT	,
a	AUX	avoir
reste	VERB	reste
,	PUNCT	,
Nous	PRON	nous
sa	DET	son
tire	NOUN	tire
et	CCONJ	et
le	DET	le
coup	NOUN	coup
bouteille	NOUN	bouteille
pas	ADV	pas
se	PRON	se
raide	NOUN	raide
Pendant	ADP	pendant
voit	VERB	voir
qu'	SCONJ	que
rétroviseur	NOUN	rétroviseur
encore	ADV	encore
le	PRON	le
un	DET	un
.	PUNCT	.
Se	PRON	se
de	ADP	de
on	PRON	on
son	DET	son
son	DET	son
.	PUNCT	.
,	PUNCT	,
s'	PRON	se
on	PRON	on
dans	ADP	dans
avant	ADP	avant
sa	DET	son
on	PRON	on
volant	NOUN	volant
accorde	VERB	accorde
,	PUNCT	,
,	PUNCT	,
dans	ADP	dans
qu'	SCONJ	que
,	PUNCT	,
Monsieur	NOUN	Monsieur
sur	ADP	sur
chauffe	VERB	chauffe
de	ADP	de
.	PUNCT	.
,	PUNCT	,
fais	ADJ	fai
sorte	NOUN	sorte
tenir	VERB	tenir
parking	NOUN	parking
ensemble	ADJ	ensembl
que	SCONJ	que
Combien	ADV	combien
Pour	ADP	pour
que	SCONJ	que
se	PRON	se
aies	NOUN	aie
:	PUNCT	:
faut	VERB	falloir
vas	PRON	vas
Pour	ADP	pour
tu	SCONJ	tu
gaffe	ADJ	gaff
tu	ADP	tu
démolir	VERB	démolir
,	PUNCT	,
lui	PRON	lui
temps	NOUN	temps
dit	VERB	dire
sois	DET	sois
obligé	ADJ	obliger
que	SCONJ	que
»	PUNCT	»
chanter	VERB	chanter
cracher	VERB	cracher
«	NOUN	«
ça	PRON	cela
Non	ADV	non
de	ADP	de
tout	DET	tout
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
et	CCONJ	et
,	PUNCT	,
ça	PRON	cela
.	PUNCT	.
«	PUNCT	«
...	PUNCT	...
On	PRON	on
va	VERB	aller
t'	DET	t'
lui	PRON	lui
la	DET	le
rien	PRON	rien
.	PUNCT	.
Mais	CCONJ	mais
d'	ADP	de
bien	ADV	bien
plus	ADV	plus
-là	PRON	-là
,	PUNCT	,
.	PUNCT	.
de	ADP	de
ta	DET	ton
état	NOUN	état
trouve	ADJ	trouv
te	AUX	te
entends	ADJ	entend
veux	VERB	vouloir
pourrais	VERB	pouvoir
premier	ADJ	premier
c'	PRON	ce
je	PRON	je
que	PRON	que
cherche	VERB	cherche
autre	PRON	autre
Moi	PRON	moi
où	PRON	où
son	NOUN	son
de	ADP	de
le	DET	le
pas	ADV	pas
Et	CCONJ	et
qui	PRON	qui
retenir	VERB	retenir
grappe	NOUN	grappe
dans	ADP	dans
»	PUNCT	»
basse	NOUN	basse
.	PUNCT	.
accords	NOUN	accord
je	PRON	je
d'	ADP	de
cet	DET	ce
cette	DET	ce
en	PRON	en
haut	ADJ	haut
est	VERB	être
d'	ADP	de
cadence	NOUN	cadence
lentement	ADV	lentement
passer	VERB	passer
du	ADP	de
pas	NOUN	pas
...	PUNCT	...
large	ADJ	large
,	PUNCT	,
cycle	NOUN	cycle
son	DET	son
appuyer	VERB	appuyer
accompagne	NOUN	accompagne
te	CCONJ	te
le	DET	le
plancher	VERB	plancher
mais	CCONJ	mais
l'	DET	le
assure	VERB	assure
la	DET	le
un	DET	un
d'	ADP	de
marque	VERB	marque
,	PUNCT	,
d'	ADP	de
t'	DET	t'
l'	DET	le
s'	PRON	se
lourdement	ADJ	lourdement
y	PRON	y
la	DET	le
découpe	NOUN	découpe
cuisse	NOUN	cuisse
toi	NOUN	toi
Du	ADP	de
,	PUNCT	,
,	PUNCT	,
creux	ADJ	creux
se	PRON	se
double	ADJ	double
temps	NOUN	temps
plus	ADV	plus
depuis	ADP	depuis
offre	VERB	offrir
talon	NOUN	talon
règle	VERB	régler
entier	ADJ	entier
tu	DET	tu
bats	NOUN	bat
sur	ADP	sur
et	CCONJ	et
t'	PRON	te
de	ADP	de
en	ADP	en
.	PUNCT	.
,	PUNCT	,
les	DET	le
entrée	NOUN	entrée
,	PUNCT	,
,	PUNCT	,
épaule	NOUN	épaule
,	PUNCT	,
les	PRON	le
frappe	NOUN	frappe
là	ADV	là
au	ADP	au
,	PUNCT	,
,	PUNCT	,
bras	NOUN	bras
leurs	DET	leur
rodée	VERB	roder
tu	PRON	tu
tu	ADP	tu
.	PUNCT	.
:	PUNCT	:
d'	ADP	de
on	PRON	on
du	ADP	de
son	NOUN	son
plein	ADJ	plein
les	DET	le
sais	NOUN	sai
cris	NOUN	cri
bas	NOUN	bas
sens	NOUN	sens
salles	ADJ	salle
la	DET	le
rendez-vous	NOUN	rendez-vous
une	DET	un
du	ADP	de
Nos	DET	notre
notre	DET	notre
à	ADP	à
eux	PRON	lui
...	PUNCT	...
buée	NOUN	buée
vois	VERB	voir
Ils	PRON	il
sont	VERB	être
En	ADP	en
exagérant	VERB	exagérer
rien	PRON	rien
remplit	VERB	remplir
ne	ADV	ne
,	PUNCT	,
