bruitage	NOUN	bruitage
été	NOUN	été
décodeur	NOUN	décodeur
à	ADP	à
floues	ADJ	flou
classé	VERB	classer
Cet	DET	ce
de	DET	de
,	PUNCT	,
la	DET	le
l'	DET	le
écran	NOUN	écran
+	ADP	plus
,	PUNCT	,
regardé	VERB	regarder
les	DET	le
film	NOUN	film
poste	NOUN	poste
remplacées	VERB	remplacer
la	DET	le
un	DET	un
.	PUNCT	.
grésillements	NOUN	grésillement
j'	PRON	je
fois	NOUN	fois
ai	AUX	avoir
par	ADP	par
un	DET	un
paroles	NOUN	parole
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
pour	ADP	pour
étaient	AUX	être
sur	ADP	sur
première	ADJ	premier
étrange	VERB	étrange
X	NOUN	x
,	PUNCT	,
Mon	DET	mon
les	DET	le
Canal	PROPN	Canal
a	VERB	avoir
images	NOUN	image
sur	ADP	sur
télévision	NOUN	télévision
,	PUNCT	,
pas	ADV	pas
clapotis	VERB	clapotis
n'	ADV	n'
des	DET	un
sorte	NOUN	sorte
était	AUX	être
de	ADP	de
que	SCONJ	que
une	DET	un
une	DET	un
histoire	NOUN	histoire
homme	NOUN	homme
et	CCONJ	et
pouvait	VERB	pouvoir
prévoir	VERB	prévoir
des	DET	un
est	AUX	être
,	PUNCT	,
soit	VERB	être
distinguait	VERB	distinguer
un	DET	un
des	DET	un
femme	NOUN	femme
On	PRON	on
bas	NOUN	bas
L'	DET	le
autre	ADJ	autre
.	PUNCT	.
langage	NOUN	langage
gestes	NOUN	geste
ou	CCONJ	ou
,	PUNCT	,
guêpière	NOUN	guêpière
incompréhensible	ADJ	incompréhensible
.	PUNCT	.
doux	NOUN	dou
quoi	PRON	quoi
,	PUNCT	,
ininterrompu	ADJ	ininterrompu
actions	NOUN	action
silhouette	NOUN	silhouette
ce	PRON	ce
,	PUNCT	,
et	CCONJ	et
avec	ADP	avec
.	PUNCT	.
on	PRON	on
ne	ADV	ne
en	ADP	en
d'	ADP	de
L'	DET	le
s'	PRON	se
homme	NOUN	homme
glissé	VERB	glisser
de	ADP	de
écran	NOUN	écran
sexe	NOUN	sexe
,	PUNCT	,
,	PUNCT	,
approché	VERB	approcher
l'	DET	le
la	DET	le
a	AUX	avoir
de	ADP	de
l'	DET	le
,	PUNCT	,
.	PUNCT	.
Il	PRON	il
érection	NOUN	érection
plan	NOUN	plan
dans	ADP	dans
qui	PRON	qui
de	ADP	de
gros	ADJ	gros
bien	ADV	bien
de	ADP	de
femme	NOUN	femme
un	DET	un
.	PUNCT	.
s'	PRON	se
est	AUX	être
,	PUNCT	,
femme	NOUN	femme
,	PUNCT	,
celui	PRON	celui
y	PRON	y
homme	NOUN	homme
est	AUX	être
eu	VERB	avoir
dans	ADP	dans
