jean	PROPN	jean
PREMIER	ADJ	premier
qu'	SCONJ	que
son	DET	son
les	DET	le
avoir	VERB	avoir
CHAPITRE	AUX	chapitre
prouver	VERB	prouver
basse	ADJ	bas
accord	NOUN	accord
.	PUNCT	.
Yann	PROPN	Yann
,	PUNCT	,
il	PRON	il
,	PUNCT	,
dans	ADP	dans
l'	PRON	l'
juste	ADJ	juste
poches	NOUN	poche
bac	NOUN	bac
allait	VERB	aller
encore	ADV	encore
tête	NOUN	tête
Gothic	PROPN	Gothic
il	PRON	il
Bon	PROPN	Bon
de	ADP	de
son	DET	son
les	DET	le
Et	CCONJ	et
il	PRON	il
La	DET	le
d'	ADP	de
fourra	VERB	fourrer
cette	DET	ce
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
mains	NOUN	main
,	PUNCT	,
en	ADP	en
année	NOUN	année
de	ADP	de
était	AUX	être
capable	ADJ	capable
.	PUNCT	.
Le	DET	le
leur	PRON	leur
,	PUNCT	,
histoire	NOUN	histoire
,	PUNCT	,
mit	VERB	mettre
il	PRON	il
.	PUNCT	.
en	ADP	en
de	ADP	de
se	PRON	se
,	PUNCT	,
le	DET	le
rapide	ADJ	rapide
les	DET	le
Parisiens	NOUN	parisien
le	DET	le
de	ADP	de
un	DET	un
des	DET	un
noir	ADJ	noir
des	ADP	de
leurs	DET	leur
On	PRON	on
Saint-Michel	PROPN	Saint-Michel
premier	ADJ	premier
retrouvé	VERB	retrouver
remonter	VERB	remonter
boulevard	NOUN	boulevard
d'	ADP	de
tenues	NOUN	tenue
printanières	ADJ	printanier
armoires	NOUN	armoire
samedi	NOUN	samedi
faisait	VERB	faire
avoir	AUX	avoir
pas	NOUN	pas
,	PUNCT	,
après-midi	NOUN	après-midi
un	DET	un
paraissaient	VERB	paraître
monde	NOUN	monde
ressortant	VERB	ressortir
jour	NOUN	jour
beau	NOUN	beau
,	PUNCT	,
de	ADP	de
,	PUNCT	,
et	CCONJ	et
était	AUX	être
à	ADP	à
Pâques	NOUN	pâques
goût	NOUN	goût
vacances	NOUN	vacance
pour	ADP	pour
,	PUNCT	,
partie	VERB	partir
,	PUNCT	,
se	PRON	se
la	DET	le
vivre	NOUN	vivre
était	AUX	être
,	PUNCT	,
.	PUNCT	.
les	DET	le
Pyrénées	NOUN	pyrénée
alors	ADV	alors
,	PUNCT	,
une	DET	un
contraint	VERB	contraindre
de	ADP	de
sa	DET	son
demeurer	VERB	demeurer
songea	VERB	songer
bien	ADV	bien
que	SCONJ	que
Réviser	VERB	réviser
moins	ADV	moins
avaient	VERB	avoir
pour	ADP	pour
à	ADP	à
Paris	PROPN	Paris
de	ADP	de
.	PUNCT	.
le	DET	le
.	PUNCT	.
journée	NOUN	journée
,	PUNCT	,
Lui	NOUN	lui
Ils	PRON	il
réviser	VERB	réviser
chance	NOUN	chance
voyait	VERB	voir
toute	ADJ	tout
matin	NOUN	matin
,	PUNCT	,
de	ADP	de
même	ADV	même
vers	ADP	vers
Yann	PROPN	Yann
au	ADP	au
copains	NOUN	copain
étudier	ADV	étudier
bande	NOUN	bande
que	SCONJ	que
...	PUNCT	...
rabâchés	VERB	rabâcher
mots-là	NOUN	mots-là
partir	VERB	partir
que	SCONJ	que
travailler	VERB	travailler
avait	AUX	avoir
trimestre	NOUN	trimestre
que	SCONJ	que
le	DET	le
désir	NOUN	désir
entendait	VERB	entendre
assez	ADV	assez
lui	PRON	lui
vacances	NOUN	vacance
avaient	VERB	avoir
arguments	NOUN	argument
«	NOUN	«
à	ADP	à
n'	ADV	n'
encore	ADV	encore
du	ADP	de
,	PUNCT	,
parents	NOUN	parent
il	PRON	il
Tu	ADP	tu
crois	NOUN	croi
:	PUNCT	:
bouche	NOUN	bouche
lorsqu'	SCONJ	lorsque
résultats	NOUN	résultat
semblait	VERB	sembler
de	ADP	de
.	PUNCT	.
ses	DET	son
tes	ADJ	te
ces	DET	ce
en	ADP	en
les	DET	le
il	PRON	il
Il	PRON	il
on	PRON	on
avait	AUX	avoir
émis	VERB	émettre
la	DET	le
Parfois	ADV	parfois
lui	PRON	lui
sont	AUX	être
qu'	PRON	qu'
ça	PRON	cela
?	PUNCT	?
,	PUNCT	,
ça	PRON	cela
voudras	ADJ	voudra
copains	NOUN	copain
brillants	NOUN	brillant
bac	ADJ	bac
se	PRON	se
avec	ADP	avec
iras	NOUN	ira
où	PRON	où
bien	ADV	bien
-il	PRON	il
Quinze	NUM	Quinze
»	PUNCT	»
sans	ADP	sans
;	PUNCT	;
on	PRON	on
te	VERB	te
et	CCONJ	et
!	PUNCT	!
,	PUNCT	,
;	PUNCT	;
livres	NOUN	livre
«	PUNCT	«
pouvait	VERB	pouvoir
appeler	VERB	appeler
Si	SCONJ	si
le	DET	le
et	CCONJ	et
arguments	NOUN	argument
jours	NOUN	jour
tu	SCONJ	tu
plus	ADV	plus
des	DET	un
des	ADP	de
,	PUNCT	,
!	PUNCT	!
»	PUNCT	»
ensuite	ADV	ensuite
grand	ADJ	grand
Passe	AUX	passe
,	PUNCT	,
tu	ADP	tu
fera	VERB	faire
»	PUNCT	»
ton	VERB	ton
dit	VERB	dire
«	NOUN	«
,	PUNCT	,
dégoûté	VERB	dégoûter
avait	AUX	avoir
un	DET	un
flipper	NOUN	flipper
s'	PRON	se
,	PUNCT	,
il	PRON	il
une	DET	un
,	PUNCT	,
escrime	NOUN	escrime
,	PUNCT	,
à	ADP	à
pour	ADP	pour
bien	ADV	bien
le	DET	le
il	PRON	il
et	CCONJ	et
et	CCONJ	et
peu	ADV	peu
qu'	SCONJ	que
la	DET	le
-ce	PRON	-ce
Oh	CCONJ	oh
reconnaissait	VERB	reconnaître
,	PUNCT	,
les	DET	le
filles	NOUN	fille
cinéma	NOUN	cinéma
aller	VERB	aller
préféré	VERB	préférer
était	AUX	être
sûr	ADJ	sûr
le	DET	le
,	PUNCT	,
il	PRON	il
mais	CCONJ	mais
était	AUX	être
,	PUNCT	,
philo	NOUN	philo
les	DET	le
qu'	SCONJ	que
maths	NOUN	maths
cours	NOUN	cours
d'	ADP	de
laissé	VERB	laisser
.	PUNCT	.
,	PUNCT	,
raison	NOUN	raison
aux	ADP	à
,	PUNCT	,
infliger	VERB	infliger
beaucoup	ADV	beaucoup
filles	NOUN	fille
de	ADP	de
concernait	VERB	concerner
lui	PRON	lui
pas	ADV	pas
taille	NOUN	taille
ailleurs	ADV	ailleurs
Yann	PROPN	Yann
fût	ADJ	fût
l'	DET	le
ses	DET	son
?	PUNCT	?
avis	NOUN	avis
qui	PRON	qui
elles	PRON	lui
,	PUNCT	,
...	PUNCT	...
ce	PRON	ce
esprit	NOUN	esprit
haute	NOUN	haute
telle	ADJ	tel
en	ADP	en
punition	NOUN	punition
plutôt	ADV	plutôt
mignon	ADV	mignon
général	ADJ	général
elles	PRON	lui
de	ADP	de
sa	DET	son
D'	ADP	de
,	PUNCT	,
lui	PRON	lui
,	PUNCT	,
avec	ADP	avec
les	DET	le
l'	DET	le
