bord	NOUN	bord
AUTOMNE	NOUN	automne
profonde	NOUN	profonde
brouillard	NOUN	brouillard
.	PUNCT	.
sur	ADP	sur
PROLOGUE	PROPN	PROLOGUE
une	DET	un
,	PUNCT	,
de	ADP	de
retrouver	VERB	retrouver
son	DET	son
cœur	NOUN	cœur
surveillait	VERB	surveiller
masse	NOUN	masse
contre	ADP	contre
découpait	VERB	découper
chamade	NOUN	chamade
arbre	NOUN	arbre
.	PUNCT	.
se	PRON	se
battre	ADJ	battr
falaise	NOUN	falaise
L'	DET	le
maison	NOUN	maison
énorme	ADJ	énorme
,	PUNCT	,
au	ADP	au
un	DET	un
Riggens	PROPN	Riggens
inspiration	NOUN	inspiration
la	DET	le
noire	ADJ	noir
calme	PROPN	calme
sentait	VERB	sentir
la	DET	le
de	ADP	de
le	DET	le
Tapi	NOUN	tapi
la	DET	le
pour	ADP	pour
son	DET	son
il	PRON	il
essayer	VERB	essayer
de	ADP	de
Peter	VERB	peter
1902	NUM	1902
prit	VERB	prendre
il	PRON	il
;	PUNCT	;
jusqu'	ADP	jusque
tour	NOUN	tour
la	DET	le
de	ADP	de
fille	NOUN	fille
silencieusement	ADV	silencieusement
la	DET	le
à	ADP	à
il	PRON	il
Des	DET	un
puis	CCONJ	puis
la	DET	le
Bientôt	ADV	bientôt
avait	AUX	avoir
heures	NOUN	heure
appellerait	NOUN	appellerait
glissaient	NOUN	glissaient
d'	ADP	de
.	PUNCT	.
lui	PRON	lui
brume	ADV	brume
la	DET	le
,	PUNCT	,
deux	NUM	deux
de	ADP	de
bonnes	ADJ	bon
Mais	CCONJ	mais
,	PUNCT	,
doucement	ADV	doucement
des	DET	un
fenêtre	NOUN	fenêtre
présent	NOUN	présent
.	PUNCT	.
jeune	ADJ	jeune
serpents	NOUN	serpent
lambeaux	NOUN	lambeau
à	ADP	à
autour	ADV	autour
l'	PRON	l'
flamme	NOUN	flamme
de	ADP	de
.	PUNCT	.
bougie	NOUN	bougie
Juliana	PROPN	Juliana
,	PUNCT	,
comme	ADP	comme
depuis	ADP	depuis
apparaîtrait	VERB	apparaître
n'	ADV	n'
une	DET	un
de	ADP	de
d'	ADP	de
Et	CCONJ	et
le	DET	le
clapotis	ADJ	clapoti
,	PUNCT	,
vu	VERB	voir
.	PUNCT	.
plus	ADV	plus
voilée	NOUN	voilée
que	SCONJ	que
le	DET	le
en	ADP	en
.	PUNCT	.
la	DET	le
vagues	NOUN	vague
gaz	NOUN	gaz
la	DET	le
sur	ADP	sur
Salon	NOUN	salon
à	ADP	à
dessous	NOUN	dessous
beaucoup	ADV	beaucoup
lumière	NOUN	lumière
lampes	NOUN	lampe
que	SCONJ	que
la	DET	le
plage	NOUN	plage
,	PUNCT	,
Musique	NOUN	musique
il	PRON	il
,	PUNCT	,
lueur	NOUN	lueur
doux	NOUN	dou
,	PUNCT	,
des	ADP	de
galets	NOUN	galet
dans	ADP	dans
des	DET	un
de	ADP	de
n'	ADV	n'
juste	ADV	juste
de	ADP	de
avait	AUX	avoir
entendu	VERB	entendre
de	ADP	de
autre	ADJ	autre
Juliana	PROPN	Juliana
bas	ADJ	bas
chambre	NOUN	chambre
soudain	ADV	soudain
quelqu'	SCONJ	quelqu'
Juliana	PROPN	Juliana
l'	DET	le
Peter	VERB	peter
,	PUNCT	,
Puis	CCONJ	puis
de	ADP	de
heureux	ADJ	heureux
—	VERB	—
si	SCONJ	si
merveilleuse	ADJ	merveilleux
Bleu	PROPN	Bleu
la	DET	le
,	PUNCT	,
avait	AUX	avoir
jouer	VERB	jouer
était	AUX	être
,	PUNCT	,
orgue	NOUN	orgue
à	ADP	à
.	PUNCT	.
jour	NOUN	jour
—	NOUN	—
commencé	VERB	commencer
Juliana	PROPN	Juliana
se	PRON	se
souvenant	VERB	souvenir
frissonné	VERB	frissonner
Le	DET	le
;	PUNCT	;
ce	DET	ce
peut-être	ADV	peut-être
que	SCONJ	que
Beau	PROPN	Beau
avait	AUX	avoir
de	ADP	de
à	ADP	à
en	PRON	en
C'	PRON	ce
la	DET	le
Danube	PROPN	Danube
valse	NOUN	valse
mélodie	NOUN	mélodie
était	AUX	être
,	PUNCT	,
un	DET	un
préférée	VERB	préférer
où	PRON	où
la	DET	le
sinistre	ADJ	sinistre
fille	NOUN	fille
sortit	VERB	sortir
à	ADP	à
le	DET	le
cet	DET	ce
jeune	ADJ	jeune
Il	PRON	il
du	ADP	de
son	DET	son
.	PUNCT	.
A	NOUN	a
soleil	NOUN	soleil
,	PUNCT	,
tête	NOUN	tête
,	PUNCT	,
fredonné	VERB	fredonner
sur	ADP	sur
parvenait	VERB	parvenir
mi-voix	NOUN	mi-voi
et	CCONJ	et
se	PRON	se
cloche	NOUN	cloche
posé	VERB	poser
,	PUNCT	,
la	DET	le
l'	DET	le
écho	NOUN	écho
lui	PRON	lui
tandis	ADV	tandis
sa	DET	son
la	DET	le
sur	ADP	sur
travers	NOUN	travers
que	SCONJ	que
épaule	NOUN	épaule
de	ADP	de
air	NOUN	air
brouillard	NOUN	brouillard
couchait	VERB	coucher
montre	NOUN	montre
le	DET	le
océan	NOUN	océan
de	ADP	de
gousset	NOUN	gousset
,	PUNCT	,
avait	AUX	avoir
.	PUNCT	.
phare	NOUN	phare
l'	DET	le
se	PRON	se
Pride'	NOUN	pride'
en	PRON	en
,	PUNCT	,
mère	NOUN	mère
ce	DET	ce
à	ADP	à
il	PRON	il
se	PRON	se
pourtant	ADV	pourtant
Depuis	ADP	depuis
que	SCONJ	que
se	PRON	se
en	ADP	en
Juliana	PROPN	Juliana
Juliana	PROPN	Juliana
rejoindre	VERB	rejoindre
chose	NOUN	chose
avait	AUX	avoir
à	ADP	à
le	PRON	le
passait	VERB	passer
ils	PRON	il
Harbor	PROPN	Harbor
de	ADP	de
.	PUNCT	.
interdit	VERB	interdire
de	ADP	de
leur	PRON	leur
heures	NOUN	heure
avait	VERB	avoir
,	PUNCT	,
avait	AUX	avoir
la	DET	le
.	PUNCT	.
promis	VERB	promettre
voir	VERB	voir
soir	NOUN	soir
de	ADP	de
quelque	DET	quelque
la	DET	le
Il	PRON	il
anormal	NOUN	anormal
certitude	NOUN	certitude
.	PUNCT	.
dix	NUM	dix
s	NOUN	s
