entre	ADP	entre
,	PUNCT	,
que	SCONJ	que
à	ADP	à
aurai	VERB	avoir
serai	VERB	être
Maintenant	ADV	maintenant
projet	NOUN	projet
Je	PRON	je
le	DET	le
terre	NOUN	terre
que	PRON	que
?	PUNCT	?
bien	ADV	bien
plus	ADV	plus
toute	ADJ	tout
Où	ADV	où
ai	VERB	avoir
vie	NOUN	vie
l'	DET	le
.	PUNCT	.
Je	PRON	je
.	PUNCT	.
ne	ADV	ne
final	ADJ	final
manque	VERB	manque
à	ADP	à
contempler	VERB	contempler
ma	DET	mon
de	ADP	de
d'	ADP	de
pieds	NOUN	pied
que	SCONJ	que
j'	PRON	je
ta	DET	ton
point	NOUN	point
mes	DET	mon
-je	PROPN	-je
passé	VERB	passer
n'	ADV	n'
entrer	VERB	entrer
peine	NOUN	peine
d'	DET	d'
dans	ADP	dans
la	DET	le
expiration	NOUN	expiration
il	PRON	il
autre	ADJ	autre
suis	AUX	être
plus	ADV	plus
en	PRON	en
,	PUNCT	,
depuis	ADP	depuis
crains	ADJ	crain
fixer	NOUN	fixer
.	PUNCT	.
inspiré	VERB	inspirer
,	PUNCT	,
la	DET	le
«	NOUN	«
le	DET	le
parti	NOUN	parti
effet	NOUN	effet
à	ADP	à
parler	VERB	parler
choses	NOUN	chose
»	PUNCT	»
plus	ADV	plus
si	SCONJ	si
pour	ADP	pour
vie	NOUN	vie
,	PUNCT	,
horreur	NOUN	horreur
,	PUNCT	,
ma	DET	mon
de	ADP	de
on	PRON	on
pouvait	VERB	pouvoir
comme	ADP	comme
vie	NOUN	vie
que	SCONJ	que
l'	DET	le
de	ADP	de
de	ADP	de
,	PUNCT	,
toute	ADJ	tout
arracher	VERB	arracher
Je	PRON	je
les	DET	le
de	ADP	de
j'	PRON	je
en	ADP	en
plus	ADV	plus
ai	AUX	avoir
pris	VERB	prendre
ma	DET	mon
aujourd'hui	ADV	aujourd'hui
indéchiffrable	ADJ	indéchiffrable
plume	NOUN	plume
en	ADP	en
mémoire	NOUN	mémoire
main	NOUN	main
force	NOUN	force
me	PRON	me
,	PUNCT	,
finis	VERB	finir
la	DET	le
à	ADP	à
mon	DET	mon
la	DET	le
pas	NOUN	pas
en	ADP	en
cet	DET	ce
était	AUX	être
lumineuse	ADJ	lumineux
recoupements	NOUN	recoupement
je	PRON	je
le	DET	le
d'	ADP	de
reconnaître	VERB	reconnaître
tant	ADV	tant
inconnu	NOUN	inconnu
début	NOUN	début
Indéchiffrable	ADJ	indéchiffrable
,	PUNCT	,
et	CCONJ	et
efforts	NOUN	effort
de	ADP	de
et	CCONJ	et
les	DET	le
de	ADP	de
Au	ADP	au
à	ADP	à
avant	ADJ	avant
traits	NOUN	trait
fois	NOUN	fois
.	PUNCT	.
par	ADP	par
de	ADP	de
que	SCONJ	que
répétitions	NOUN	répétition
de	ADP	de
me	PRON	me
et	CCONJ	et
de	ADP	de
dans	ADP	dans
.	PUNCT	.
renvoie	VERB	renvoyer
écriture	NOUN	écriture
récit	NOUN	récit
baisse	VERB	baisse
.	PUNCT	.
soient	AUX	être
de	ADP	de
à	ADP	à
,	PUNCT	,
régulière	ADJ	régulier
que	PRON	que
jour	NOUN	jour
je	PRON	je
n'	ADV	n'
arriverai	VERB	arriver
trembler	VERB	trembler
lendemain	NOUN	lendemain
présent	NOUN	présent
l'	DET	le
étonnement	ADV	étonnement
de	ADP	de
.	PUNCT	.
plus	ADV	plus
sans	ADP	sans
:	PUNCT	:
du	ADP	de
phrases	NOUN	phrase
constate	VERB	constate
à	ADP	à
On	PRON	on
ne	ADV	ne
histoire	NOUN	histoire
plus	ADV	plus
mes	DET	mon
,	PUNCT	,
,	PUNCT	,
jamais	ADV	jamais
tendance	NOUN	tendance
le	PRON	le
pas	ADV	pas
ont	AUX	avoir
étouffer	VERB	étouffer
pas	ADV	pas
aveux	ADJ	aveux
à	ADP	à
,	PUNCT	,
,	PUNCT	,
je	PRON	je
en	ADP	en
Les	DET	le
quels	ADJ	quel
au	ADP	au
doute	NOUN	doute
corps	NOUN	corps
le	DET	le
je	PRON	je
un	DET	un
est	AUX	être
y	PRON	y
