Stanislas	PROPN	Stanislas
«	PUNCT	«
inaperçu	VERB	inaperçu
autre	NOUN	autre
personnes	NOUN	personne
suit	VERB	suivre
1	NUM	1
rarement	ADV	rarement
depuis	ADP	depuis
»	PUNCT	»
Londres	PROPN	Londres
.	PUNCT	.
chacun	PRON	chacun
l'	DET	le
un	DET	un
moins	ADV	moins
en	ADP	en
,	PUNCT	,
que	SCONJ	que
,	PUNCT	,
homme	NOUN	homme
d'	ADP	de
promu	VERB	promouvoir
-	PUNCT	-
un	DET	un
gît	ADP	gît
l'	DET	le
inspecteur	NOUN	inspecteur
remarquèrent	ADV	remarquèrent
discret	ADJ	discret
dans	ADP	dans
,	PUNCT	,
bienfaiteur	NOUN	bienfaiteur
Quatre	NUM	Quatre
que	SCONJ	que
Lorsqu'	ADP	lorsqu'
Oates	PROPN	Oates
un	DET	un
au	ADP	au
eux	PRON	lui
les	DET	le
soit	AUX	être
fait	NOUN	fait
rues	NOUN	rue
de	ADP	de
aussi	ADV	aussi
Ci	NOUN	ci
passe	VERB	passer
peu	ADV	peu
le	DET	le
les	DET	le
des	ADP	de
avoir	AUX	avoir
trapu	NOUN	trapu
avançait	VERB	avancer
petit	ADJ	petit
un	PRON	un
d'	ADP	de
le	DET	le
High	PROPN	High
.	PUNCT	.
L'	DET	le
,	PUNCT	,
relevé	VERB	relever
filé	VERB	filer
courbé	NOUN	courbé
individu	NOUN	individu
pourtant	ADV	pourtant
les	DET	le
,	PUNCT	,
un	DET	un
qui	PRON	qui
et	CCONJ	et
,	PUNCT	,
par	ADP	par
était	AUX	être
mains	NOUN	main
dans	ADP	dans
,	PUNCT	,
la	DET	le
connu	VERB	connaître
,	PUNCT	,
dans	ADP	dans
inspecteur	NOUN	inspecteur
mise	NOUN	mise
Holbom	PROPN	Holbom
poches	NOUN	poche
,	PUNCT	,
,	PUNCT	,
donnait	VERB	donner
des	DET	un
sordide	ADJ	sordide
l'	DET	le
jours	NOUN	jour
meilleurs	ADJ	meilleur
à	ADP	à
Cinq1	NOUN	cinq1
impression	NOUN	impression
col	NOUN	col
vaguement	ADV	vaguement
pourquoi	ADV	pourquoi
point	NOUN	point
fleurs	NOUN	fleur
allure	NOUN	allure
,	PUNCT	,
Toute	ADJ	tout
au	ADP	au
des	ADP	de
ses	DET	son
de	ADP	de
la	DET	le
Provincial	PROPN	Provincial
ressentait	VERB	ressentir
.	PUNCT	.
le	DET	le
reconnut	NOUN	reconnut
.	PUNCT	.
Carter	PROPN	Carter
Elle	PRON	lui
décelait	VERB	déceler
bossué	NOUN	bossué
.	PUNCT	.
à	ADP	à
toucher	VERB	toucher
feutre	ADJ	feutr
presque	ADV	presque
se	PRON	se
demanda	ADJ	demanda
.	PUNCT	.
cafard	NOUN	cafard
à	ADP	à
était	AUX	être
bord	NOUN	bord
Bank	PROPN	Bank
qu'	SCONJ	que
son	DET	son
on	PRON	on
son	DET	son
le	DET	le
Mrs	PROPN	Mrs
la	DET	le
il	PRON	il
qui	PRON	qui
porte	NOUN	porte
de	ADP	de
le	DET	le
de	ADP	de
vend	VERB	vendre
trousses	NOUN	trousse
,	PUNCT	,
-	PROPN	-
en	ADP	en
hommes	NOUN	homme
édition	NOUN	édition
sur	ADP	sur
la	DET	le
Elle	PRON	lui
deux	NUM	deux
dit	VERB	dire
sa	DET	son
qui	PRON	qui
se	PRON	se
Standard	PROPN	Standard
fierté	VERB	fierter
réflexion	NOUN	réflexion
marches	NOUN	marche
attendait	VERB	attendre
à	ADP	à
Grand	ADJ	grand
spéciale	ADJ	spécial
qui	PRON	qui
.	PUNCT	.
se	PRON	se
même	ADV	même
,	PUNCT	,
la	DET	le
Hôtel	NOUN	hôtel
Anglo	PROPN	Anglo
du	ADP	de
VEve	PROPN	VEve
,	PUNCT	,
,	PUNCT	,
à	ADP	à
trouvait	VERB	trouver
-	PROPN	-
fille	NOUN	fille
Américain	PROPN	Américain
dernière	ADJ	dernier
les	DET	le
Observant	VERB	observer
le	DET	le
ning	NOUN	ning
tour	NOUN	tour
commissionnaire	NOUN	commissionnaire
,	PUNCT	,
de	ADP	de
fit	VERB	faire
les	DET	le
avec	ADP	avec
son	DET	son
bien	ADV	bien
rien	PRON	rien
compte	NOUN	compte
lui-même	PRON	lui-même
.	PUNCT	.
l'	DET	le
que	SCONJ	que
bien	ADV	bien
méditer	VERB	méditer
,	PUNCT	,
compagnon	NOUN	compagnon
de	ADP	de
expérience	NOUN	expérience
agression	NOUN	agression
.	PUNCT	.
il	PRON	il
,	PUNCT	,
police	NOUN	police
que	SCONJ	que
—	PRON	—
dire	VERB	dire
dans	ADP	dans
pouvaient	VERB	pouvoir
lui	PRON	lui
tout	DET	tout
échappait	VERB	échapper
,	PUNCT	,
si	SCONJ	si
pensa	VERB	penser
vingt-cinq	NUM	vingt-cinq
qu'	SCONJ	que
gens	NOUN	gens
Enfin	ADV	enfin
promenade	NOUN	promenade
ans	NOUN	an
pour	ADP	pour
des	ADP	de
inspecteur	NOUN	inspecteur
Mais	CCONJ	mais
la	DET	le
il	PRON	il
d'	ADP	de
se	PRON	se
avait	VERB	avoir
un	DET	un
après	ADP	après
ne	ADV	ne
rendit	VERB	rendre
une	DET	un
—	PROPN	—
l'	DET	le
lui	PRON	lui
perdu	VERB	perdre
même	ADV	même
vivant	NOUN	vivant
au	ADP	au
contre	ADP	contre
,	PUNCT	,
,	PUNCT	,
tenter	VERB	tenter
.	PUNCT	.
Ce	DET	ce
continua	VERB	continuer
l'	DET	le
oserait	VERB	oser
à	ADP	à
,	PUNCT	,
barboter	VERB	barboter
légère	ADJ	léger
de	ADP	de
jour	NOUN	jour
donc	ADV	donc
avait	AUX	avoir
personne	NOUN	personne
plein	ADJ	plein
n'	ADV	n'
tendance	NOUN	tendance
à	ADP	à
la	DET	le
ville	NOUN	ville
dans	ADP	dans
,	PUNCT	,
la	PRON	le
bon	ADJ	bon
.	PUNCT	.
en	ADP	en
embonpoint	NOUN	embonpoint
cœur	PROPN	cœur
,	PUNCT	,
de	ADP	de
ses	DET	son
Il	PRON	il
