hébétée	VERB	hébéter
Oldsmobile	PROPN	Oldsmobile
de	ADP	de
était	AUX	être
couchage	NOUN	couchage
.	PUNCT	.
L'	DET	le
fillette	NOUN	fillette
de	ADP	de
le	DET	le
un	DET	un
sac	NOUN	sac
banquette	NOUN	banquette
.	PUNCT	.
soin	NOUN	soin
duvet	NOUN	duvet
plage	NOUN	plage
et	CCONJ	et
qu'	SCONJ	que
au	ADP	au
une	DET	un
arrière	ADJ	arrière
injection	NOUN	injection
roulait	VERB	rouler
d'	ADP	de
avec	ADP	avec
on	PRON	on
avait	AUX	avoir
et	CCONJ	et
.	PUNCT	.
sept	NUM	sept
une	DET	un
sur	ADP	sur
de	ADP	de
Sur	ADP	sur
sable	NOUN	sable
avec	ADP	avec
Balazs	NOUN	balaz
en	ADP	en
Maurer	PROPN	Maurer
ans	NOUN	an
la	DET	le
encadraient	VERB	encadrer
enveloppée	VERB	envelopper
dans	ADP	dans
volant	NOUN	volant
noire	ADJ	noir
une	DET	un
morphine	NOUN	morphine
Branko	PROPN	Branko
au	ADP	au
était	AUX	être
paraissait	VERB	paraître
sur	ADP	sur
Le	DET	le
était	AUX	être
C'	PRON	ce
hommes	NOUN	homme
minces	NOUN	mince
position	NOUN	position
étaient	AUX	être
sombres	ADJ	sombre
plage	NOUN	plage
Balazs	PROPN	Balazs
Feux	PRON	feux
violet	VERB	violet
voiture	NOUN	voiture
Le	DET	le
une	DET	un
le	DET	le
la	DET	le
déserte	ADJ	désert
lèvres	NOUN	lèvre
aube	NOUN	aube
,	PUNCT	,
.	PUNCT	.
langue	NOUN	langue
pointait	VERB	pointer
d'	ADP	de
gris	ADJ	gris
blême	PRON	blême
des	ADP	de
de	ADP	de
.	PUNCT	.
de	ADP	de
éteints	ADJ	éteint
coin	NOUN	coin
ténébreuse	ADJ	ténébreux
bout	NOUN	bout
.	PUNCT	.
,	PUNCT	,
la	DET	le
des	ADP	de
leurs	DET	leur
vêtements	NOUN	vêtement
sable	NOUN	sable
l'	DET	le
trois	NUM	trois
de	ADP	de
visage	NOUN	visage
,	PUNCT	,
qu'	SCONJ	que
roulait	VERB	rouler
apercevaient	VERB	apercevoir
devant	ADP	devant
où	PRON	où
tandis	ADV	tandis
On	PRON	on
on	PRON	on
auto	ADJ	auto
maison	NOUN	maison
cubique	ADJ	cubique
mais	CCONJ	mais
.	PUNCT	.
la	DET	le
océan	NOUN	océan
incertain	ADJ	incertain
crête	NOUN	crête
On	PRON	on
des	ADP	de
sol	NOUN	sol
dont	PRON	dont
,	PUNCT	,
pilotait	VERB	piloter
le	DET	le
lentement	ADV	lentement
l'	DET	le
atteignit	NOUN	atteignit
.	PUNCT	.
anciennes	ADJ	ancien
en	ADP	en
stoppa	VERB	stopper
lourde	NOUN	lourde
isolée	NOUN	isolé
et	CCONJ	et
sur	ADP	sur
on	PRON	on
s'	PRON	se
l'	DET	le
la	DET	le
première	ADJ	premier
durcies	NOUN	durcie
effritait	VERB	effriter
vers	ADP	vers
une	DET	un
ornières	NOUN	ornière
il	PRON	il
.	PUNCT	.
descendit	VERB	descendre
s'	PRON	se
la	DET	le
remonta	VERB	remonter
auvent	ADJ	auvent
garage	NOUN	garage
de	DET	de
dans	ADP	dans
Maurer	VERB	maurer
vaste	NOUN	vaste
Balazs	NOUN	balaz
le	DET	le
,	PUNCT	,
soutenu	VERB	soutenir
une	DET	un
pénétrait	VERB	pénétrer
et	CCONJ	et
