miroirs	NOUN	miroir
Tout	ADV	tout
étincelante	ADJ	étincelant
diamant	VERB	diamer
mille	NUM	mille
cet	DET	ce
I	ADJ	i
patinoire	NOUN	patinoire
leurs	DET	leur
.	PUNCT	.
cristal	NOUN	cristal
,	PUNCT	,
nouveau	ADJ	nouveau
à	ADP	à
une	DET	un
de	ADP	de
de	ADP	de
Glace	PROPN	Glace
projecteurs	NOUN	projecteur
que	SCONJ	que
intérieur	NOUN	intérieur
Palais	PROPN	Palais
et	CCONJ	et
commencé	VERB	commencer
l'	DET	le
dans	ADP	dans
,	PUNCT	,
les	DET	le
ses	DET	son
assez	ADV	assez
,	PUNCT	,
autour	ADV	autour
apothéose	NOUN	apothéose
les	DET	le
bien	ADV	bien
A	ADP	à
tout	ADV	tout
énorme	ADJ	énorme
rais	NOUN	rai
de	ADP	de
ses	DET	son
notre	DET	notre
avec	ADP	avec
lustres	NOUN	lustre
de	ADP	de
figurait	VERB	figurer
a	AUX	avoir
sa	DET	son
reflets	NOUN	reflet
,	PUNCT	,
ils	PRON	il
infini	NOUN	infini
noirs	ADJ	noir
lui	PRON	lui
deux	NUM	deux
demoiselles	ADJ	demoiselle
l'	DET	le
agréments	NOUN	agrément
l'	DET	le
proclamée	VERB	proclamer
céladon	NOUN	céladon
,	PUNCT	,
messieurs	NOUN	monsieur
vers	ADP	vers
l'	DET	le
de	ADP	de
catégorie	NOUN	catégorie
en	ADP	en
piste	NOUN	piste
classé	VERB	classer
la	DET	le
,	PUNCT	,
élancés	VERB	élancer
elle	PRON	lui
de	ADP	de
à	ADP	à
ovale	ADJ	ovale
,	PUNCT	,
la	DET	le
dans	ADP	dans
,	PUNCT	,
étaient	AUX	être
instant	NOUN	instant
des	DET	un
la	DET	le
championne	VERB	championne
s'	PRON	se
,	PUNCT	,
extrémités	NOUN	extrémité
elle	PRON	lui
lui	PRON	lui
catégorie	NOUN	catégorie
avec	ADP	avec
en	ADP	en
vert	NOUN	vert
premier	ADJ	premier
,	PUNCT	,
des	DET	un
un	PRON	un
rouge	NOUN	rouge
lui	PRON	lui
autre	PRON	autre
on	PRON	on
d	ADP	d
être	AUX	être
la	DET	le
l'	DET	le
,	PUNCT	,
,	PUNCT	,
alors	ADV	alors
avaient	AUX	avoir
cessé	VERB	cesser
ses	DET	son
ils	PRON	il
finale	ADJ	final
elle	PRON	lui
par	ADP	par
ivres	NOUN	ivre
jeune	ADJ	jeune
'	PUNCT	'
Bercés	VERB	bercer
flonflons	NOUN	flonflon
homme	NOUN	homme
la	DET	le
!	PUNCT	!
figure	NOUN	figure
fille	NOUN	fille
,	PUNCT	,
une	DET	un
,	PUNCT	,
eût	PRON	eût
jeune	ADJ	jeune
et	CCONJ	et
d'	ADP	de
ivres	NOUN	ivre
là	ADV	là
un	DET	un
musique	NOUN	musique
,	PUNCT	,
,	PUNCT	,
dit	VERB	dire
de	ADP	de
leur	DET	leur
qu'	SCONJ	que
ils	PRON	il
Estudiantina	PROPN	Estudiantina
pour	ADP	pour
victoire	NOUN	victoire
qu'	SCONJ	que
de	ADP	de
abolie	VERB	abolir
étaient	VERB	être
,	PUNCT	,
,	PUNCT	,
par	ADP	par
ces	DET	ce
n'	ADV	n'
détentes	ADJ	détente
l'	DET	le
cette	DET	ce
instant	NOUN	instant
immédiatement	ADV	immédiatement
,	PUNCT	,
comme	ADP	comme
autre	PRON	autre
magie	NOUN	magie
,	PUNCT	,
glissements	ADJ	glissement
,	PUNCT	,
ces	DET	ce
mouvement	NOUN	mouvement
ces	DET	ce
dans	ADP	dans
rien	PRON	rien
en	ADP	en
d'	ADP	de
toute	DET	tout
pesanteur	NOUN	pesanteur
suivante	ADJ	suivant
,	PUNCT	,
cette	DET	ce
lâchés	NOUN	lâché
que	SCONJ	que
remplacée	VERB	remplacer
ces	DET	ce
grâce	NOUN	grâce
,	PUNCT	,
spirales	NOUN	spirale
la	DET	le
longs	NOUN	long
magie	NOUN	magie
virevoltes	NOUN	virevolte
ces	DET	ce
d'	ADP	de
un	DET	un
tournoiements	NOUN	tournoiement
plus	ADV	plus
brusques	NOUN	brusque
espace	NOUN	espace
,	PUNCT	,
de	ADP	de
oiseaux	NOUN	oiseau
,	PUNCT	,
par	ADP	par
son	DET	son
,	PUNCT	,
des	DET	un
Estudiantina	PROPN	Estudiantina
elle	PRON	lui
des	DET	un
-lancée	X	-lancée
loin	ADV	loin
la	DET	le
est	AUX	être
,	PUNCT	,
,	PUNCT	,
mer	VERB	mer
Un	DET	un
le	DET	le
le	DET	le
la	DET	le
houle	NOUN	houle
,	PUNCT	,
le	DET	le
dans	ADP	dans
ciel	NOUN	ciel
doux	NOUN	dou
crissement	ADJ	crissement
dans	ADP	dans
,	PUNCT	,
avait	AUX	avoir
patins	NOUN	patin
comme	ADP	comme
de	ADP	de
portés	VERB	porter
poissons	NOUN	poisson
ses	DET	son
portés	VERB	porter
partenaire	NOUN	partenaire
.	PUNCT	.
succédé	VERB	succéder
par	ADP	par
-	NOUN	-
un	DET	un
flamenco	NOUN	flamenco
vent	NOUN	vent
dans	ADP	dans
à	ADP	à
s'	PRON	se
moment	NOUN	moment
qu'	PRON	qu'
arrêtée	VERB	arrêter
est	AUX	être
fois	NOUN	fois
même	ADV	même
par	ADP	par
brusquement	ADV	brusquement
tel	ADJ	tel
un	DET	un
au-dessus	ADV	au-dessus
beauté	NOUN	beauté
que	SCONJ	que
piste	NOUN	piste
au	ADP	au
bras	NOUN	bras
cette	DET	ce
,	PUNCT	,
patin	NOUN	patin
qui	PRON	qui
,	PUNCT	,
tête	NOUN	tête
de	ADP	de
,	PUNCT	,
,	PUNCT	,
la	DET	le
les	DET	le
était	AUX	être
ce	PRON	ce
assistance	NOUN	assistance
a	AUX	avoir
l'	DET	le
était	AUX	être
dressés	VERB	dresser
,	PUNCT	,
frappé	VERB	frapper
de	ADP	de
elle	PRON	lui
deux	NUM	deux
dans	ADP	dans
son	DET	son
empire	NOUN	empire
la	DET	le
.	PUNCT	.
de	ADP	de
la	DET	le
elle	PRON	lui
et	CCONJ	et
Et	CCONJ	et
gala	NOUN	gala
droit	ADJ	droit
trop	ADV	trop
des	ADP	de
ai	VERB	avoir
eut	VERB	avoir
de	ADP	de
il	PRON	il
profit	NOUN	profit
en	PRON	en
revoyais	ADJ	revoyai
eut	VERB	avoir
.	PUNCT	.
Comme	ADP	comme
,	PUNCT	,
je	PRON	je
il	PRON	il
diapositives	NOUN	diapositive
,	PUNCT	,
années	NOUN	année
on	PRON	on
un	DET	un
souffle	NOUN	souffle
tant	ADV	tant
je	PRON	je
Combattants	NOUN	combattant
un	DET	un
,	PUNCT	,
passe	VERB	passer
toujours	ADV	toujours
qu'	PRON	qu'
.	PUNCT	.
les	DET	le
,	PUNCT	,
y	PRON	y
une	DET	un
Maintenant	ADV	maintenant
comme	ADP	comme
vite	ADV	vite
y	PRON	y
ces	DET	ce
d'	ADP	de
larmes	NOUN	larme
encore	ADV	encore
,	PUNCT	,
aux	ADP	à
yeux	NOUN	oeil
soupir	NOUN	soupir
Anciens	NOUN	ancien
j'	PRON	je
,	PUNCT	,
après	ADP	après
de	ADP	de
le	PRON	le
et	CCONJ	et
,	PUNCT	,
de	ADP	de
et	CCONJ	et
revois	VERB	revoir
elle	PRON	lui
très	ADV	très
qu'	SCONJ	que
étalé	ADJ	étaler
les	DET	le
l'	DET	le
,	PUNCT	,
la	DET	le
distributions	NOUN	distribution
parents	NOUN	parent
un	DET	un
prix	NOUN	prix
sur	ADP	sur
ses	DET	son
ombre	NOUN	ombre
de	ADP	de
étroit	VERB	étroit
alors	ADV	alors
de	ADP	de
et	CCONJ	et
,	PUNCT	,
des	ADP	de
herbe	NOUN	herbe
moi	PRON	moi
,	PUNCT	,
maison	NOUN	maison
livres	NOUN	livre
,	PUNCT	,
occupaient	VERB	occuper
loin	ADV	loin
où	PRON	où
nos	DET	notre
d'	ADP	de
,	PUNCT	,
à	ADP	à
tilleul	NOUN	tilleul
nous	PRON	nous
avions	AUX	avoir
l'	DET	le
jardin	ADJ	jardin
,	PUNCT	,
loin	ADV	loin
grand	ADJ	grand
la	DET	le
m'	PRON	me
après	ADP	après
gelé	VERB	geler
numéro	ADJ	numéro
un	DET	un
je	PRON	je
et	CCONJ	et
»	PROPN	»
de	ADP	de
exécute	ADJ	exécut
ce	DET	ce
,	PUNCT	,
deux	NUM	deux
ce	DET	ce
on	PRON	on
sur	ADP	sur
des	ADP	de
«	PUNCT	«
,	PUNCT	,
,	PUNCT	,
au	ADP	au
savetier	NOUN	savetier
lui	PRON	lui
Pickwickoù	PROPN	Pickwickoù
lire	VERB	lire
cogner	VERB	cogner
à	ADP	à
appelle	VERB	appeler
facétieux	ADJ	facétieux
une	DET	un
du	ADP	de
passage	NOUN	passage
brillant	NOUN	brillant
Sam	PROPN	Sam
Monsieur	NOUN	Monsieur
porte	NOUN	porte
étang	NOUN	étang
qu'	SCONJ	que
milieu	NOUN	milieu
longue	ADJ	long
Weller	PROPN	Weller
des	ADP	de
glissade	NOUN	glissade
,	PUNCT	,
le	DET	le
entends	VERB	entendre
gamins	NOUN	gamin
,	PUNCT	,
applaudissements	NOUN	applaudissement
vers	ADP	vers
frappés	VERB	frapper
autour	ADV	autour
,	PUNCT	,
plus	ADV	plus
ovation	NOUN	ovation
coups	NOUN	coup
Tout	ADV	tout
des	DET	un
figure	NOUN	figure
on	PRON	on
ne	ADV	ne
se	PRON	se
affolées	VERB	affoler
.	PUNCT	.
des	DET	un
