couvre	VERB	couvrir
Malgré	ADP	malgré
rentrerait	VERB	rentrer
insisté	VERB	insister
cédé	NOUN	cédé
homme	NOUN	homme
PROLOGUE	ADJ	prologu
il	PRON	il
des	ADP	de
plus	ADV	plus
ses	DET	son
filles	NOUN	fille
-là	NUM	-là
étaient	AUX	être
plus	ADV	plus
à	ADP	à
vieil	NOUN	vieux
avait	AUX	avoir
qu'	SCONJ	que
pour	ADP	pour
le	DET	le
.	PUNCT	.
Certains	PRON	certains
froid	NOUN	froid
,	PUNCT	,
de	ADP	de
il	PRON	il
se	PRON	se
condition	NOUN	condition
dehors	ADP	dehors
sans	ADP	sans
.	PUNCT	.
en	ADP	en
avaient	AUX	avoir
ce	DET	ce
perçant	ADJ	perçant
bien	ADV	bien
avait	AUX	avoir
,	PUNCT	,
Il	PRON	il
trop	ADV	trop
soir	NOUN	soir
promis	VERB	promettre
tarder	VERB	tarder
et	CCONJ	et
rester	VERB	rester
le	DET	le
qu'	SCONJ	que
enfants	NOUN	enfant
cependant	ADV	cependant
fois	NOUN	fois
lui	PRON	lui
nouveau	ADJ	nouveau
les	DET	le
précisé	VERB	préciser
mort	NOUN	mort
avec	ADP	avec
un	DET	un
un	DET	un
après-midi	NOUN	après-midi
véridique	ADJ	véridique
,	PUNCT	,
autour	ADV	autour
.	PUNCT	.
passé	VERB	passer
vieil	NOUN	vieux
bois	NOUN	bois
grand	ADJ	grand
,	PUNCT	,
environs	NOUN	environ
du	ADP	de
d'	ADP	de
entamait	VERB	entamer
Ils	PRON	il
ramasser	VERB	ramasser
avaient	AUX	avoir
comme	ADP	comme
chaque	DET	chaque
homme	NOUN	homme
ils	PRON	il
conte	NOUN	conte
il	PRON	il
l'	DET	le
avait	AUX	avoir
étaient	AUX	être
à	ADP	à
qu'	SCONJ	que
dans	ADP	dans
le	DET	le
un	DET	un
.	PUNCT	.
réunis	VERB	réunir
,	PUNCT	,
Une	DET	un
histoire	NOUN	histoire
et	CCONJ	et
.	PUNCT	.
écoutant	VERB	écouter
récit	NOUN	récit
feu	NOUN	feu
dépourvues	ADJ	dépourvu
enfants	NOUN	enfant
parfois	ADV	parfois
