Daniels	PROPN	Daniels
—	PROPN	—
lui	PRON	lui
.	PUNCT	.
Ken	PROPN	Ken
voix	NOUN	voix
Prologue	PROPN	Prologue
ne	ADV	ne
.	PUNCT	.
le	DET	le
pour	ADP	pour
revenir	VERB	revenir
je	PRON	je
connaissait	VERB	connaître
,	PUNCT	,
serra	VERB	serrer
une	DET	un
serai	VERB	être
poings	NOUN	poing
Tu	ADP	tu
d'	ADP	de
n'	ADV	n'
raison	NOUN	raison
va	VERB	aller
homme	NOUN	homme
revenir	VERB	revenir
.	PUNCT	.
William	NOUN	william
les	DET	le
...	PUNCT	...
donne	VERB	donne
eu	VERB	avoir
murmura	VERB	murmurer
...	PUNCT	...
Dès	ADP	dès
vieil	NOUN	vieux
avait	AUX	avoir
rauque	ADJ	rauque
Garreth	PROPN	Garreth
y	PRON	y
pas	ADV	pas
que	SCONJ	que
.	PUNCT	.
huit	NUM	huit
jours	NOUN	jour
verras	ADJ	verra
Elle	PRON	lui
Je	PRON	je
Il	PRON	il
plus	ADV	plus
.	PUNCT	.
sa	DET	son
osé	VERB	oser
mourir	VERB	mourir
lui	PRON	lui
avant	ADP	avant
bien	ADV	bien
pas	ADV	pas
le	DET	le
prédit	VERB	prédire
présent	ADJ	présent
,	PUNCT	,
pas	ADV	pas
de	ADP	de
il	PRON	il
se	PRON	se
juste	ADV	juste
Ou	CCONJ	ou
à	ADP	à
,	PUNCT	,
,	PUNCT	,
cru	ADJ	cru
,	PUNCT	,
...	PUNCT	...
retour	NOUN	retour
Lorsqu'	SCONJ	lorsque
l'	DET	le
évidence	NOUN	évidence
rendre	VERB	rendre
ne	ADV	ne
le	PRON	le
Deaton	PROPN	Deaton
avait	AUX	avoir
il	PRON	il
l'	PRON	l'
son	DET	son
Sam	PRON	sam
de	ADP	de
fallait	VERB	falloir
.	PUNCT	.
croire	VERB	croire
avait	AUX	avoir
avait	VERB	avoir
?	PUNCT	?
A	AUX	avoir
Ken	PROPN	Ken
petite-fille	NOUN	petite-fille
-il	PRON	il
banquier	NOUN	banquier
n'	ADV	n'
rendez-vous	NOUN	rendez-vous
famille	NOUN	famille
sœur	ADV	sœur
ne	ADV	ne
Elle	PRON	lui
.	PUNCT	.
la	DET	le
propre	ADJ	propre
raccroché	VERB	raccrocher
—	PUNCT	—
cette	DET	ce
fois	NOUN	fois
la	DET	le
Qu'	PRON	qu'
téléphoner	VERB	téléphoner
appelé	VERB	appeler
Ken	PROPN	Ken
votre	DET	votre
secrétaire	NOUN	secrétaire
s'	PRON	se
,	PUNCT	,
mort	NOUN	mort
avait	AUX	avoir
venait	VERB	venir
arrive	VERB	arrive
de	ADP	de
pour	ADP	pour
prendre	VERB	prendre
ma	DET	mon
pas	ADV	pas
,	PUNCT	,
Ken	PROPN	Ken
:	PUNCT	:
...	PUNCT	...
déplacée	VERB	déplacer
Elle	PRON	lui
.	PUNCT	.
Elle	PRON	lui
a	AUX	avoir
de	ADP	de
pourtant	ADV	pourtant
à	ADP	à
,	PUNCT	,
.	PUNCT	.
Mais	CCONJ	mais
est	AUX	être
,	PUNCT	,
sa	DET	son
.	PUNCT	.
femme	NOUN	femme
réfléchir	NOUN	réfléchir
-il	PRON	il
,	PUNCT	,
était	AUX	être
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
esquisses	NOUN	esquisse
Un	DET	un
?	PUNCT	?
familières	ADJ	familier
de	ADP	de
là	ADV	là
ironique	ADJ	ironique
savoir	VERB	savoir
s'	PRON	se
,	PUNCT	,
les	DET	le
assis	ADJ	assis
dirigé	VERB	diriger
automate	NOUN	automate
,	PUNCT	,
?	PUNCT	?
d'	ADP	de
un	DET	un
en	PRON	en
.	PUNCT	.
Pour	ADP	pour
était	AUX	être
son	DET	son
au	ADP	au
Réfléchir	NOUN	réfléchir
plus	ADV	plus
peinture	NOUN	peinture
atelier	NOUN	atelier
Comme	SCONJ	comme
.	PUNCT	.
s'	PRON	se
il	PRON	il
parmi	ADP	parmi
milieu	NOUN	milieu
et	CCONJ	et
et	CCONJ	et
des	ADP	de
odeurs	NOUN	odeur
vers	ADP	vers
besoin	NOUN	besoin
les	DET	le
sourire	ADJ	sourir
toiles	NOUN	toile
qu'	PRON	qu'
ses	DET	son
longtemps	ADV	longtemps
Une	DET	un
posèrent	VERB	poser
portrait	NOUN	portrait
effleura	VERB	effleurer
depuis	ADP	depuis
sept	NUM	sept
pensées	NOUN	pensée
de	ADP	de
Ken	PROPN	Ken
qu'	SCONJ	que
plus	ADV	plus
aligner	VERB	aligner
fois	NOUN	fois
ce	DET	ce
mieux	ADV	mieux
sur	ADP	sur
belle	ADJ	bel
à	ADP	à
il	PRON	il
peint	VERB	peindre
.	PUNCT	.
face	NOUN	face
Comment	ADV	comment
le	DET	le
visage	NOUN	visage
encore	ADV	encore
,	PUNCT	,
!	PUNCT	!
avait	AUX	avoir
deux	NUM	deux
se	PRON	se
cependant	ADV	cependant
cohérentes	ADJ	cohérent
il	PRON	il
?	PUNCT	?
une	DET	un
aurait	AUX	avoir
Les	DET	le
...	PUNCT	...
de	ADP	de
yeux	NOUN	oeil
noirs	ADJ	noir
toile	ADJ	toil
lèvres	NOUN	lèvre
brûler	VERB	brûler
ans	NOUN	an
fait	VERB	faire
l'	PRON	l'
,	PUNCT	,
perdre	VERB	perdre
.	PUNCT	.
mois	NOUN	mois
