tonnerre	NOUN	tonnerre
.	PUNCT	.
qui	PRON	qui
nocturne	ADJ	nocturne
d'	ADP	de
la	DET	le
1	NUM	1
moussues	ADJ	moussu
au	ADP	au
de	ADP	de
formaient	VERB	former
un	DET	un
iode	NOUN	iode
des	ADP	de
du	ADP	de
fantasmagoriques	ADJ	fantasmagorique
et	CCONJ	et
sel	NOUN	sel
Le	DET	le
était	AUX	être
,	PUNCT	,
et	CCONJ	et
mêlait	VERB	mêler
tempête	NOUN	tempête
mer	VERB	mer
approchait	VERB	approcher
grondement	NOUN	grondement
du	ADP	de
.	PUNCT	.
des	ADP	de
pendaient	VERB	pendre
se	PRON	se
côté	NOUN	côté
rideau	NOUN	rideau
effluves	NOUN	effluve
la	PRON	le
lointain	ADJ	lointain
brise	NOUN	brise
ombres	NOUN	ombre
de	ADP	de
aux	ADP	à
d'	ADP	de
Les	DET	le
vieux	ADJ	vieux
chênes	NOUN	chêne
saturée	VERB	saturer
La	DET	le
lianes	NOUN	liane
bruissement	NOUN	bruissement
.	PUNCT	.
réserve	NOUN	réserve
et	CCONJ	et
nord	NOUN	nord
où	PRON	où
d'	ADP	de
ouest	NOUN	ouest
feuilles	NOUN	feuille
au	ADP	au
les	DET	le
L'	DET	le
vacarme	NOUN	vacarme
,	PUNCT	,
intermittence	NOUN	intermittence
s'	PRON	se
vent	NOUN	vent
plus	ADV	plus
l'	DET	le
.	PUNCT	.
jaillissant	VERB	jaillir
l'	DET	le
de	ADP	de
d'	ADP	de
laquelle	PRON	lequel
mugissement	NOUN	mugissement
venait	VERB	venir
du	ADP	de
de	ADP	de
la	DET	le
vives	VERB	vivre
se	PRON	se
,	PUNCT	,
dans	ADP	dans
.	PUNCT	.
entrecoupé	NOUN	entrecoupé
nimbait	VERB	nimber
orage	NOUN	orage
militaire	ADJ	militaire
,	PUNCT	,
illuminations	NOUN	illumination
éclairs	NOUN	éclair
retentissait	VERB	retentir
par	ADP	par
près	ADV	près
un	DET	un
autre	ADJ	autre
horizon	ADJ	horizon
au	ADP	au
,	PUNCT	,
bombardiers	NOUN	bombardier
Plus	ADV	plus
éclipsa	NOUN	éclipsa
.	PUNCT	.
Nightingale	NOUN	nightingale
,	PUNCT	,
d'	ADP	de
une	DET	un
entraînaient	VERB	entraîner
Shelley	PROPN	Shelley
de	ADP	de
part	NOUN	part
privé	ADJ	priver
,	PUNCT	,
l'	DET	le
lune	NOUN	lune
contenaient	VERB	contenir
centenaires	ADJ	centenaire
l'	DET	le
où	PRON	où
un	DET	un
l'	DET	le
,	PUNCT	,
instant	NOUN	instant
argenté	VERB	argenter
deux	NUM	deux
féerie	NOUN	féerie
spectacles	NOUN	spectacle
épais	NOUN	épai
nuage	ADJ	nuag
,	PUNCT	,
artificielle	ADJ	artificiel
bifurquait	VERB	bifurquer
cercle	NOUN	cercle
leur	DET	leur
bordé	VERB	border
.	PUNCT	.
de	ADP	de
le	DET	le
naturelle	NOUN	naturel
arbres	ADJ	arbre
même	ADV	même
sur	ADP	sur
A	ADP	à
voiture	NOUN	voiture
le	DET	le
chemin	NOUN	chemin
autre	PRON	autre
Les	DET	le
de	ADP	de
la	DET	le
la	DET	le
,	PUNCT	,
Brusquement	ADV	brusquement
vous	PRON	vous
.	PUNCT	.
courir	VERB	courir
dévora	VERB	dévorer
.	PUNCT	.
qui	PRON	qui
folâtre	NOUN	folâtre
des	ADP	de
vos	DET	votre
chaussures	NOUN	chaussure
et	CCONJ	et
Shelley	PROPN	Shelley
halo	NOUN	halo
l'	DET	le
nuit	NOUN	nuit
une	DET	un
,	PUNCT	,
C'	PRON	ce
la	DET	le
magnifique	ADJ	magnifique
poulain	NOUN	poulain
autour	ADV	autour
,	PUNCT	,
du	ADP	de
pieds	VERB	pieds
nus	VERB	nus
herbe	NOUN	herbe
une	DET	un
donnent	ADV	donnent
un	DET	un
jaune	ADJ	jaune
pour	ADP	pour
nuit	NOUN	nuit
phares	NOUN	phare
comme	ADP	comme
tout	ADV	tout
dans	ADP	dans
,	PUNCT	,
envie	NOUN	envie
sauvage	NOUN	sauvage
ces	DET	ce
d'	ADP	de
ôter	VERB	ôter
était	AUX	être
,	PUNCT	,
nuits	NOUN	nuit
.	PUNCT	.
de	ADP	de
de	ADP	de
sa	DET	son
poignée	NOUN	poignée
.	PUNCT	.
pour	ADP	pour
maison	NOUN	maison
arrêta	VERB	arrêter
la	DET	le
au	ADP	au
servait	VERB	servir
la	DET	le
tête	NOUN	tête
demeura	VERB	demeurer
.	PUNCT	.
appentis	NOUN	appentis
à	ADP	à
sa	DET	son
,	PUNCT	,
poumons	ADJ	poumon
Sortant	ADP	sortant
derrière	ADP	derrière
un	DET	un
.unique	PUNCT	.unique
sous	ADP	sous
garage	NOUN	garage
l'	DET	le
l'	DET	le
air	NOUN	air
pleins	ADJ	plein
véhicule	NOUN	véhicule
de	ADP	de
contrée	NOUN	contrée
qui	PRON	qui
renversée	VERB	renverser
,	PUNCT	,
de	ADP	de
cette	DET	ce
délabrée	VERB	délabrer
respirer	VERB	respirer
moment	NOUN	moment
la	DET	le
elle	PRON	lui
main	NOUN	main
portière	NOUN	portière
,	PUNCT	,
du	ADP	de
voiture	NOUN	voiture
sur	ADP	sur
monde	NOUN	monde
la	DET	le
ces	DET	ce
autre	ADJ	autre
aussi	ADV	aussi
ailleurs	ADV	ailleurs
ténèbres	NOUN	ténèbre
nulle	VERB	nulle
Aucune	DET	aucun
brise	NOUN	brise
vent	NOUN	vent
des	DET	un
.	PUNCT	.
Souriant	VERB	sourire
tumulte	NOUN	tumulte
soulevait	AUX	soulevait
n'	ADV	n'
Shelley	PROPN	Shelley
;	PUNCT	;
océan	NOUN	océan
imprégna	VERB	imprégner
on	PRON	on
celle-ci	PRON	celui-ci
d'	ADP	de
Le	DET	le
de	ADP	de
comme	ADP	comme
Floride	NOUN	floride
de	ADP	de
toutes	ADJ	tout
s'	PRON	se
pouvait	VERB	pouvoir
douce	VERB	douce
.	PUNCT	.
offrait	VERB	offrir
aux	ADP	à
respirer	VERB	respirer
nuits	NOUN	nuit
sensations	NOUN	sensation
part	NOUN	part
,	PUNCT	,
un	DET	un
que	SCONJ	que
le	DET	le
dans	ADP	dans
la	DET	le
soie	NOUN	soie
ne	ADV	ne
région	NOUN	région
une	DET	un
chaud	NOUN	chaud
déchaîné	VERB	déchaîner
