fous	NOUN	fou
.	PUNCT	.
de	ADP	de
le	DET	le
vitre	NOUN	vitre
Eblouie	NOUN	eblouie
1	NUM	1
fenêtre	NOUN	fenêtre
couraient	NOUN	couraient
El	PUNCT	el
regarder	VERB	regarder
par	ADP	par
,	PUNCT	,
gesticulant	VERB	gesticuler
Negroarrive	PROPN	Negroarrive
.	PUNCT	.
.	PUNCT	.
avança	VERB	avancer
gamins	NOUN	gamin
soleil	NOUN	soleil
'	PUNCT	'
Tia	PROPN	Tia
,	PUNCT	,
El	NOUN	el
Negro	PROPN	Negro
Gato	PROPN	Gato
mexicains	ADJ	mexicain
,	PUNCT	,
Trois	NUM	Trois
de	ADP	de
la	DET	le
joie	NOUN	joie
!	PUNCT	!
la	DET	le
l'	DET	le
Gato	PROPN	Gato
de	ADP	de
par	ADP	par
poussiéreuse	ADJ	poussiéreux
s'	PRON	se
petite	ADJ	petit
après-midi	NOUN	après-midi
à	ADP	à
boutique	NOUN	boutique
pour	ADP	pour
torride	ADJ	torride
—	PUNCT	—
la	DET	le
en	ADP	en
jusqu'	ADP	jusque
banque	NOUN	banque
la	DET	le
ville	NOUN	ville
l'	DET	le
des	ADP	de
Tubac	NOUN	tubac
sur	ADP	sur
la	DET	le
de	ADP	de
traversait	VERB	traverser
en	ADP	en
bois	NOUN	bois
Negroarrive	PROPN	Negroarrive
autre	PRON	autre
ornières	NOUN	ornière
d'	ADP	de
de	ADP	de
l'	DET	le
côté	NOUN	côté
Arizona	PROPN	Arizona
ville	NOUN	ville
!	PUNCT	!
brune	ADJ	brun
creusée	VERB	creuser
petite	ADJ	petit
d'	ADP	de
et	CCONJ	et
la	DET	le
un	DET	un
—	PUNCT	—
,	PUNCT	,
pierre	NOUN	pierre
qui	PRON	qui
décolorées	VERB	décolorer
El	NOUN	el
la	DET	le
en	ADP	en
dans	ADP	dans
magasins	NOUN	magasin
A	ADP	à
entre	ADP	entre
Gato	PROPN	Gato
nord	ADJ	nord
les	DET	le
devantures	NOUN	devanture
.	PUNCT	.
route	NOUN	route
de	ADP	de
l'	DET	le
extrémité	NOUN	extrémité
étaient	AUX	être
un	DET	un
.	PUNCT	.
discrètement	VERB	discrètemer
Tubac	PROPN	Tubac
Tia	DET	tia
,	PUNCT	,
ici	ADV	ici
enchantement	NOUN	enchantement
élevait	VERB	élever
jamais	ADV	jamais
rien	PRON	rien
,	PUNCT	,
le	DET	le
rouille	ADJ	rouille
Dehors	ADV	dehors
.	PUNCT	.
Negrone	PROPN	Negrone
de	DET	de
les	DET	le
désert	NOUN	désert
El	PROPN	El
par	ADP	par
nuage	ADJ	nuag
du	ADP	de
couleur	NOUN	couleur
nombreux	ADJ	nombreux
Mexicains	NOUN	mexicain
,	PUNCT	,
roses	NOUN	rose
Il	PRON	il
comme	ADP	comme
s'	PRON	se
à	ADP	à
.	PUNCT	.
au-dessus	ADV	au-dessus
apparus	VERB	apparaître
écarta	ADJ	écarta
.	PUNCT	.
Gato	PROPN	Gato
ne	ADV	ne
Non	ADV	non
pas	ADV	pas
se	PRON	se
passait	VERB	passer
rideaux	NOUN	rideau
épais	NOUN	épai
venir	VERB	venir
sur	ADP	sur
pouvait	VERB	pouvoir
chez	ADP	chez
de	ADP	de
.	PUNCT	.
et	CCONJ	et
et	CCONJ	et
d'	ADP	de
bord	NOUN	bord
sauveur	NOUN	sauveur
Gaston	PROPN	Gaston
se	PRON	se
hommes	NOUN	homme
,	PUNCT	,
se	PRON	se
la	DET	le
Leurs	DET	leur
,	PUNCT	,
babil	NOUN	babil
cou	NOUN	cou
couraient	VERB	courir
d'	ADP	de
un	DET	un
dévissaient	VERB	dévisser
Mme	NOUN	mme
route	NOUN	route
dans	ADP	dans
.	PUNCT	.
se	PRON	se
réfugier	NOUN	réfugier
ils	PRON	il
.	PUNCT	.
Quant	ADV	quant
.	PUNCT	.
cris	NOUN	cri
femmes	NOUN	femme
Les	DET	le
mêlaient	ADV	mêlaient
eux	PRON	lui
espagnol	NOUN	espagnol
enfants	NOUN	enfant
le	DET	le
aux	DET	aux
femmes	NOUN	femme
apercevoir	VERB	apercevoir
Blancs	PROPN	Blancs
,	PUNCT	,
anglais	NOUN	anglais
la	DET	le
leur	DET	leur
,	PUNCT	,
pour	ADP	pour
Tia	PROPN	Tia
de	ADP	de
—	PUNCT	—
une	DET	un
Parmi	ADP	parmi
fenêtre	NOUN	fenêtre
patronne	NOUN	patronne
?	PUNCT	?
El	NOUN	el
,	PUNCT	,
Gato	PROPN	Gato
Negroarrive	PROPN	Negroarrive
.	PUNCT	.
Negro	PROPN	Negro
de	ADP	de
amis	NOUN	ami
la	DET	le
se	PRON	se
les	DET	le
grimace	NOUN	grimace
à	ADP	à
—	PUNCT	—
légendaire	NOUN	légendaire
petite	ADJ	petit
Tia	PROPN	Tia
boutique	NOUN	boutique
relations	NOUN	relation
de	ADP	de
et	CCONJ	et
son	DET	son
Il	PRON	il
le	DET	le
vêtements	NOUN	vêtement
.	PUNCT	.
visage	NOUN	visage
rejoignit	ADJ	rejoignit
,	PUNCT	,
,	PUNCT	,
les	DET	le
Que	PRON	que
paraît	VERB	paraître
sévère	ADJ	sévère
-t	PART	-t
que	SCONJ	que
El	PRON	el
défigurait	VERB	défigurer
la	DET	le
-il	PRON	il
Gato	PROPN	Gato
passe	VERB	passer
naissance	NOUN	naissance
traduction	NOUN	traduction
défendre	VERB	défendre
vu	VERB	voir
oppresseurs	NOUN	oppresseur
ait	AUX	avoir
,	PUNCT	,
pour	ADP	pour
marna	NOUN	marna
bien	ADV	bien
Mexicains	NOUN	mexicain
de	ADP	de
la	DET	le
«	NOUN	«
Noir	PROPN	Noir
.	PUNCT	.
l'	PRON	l'
un	DET	un
était	AUX	être
dans	ADP	dans
ne	ADV	ne
réputation	NOUN	réputation
que	PRON	que
du	ADP	de
on	PRON	on
Chat	NOUN	chat
blanche	ADJ	blanc
de	ADP	de
Tia	PROPN	Tia
ville	NOUN	ville
et	CCONJ	et
ce	PRON	ce
,	PUNCT	,
leurs	DET	leur
,	PUNCT	,
qu'	SCONJ	que
,	PUNCT	,
jamais	ADV	jamais
blancs	ADJ	blanc
d'	ADP	de
protéger	VERB	protéger
avait	VERB	avoir
,	PUNCT	,
les	DET	le
pauvres	NOUN	pauvre
cette	DET	ce
espagnole	ADJ	espagnol
connu	VERB	connaître
appelait	VERB	appeler
prince	NOUN	prince
terri	NOUN	terri
par	ADP	par
famille	NOUN	famille
décidé	VERB	décider
les	DET	le
marna	ADJ	marna
blanche	ADJ	blanc
de	ADP	de
—	PUNCT	—
des	DET	un
,	PUNCT	,
comptait	VERB	compter
vivraient	VERB	vivre
du	ADP	de
mais	CCONJ	mais
espagnols	NOUN	espagnol
,	PUNCT	,
Mexicains	NOUN	mexicain
plus	ADV	plus
que	SCONJ	que
survie	VERB	survie
comme	ADP	comme
.	PUNCT	.
»	PUNCT	»
de	ADP	de
,	PUNCT	,
prestigieux	ADJ	prestigieux
du	ADP	de
les	DET	le
famille	NOUN	famille
,	PUNCT	,
roire	ADJ	roir
pour	ADP	pour
parmi	ADP	parmi
et	CCONJ	et
raisons	NOUN	raison
-	NOUN	-
avait	AUX	avoir
noms	NOUN	nom
des	DET	un
Garcia	PROPN	Garcia
elle	PRON	lui
Leur	DET	leur
-	PROPN	-
