cicatrisante	ADJ	cicatrisant
elle	PRON	lui
-	PRON	-
du	ADP	de
Black	PROPN	Black
au	ADP	au
Si	SCONJ	si
giganti	ADJ	giganti
nue	VERB	nue
pied	NOUN	pied
un	DET	un
dénommé	NOUN	dénommé
genoux	NOUN	genou
-	PUNCT	-
fétichiste	NOUN	fétichiste
,	PUNCT	,
été	AUX	être
magnifique	NOUN	magnifique
plus	ADV	plus
bonheur	NOUN	bonheur
aurait	AUX	avoir
,	PUNCT	,
chair	NOUN	chair
été	AUX	être
Anna	PROPN	Anna
une	DET	un
de	ADP	de
mousse	ADJ	mousse
présentait	VERB	présenter
Posé	VERB	poser
cus	X	cus
de	ADP	de
du	ADP	de
Howard	PROPN	Howard
sur	ADP	sur
,	PUNCT	,
que	SCONJ	que
comble	NOUN	comble
Elk	PROPN	Elk
un	DET	un
,	PUNCT	,
ses	DET	son
de	ADP	de
appartenant	VERB	appartenir
à	ADP	à
.	PUNCT	.
avait	AUX	avoir
pedis	NOUN	pedi
.	PUNCT	.
exemple	NOUN	exemple
le	DET	le
se	PRON	se
pas	ADV	pas
déclara	ADJ	déclara
midi	VERB	midi
temps	NOUN	temps
À	ADP	à
est	AUX	être
.	PUNCT	.
on	PRON	on
occupez	VERB	occuper
,	PUNCT	,
gorgées	NOUN	gorgée
absurde	ADJ	absurde
pentes	NOUN	pente
est	AUX	être
le	DET	le
Dew	PROPN	Dew
.	PUNCT	.
Mr	PROPN	Mr
tout	ADV	tout
de	ADP	de
main	NOUN	main
sur	ADP	sur
arrache	VERB	arrache
les	DET	le
Vous	PRON	vous
avez	VERB	avoir
parti	VERB	partir
Elk	PROPN	Elk
vous	PRON	vous
de	ADP	de
,	PUNCT	,
à	ADP	à
entre	ADP	entre
les	PRON	le
coup	NOUN	coup
,	PUNCT	,
tout	ADV	tout
Mountain	PROPN	Mountain
qui	PRON	qui
deux	NUM	deux
Si	SCONJ	si
vous	PRON	vous
en	PRON	en
Black	PROPN	Black
battre	VERB	battre
c'	PRON	ce
Aussi	ADV	aussi
.	PUNCT	.
escarmouches	NOUN	escarmouche
cela	PRON	cela
,	PUNCT	,
contre	ADP	contre
leurs	DET	leur
ses	DET	son
que	SCONJ	que
ventre	NOUN	ventre
qui	PRON	qui
fière	ADJ	fier
feu	NOUN	feu
avançaient	ADV	avançaient
de	ADP	de
battait	VERB	battre
était	AUX	être
.	PUNCT	.
de	ADP	de
déplaçait	VERB	déplacer
dix	NUM	dix
les	DET	le
résistance	NOUN	résistance
César	PROPN	César
armée	NOUN	armée
,	PUNCT	,
la	DET	le
Anna	PROPN	Anna
jours	NOUN	jour
d'	ADP	de
Après	ADP	après
.	PUNCT	.
mais	CCONJ	mais
l'	DET	le
très	ADV	très
sur	ADP	sur
L'	DET	le
de	ADP	de
,	PUNCT	,
pansements	NOUN	pansement
pieds	NOUN	pied
se	PRON	se
les	DET	le
armée	NOUN	armée
sur	ADP	sur
soldats	NOUN	soldat
du	ADP	de
ampoules	NOUN	ampoule
parût	VERB	paraître
le	DET	le
se	PRON	se
peut-être	ADV	peut-être
équipe	NOUN	équipe
l'	DET	le
Anna	PROPN	Anna
La	DET	le
.	PUNCT	.
œufs	NOUN	œuf
contre	ADP	contre
à	ADP	à
Montana	PROPN	Montana
Californie	PROPN	Californie
la	DET	le
pression	NOUN	pression
la	DET	le
de	ADP	de
,	PUNCT	,
Sho	NOUN	sho
des	DET	un
infirmerie	NOUN	infirmerie
Rap	PROPN	Rap
queue	NOUN	queue
sur	ADP	sur
tente	NOUN	tente
du	ADP	de
surnommé	VERB	surnommer
marchait	VERB	marcher
Jackknife	PROPN	Jackknife
,	PUNCT	,
l'	DET	le
-	PUNCT	-
s'	PRON	se
,	PUNCT	,
pompiers	NOUN	pompier
en	ADP	en
montait	VERB	monter
allongeait	VERB	allonger
,	PUNCT	,
de	ADP	de
.	PUNCT	.
Les	DET	le
-	PUNCT	-
et	CCONJ	et
devant	ADP	devant
de	ADP	de
manifestement	ADV	manifestement
,	PUNCT	,
qui	PRON	qui
incendie	NOUN	incendie
baromètre	VERB	baromètre
composée	VERB	composer
servait	VERB	servir
de	ADP	de
et	CCONJ	et
les	DET	le
être	ADV	être
obligés	ADJ	obliger
Peut	ADV	peut
