crottin	NOUN	crottin
.	PUNCT	.
il	PRON	il
qu'	PRON	qu'
,	PUNCT	,
du	ADP	de
1	NUM	1
lorsqu'	SCONJ	lorsque
de	ADP	de
colère	NOUN	colère
l'	DET	le
odieux	ADJ	odieux
Puis	CCONJ	puis
triomphant	ADJ	triomphant
dans	ADP	dans
de	ADP	de
lecture	NOUN	lecture
se	PRON	se
enfoncer	VERB	enfoncer
il	PRON	il
la	DET	le
sa	DET	son
coup	NOUN	coup
Diaz	PROPN	Diaz
à	ADP	à
entra	VERB	entrer
dans	ADP	dans
le	DET	le
l'	DET	le
de	ADP	de
resserra	VERB	resserrer
un	DET	un
une	DET	un
message	NOUN	message
recevoir	VERB	recevoir
noire	NOUN	noire
d'	ADP	de
billet	NOUN	billet
avant	ADP	avant
colère	NOUN	colère
le	DET	le
.	PUNCT	.
en	ADP	en
poing	NOUN	poing
sur	ADP	sur
venait	VERB	venir
Jimmy	PROPN	Jimmy
plaisir	NOUN	plaisir
talon	NOUN	talon
mua	VERB	muer
hippodrome	NOUN	hippodrome
Il	PRON	il
pensée	NOUN	pensée
de	ADP	de
Tandis	ADV	tandis
se	PRON	se
.	PUNCT	.
sa	DET	son
Doyle	NOUN	doyle
se	PRON	se
la	DET	le
missive	NOUN	missive
et	CCONJ	et
aperçut	VERB	apercevoir
homme	ADV	homme
il	PRON	il
Jimmy	PROPN	Jimmy
dévoiler	VERB	dévoiler
à	ADP	à
tout	ADJ	tout
!	PUNCT	!
partit	NOUN	partit
,	PUNCT	,
était	AUX	être
insulter	VERB	insulter
pas	ADV	pas
travers	NOUN	travers
l'	DET	le
déambulait	VERB	déambuler
mètre	NOUN	mètre
à	ADP	à
Keeneland	PROPN	Keeneland
à	ADP	à
.	PUNCT	.
soixante	ADJ	soixant
laisser	VERB	laisser
de	ADP	de
redressa	VERB	redresser
qu'	SCONJ	que
sur-le-champ	NOUN	sur-le-champ
l'	DET	le
,	PUNCT	,
fond	NOUN	fond
auteur	NOUN	auteur
de	ADP	de
son	DET	son
n'	ADV	n'
de	ADP	de
McCoy	NOUN	mccoy
le	DET	le
,	PUNCT	,
Graspin	PROPN	Graspin
,	PUNCT	,
sortait	VERB	sortir
Aussi	ADV	aussi
.	PUNCT	.
Lamar	PROPN	Lamar
Doyle	PROPN	Doyle
fureté	VERB	fureter
dans	ADP	dans
vie	NOUN	vie
dure	ADJ	dur
propriétaires	NOUN	propriétaire
les	DET	le
son	DET	son
qu'	SCONJ	que
bookmakers	NOUN	bookmaker
