pénombre	NOUN	pénombre
soirée	NOUN	soirée
ville	NOUN	ville
histoire	NOUN	histoire
la	DET	le
de	ADP	de
Une	DET	un
la	DET	le
le	DET	le
acteur	NOUN	acteur
ouvertes	ADJ	ouvert
,	PUNCT	,
vent	NOUN	vent
de	ADP	de
dit	VERB	dire
rouge	NOUN	rouge
cœur	NOUN	cœur
déjà	ADV	déjà
couchant	NOUN	couchant
.	PUNCT	.
au	ADP	au
.	PUNCT	.
,	PUNCT	,
été	AUX	être
serait	AUX	être
,	PUNCT	,
et	CCONJ	et
la	DET	le
du	ADP	de
un	DET	un
,	PUNCT	,
parc	NOUN	parc
l'	DET	le
entre	ADP	entre
souffle	NOUN	souffle
,	PUNCT	,
du	ADP	de
l'	DET	le
nuit	NOUN	nuit
Et	CCONJ	et
baies	NOUN	baie
de	ADP	de
étalé	NOUN	étalé
et	CCONJ	et
vitres	NOUN	vitre
Pas	ADV	pas
d'	ADP	de
devant	ADP	devant
hall	NOUN	hall
,	PUNCT	,
,	PUNCT	,
hôtel	NOUN	hôtel
trois	NUM	trois
,	PUNCT	,
,	PUNCT	,
des	DET	un
l'	DET	le
,	PUNCT	,
en	PRON	en
intérieur	NOUN	intérieur
la	DET	le
saison	NOUN	saison
d'	ADP	de
avant	ADP	avant
À	ADP	à
encore	ADV	encore
avec	ADP	avec
c'	PRON	ce
pas	ADV	pas
elles	PRON	lui
femmes	NOUN	femme
été	NOUN	été
faut	VERB	falloir
Roches	PROPN	Roches
des	DET	un
.	PUNCT	.
chaque	DET	chaque
année	NOUN	année
,	PUNCT	,
de	ADP	de
ou	CCONJ	ou
il	PRON	il
l'	DET	le
peut-être	ADV	peut-être
la	DET	le
,	PUNCT	,
qu'	SCONJ	que
enfants	NOUN	enfant
et	CCONJ	et
,	PUNCT	,
quatre	NUM	quatre
soirée	NOUN	soirée
si	SCONJ	si
fois	NOUN	fois
dans	ADP	dans
parlent	VERB	parler
des	ADP	de
rare	NOUN	rare
profiter	VERB	profiter
est	AUX	être
elles	PRON	lui
mourir	VERB	mourir
la	DET	le
en	PRON	en
.	PUNCT	.
qu'	SCONJ	que
de	ADP	de
sur	ADP	sur
du	ADP	de
sait	VERB	savoir
,	PUNCT	,
les	DET	le
aussi	ADV	aussi
.	PUNCT	.
on	PRON	on
les	PRON	le
fera	VERB	faire
À	ADP	à
aussi	ADV	aussi
ait	AUX	avoir
Dieu	PROPN	Dieu
belles	ADJ	bel
femmes	NOUN	femme
parce	SCONJ	parce
si	SCONJ	si
qu'	SCONJ	que
clairement	ADV	clairement
qu'	SCONJ	que
entend	VERB	entendre
à	ADP	à
terrasse	NOUN	terrasse
ces	DET	ce
ne	ADV	ne
hommes	NOUN	homme
vivre	VERB	vivre
pas	ADV	pas
,	PUNCT	,
on	PRON	on
On	PRON	on
.	PUNCT	.
de	ADP	de
d'	ADP	de
extérieur	NOUN	extérieur
l'	DET	le
hôtel	NOUN	hôtel
encore	ADV	encore
,	PUNCT	,
,	PUNCT	,
hall	NOUN	hall
l'	DET	le
l'	DET	le
aussi	ADV	aussi
été	NOUN	été
sont	AUX	être
spectacle	NOUN	spectacle
Les	DET	le
Eux	NOUN	eu
d'	ADP	de
homme	NOUN	homme
les	DET	le
qui	PRON	qui
regardent	VERB	regarder
qui	PRON	qui
le	DET	le
passés	VERB	passer
hall	NOUN	hall
.	PUNCT	.
exceptionnelle	NOUN	exceptionnelle
la	DET	le
partout	ADV	partout
Nord	PROPN	Nord
disent	VERB	dire
un	DET	un
des	ADP	de
du	ADP	de
étés	NOUN	été
route	NOUN	route
derrière	ADP	derrière
depuis	ADP	depuis
légères	ADJ	léger
.	PUNCT	.
,	PUNCT	,
sur	ADP	sur
le	DET	le
et	CCONJ	et
plages	NOUN	plage
hôtel	NOUN	hôtel
voix	NOUN	voix
du	ADP	de
l'	DET	le
Parmi	ADP	parmi
vides	NOUN	vide
du	ADP	de
les	DET	le
gens	NOUN	gens
pareillement	ADV	pareillement
parlent	VERB	parler
soir	NOUN	soir
fait	VERB	faire
beauté	VERB	beauter
,	PUNCT	,
.	PUNCT	.
il	PRON	il
C'	PRON	ce
elle	PRON	lui
ouverte	ADJ	ouvert
pas	ADV	pas
,	PUNCT	,
hall	NOUN	hall
s'	PRON	se
secondes	NOUN	seconde
,	PUNCT	,
avant	ADP	avant
Elle	PRON	lui
parc	NOUN	parc
la	DET	le
fenêtre	NOUN	fenêtre
ne	ADV	ne
de	ADP	de
est	AUX	être
une	DET	un
qu'	SCONJ	que
le	DET	le
traverse	VERB	traverse
d'	ADP	de
le	DET	le
l'	DET	le
histoire	NOUN	histoire
femme	NOUN	femme
peu	ADV	peu
s'	PRON	se
dans	ADP	dans
et	CCONJ	et
qu'	SCONJ	que
de	ADP	de
approche	VERB	approche
arrive	VERB	arrive
.	PUNCT	.
,	PUNCT	,
il	PRON	il
agit	VERB	agir
temps	NOUN	temps
la	DET	le
de	ADP	de
quelques	DET	quelque
très	ADV	très
Il	PRON	il
route	NOUN	route
.	PUNCT	.
traverse	VERB	traverse
l'	DET	le
entrée	VERB	entrer
parmi	ADP	parmi
atteint	VERB	atteindre
il	PRON	il
l'	DET	le
est	AUX	être
lui	PRON	lui
qu'	SCONJ	que
sur	ADP	sur
De	ADP	de
là	ADV	là
déjà	ADV	déjà
ne	ADV	ne
qui	PRON	qui
tient	VERB	tenir
Lorsque	SCONJ	lorsque
à	ADP	à
l'	DET	le
la	DET	le
.	PUNCT	.
là	ADV	là
voulu	VERB	vouloir
la	DET	le
parc	NOUN	parc
porte	NOUN	porte
homme	NOUN	homme
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
les	DET	le
-il	PRON	il
donne	VERB	donne
où	PRON	où
elle	PRON	lui
le	DET	le
eût	PRON	eût
homme	NOUN	homme
se	PRON	se
,	PUNCT	,
autres	ADJ	autre
est	AUX	être
mètres	NOUN	mètre
femmes	NOUN	femme
.	PUNCT	.
fenêtre	NOUN	fenêtre
par	ADP	par
de	ADP	de
il	PRON	il
quelques	DET	quelque
sa	DET	son
pas	ADV	pas
des	DET	un
du	ADP	de
long	ADJ	long
la	DET	le
