villages	NOUN	village
.	PUNCT	.
que	SCONJ	que
Maudie	NOUN	maudie
commettre	NOUN	commettre
autrefois	ADJ	autrefoi
1	NUM	1
,	PUNCT	,
Angelina	PROPN	Angelina
de	ADP	de
forme	NOUN	forme
humaine	ADJ	humain
que	SCONJ	que
avait	AUX	avoir
les	DET	le
atrocités	NOUN	atrocité
racontait	VERB	raconter
vampires	ADJ	vampire
nom	NOUN	nom
d'	ADP	de
,	PUNCT	,
fantômes	NOUN	fantôme
,	PUNCT	,
était	AUX	être
lune	ADJ	lun
pendant	ADP	pendant
dans	ADP	dans
les	DET	le
sans	ADP	sans
voix	NOUN	voix
les	DET	le
Certes	ADV	certes
nuits	NOUN	nuit
pour	ADP	pour
sépulcrale	ADJ	sépulcral
pleine	NOUN	pleine
.	PUNCT	.
mamie	NOUN	mamie
des	ADP	de
et	CCONJ	et
bêtes	NOUN	bête
,	PUNCT	,
la	DET	le
sauvages	ADJ	sauvage
prenaient	VERB	prendre
une	DET	un
C'	PRON	ce
terre	NOUN	terre
McDonald	PROPN	McDonald
infestaient	VERB	infester
.	PUNCT	.
de	ADP	de
une	PRON	un
de	ADP	de
Review	PROPN	Review
imagination	NOUN	imagination
,	PUNCT	,
l'	DET	le
-là	PROPN	-là
famille	NOUN	famille
en	ADP	en
vue	NOUN	vue
lui	PRON	lui
elle	PRON	lui
de	ADP	de
un	DET	un
l'	DET	le
ailleurs	ADV	ailleurs
journal	NOUN	journal
mamie	NOUN	mamie
de	ADP	de
avait	VERB	avoir
soir	NOUN	soir
avis	NOUN	avis
hérité	NOUN	hérité
général	ADJ	général
de	ADP	de
Seattle	PROPN	Seattle
célèbre	ADJ	célèbre
—	NOUN	—
des	ADP	de
ce	DET	ce
la	DET	le
du	ADP	de
talent	NOUN	talent
,	PUNCT	,
Mais	CCONJ	mais
fertile	ADJ	fertile
,	PUNCT	,
d'	ADP	de
chroniqueuses	NOUN	chroniqueuse
qui	PRON	qui
de	ADP	de
les	DET	le
plus	ADV	plus
Maudie	NOUN	maudie
l'	DET	le
devenir	VERB	devenir
,	PUNCT	,
permis	VERB	permettre
passée	VERB	passer
su	VERB	savoir
d'	ADP	de
peu	ADV	peu
et	CCONJ	et
époque	NOUN	époque
aurait	AUX	avoir
opacifiée	VERB	opacifier
esprit	NOUN	esprit
d'	ADP	de
la	DET	le
lune	NOUN	lune
récits	NOUN	récit
par	ADP	par
bonne	ADJ	bon
jeune	ADJ	jeune
l'	DET	le
Cette	DET	ce
se	PRON	se
plus	ADV	plus
à	ADP	à
terrifiants	ADJ	terrifiant
l'	DET	le
à	ADP	à
montré	VERB	montrer
sa	DET	son
serait	AUX	être
bien	ADV	bien
femme	NOUN	femme
retenue	NOUN	retenue
un	DET	un
avoir	VERB	avoir
grand-mère	NOUN	grand-mère
,	PUNCT	,
dans	ADP	dans
avoir	AUX	avoir
d'	ADP	de
un	DET	un
la	DET	le
.	PUNCT	.
brouillard	NOUN	brouillard
ses	DET	son
angoissante	ADJ	angoissant
qui	PRON	qui
occultait	VERB	occulter
de	ADP	de
gré	ADP	gré
était	AUX	être
tourmenté	VERB	tourmenter
nuit	NOUN	nuit
écart	NOUN	écart
réminiscences	NOUN	réminiscence
tohu	NOUN	tohu
conduire	VERB	conduire
elle	PRON	lui
Angie	NOUN	angie
les	DET	le
du	ADP	de
Mais	CCONJ	mais
de	ADP	de
grande	ADJ	grand
ville	NOUN	ville
plus	ADV	plus
diverses	ADJ	divers
de	ADP	de
acheté	VERB	acheter
.	PUNCT	.
domicile	NOUN	domicile
maison	NOUN	maison
la	DET	le
enfance	NOUN	enfance
souvent	ADV	souvent
.	PUNCT	.
monstres	NOUN	monstre
petite	ADJ	petit
assoiffés	ADJ	assoiffé
à	ADP	à
l'	DET	le
une	DET	un
.	PUNCT	.
-	NOUN	-
Seattle	PROPN	Seattle
sang	NOUN	sang
,	PUNCT	,
Travaillant	VERB	travailler
sa	DET	son
de	ADP	de
détestait	VERB	détester
avait	AUX	avoir
à	ADP	à
bohu	NOUN	bohu
le	DET	le
et	CCONJ	et
de	ADP	de
la	DET	le
nuit	NOUN	nuit
