sillonnait	VERB	sillonner
Mai	NOUN	mai
la	DET	le
bruit	NOUN	bruit
La	DET	le
et	CCONJ	et
Prologue	PROPN	Prologue
de	ADP	de
trop	ADV	trop
une	DET	un
végétation	NOUN	végétation
luxuriante	ADJ	luxuriant
le	DET	le
pour	ADP	pour
hululement	NOUN	hululement
semblait	AUX	semblait
lointain	NOUN	lointain
ponctuaient	VERB	ponctuer
,	PUNCT	,
syncopé	ADJ	syncoper
le	DET	le
sol	NOUN	sol
depuis	ADP	depuis
.	PUNCT	.
dans	ADP	dans
Le	DET	le
mais	CCONJ	mais
Paul	PROPN	Paul
tranquille	NOUN	tranquille
la	DET	le
patrouille	NOUN	patrouille
pays	NOUN	pays
d'	ADP	de
.	PUNCT	.
pluie	NOUN	pluie
chouette	NOUN	chouette
le	DET	le
le	DET	le
nuit	NOUN	nuit
boueux	ADJ	boueux
à	ADP	à
sur	ADP	sur
progression	NOUN	progression
travers	NOUN	travers
la	DET	le
de	ADP	de
1969	NUM	1969
silencieuse	ADJ	silencieux
longtemps	ADV	longtemps
la	DET	le
la	DET	le
que	SCONJ	que
.	PUNCT	.
en	ADP	en
les	DET	le
étaient	AUX	être
savoir	VERB	savoir
arrêter	VERB	arrêter
Je	PRON	je
qu'	SCONJ	que
qu'	SCONJ	que
un	DET	un
sensation	NOUN	sensation
irai	VERB	aller
n'	ADV	n'
de	ADP	de
n'	ADV	n'
incontrôlable	ADJ	incontrôlable
autre	ADJ	autre
sécurité	NOUN	sécurité
Ils	PRON	il
de	ADP	de
—	PUNCT	—
calme	PROPN	calme
.	PUNCT	.
apparent	ADJ	apparent
côté	NOUN	côté
de	ADP	de
l'	DET	le
autant	ADV	autant
Il	PRON	il
.	PUNCT	.
était	AUX	être
danger	VERB	danger
.	PUNCT	.
illusoire	NOUN	illusoire
colline	NOUN	colline
pas	ADV	pas
menaçait	NOUN	menaçait
malaise	NOUN	malaise
avait	VERB	avoir
Une	DET	un
fit	NOUN	fit
l'	DET	le
intuition	NOUN	intuition
pour	ADP	pour
ce	DET	ce
s'	PRON	se
n'	ADV	n'
le	DET	le
qu'	SCONJ	que
plus	ADV	plus
n'	ADV	n'
forte	ADJ	fort
Mason	PROPN	Mason
faire	VERB	faire
pas	ADV	pas
il	PRON	il
ordre	NOUN	ordre
est	AUX	être
,	PUNCT	,
le	DET	le
,	PUNCT	,
mieux	ADV	mieux
Ce	PRON	ce
assez	ADV	assez
de	ADP	de
un	DET	un
,	PUNCT	,
tête	NOUN	tête
moment	NOUN	moment
c'	PRON	ce
un	DET	un
.	PUNCT	.
le	DET	le
—	PUNCT	—
mais	CCONJ	mais
dès	ADP	dès
sympathique	ADJ	sympathique
soldat	NOUN	soldat
était	AUX	être
donnait	VERB	donner
n'	ADV	n'
sergent	NOUN	sergent
.	PUNCT	.
pas	ADV	pas
il	PRON	il
la	DET	le
était	AUX	être
est	AUX	être
pas	ADV	pas
Continue	VERB	continue
!	PUNCT	!
en	ADP	en
service	NOUN	service
,	PUNCT	,
loin	ADV	loin
Quand	SCONJ	quand
,	PUNCT	,
ordre	NOUN	ordre
de	ADP	de
obtempérer	VERB	obtempérer
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
savait	VERB	savoir
valait	VERB	valoir
infortune	NOUN	infortune
l'	DET	le
réellement	ADV	réellement
—	PUNCT	—
Pas	ADV	pas
et	CCONJ	et
rageusement	VERB	rageusemer
pouvait	VERB	pouvoir
ne	ADV	ne
le	PRON	le
ses	DET	son
pas	ADV	pas
malgré	ADP	malgré
Paul	PROPN	Paul
Swann	PROPN	Swann
Mason	PROPN	Mason
sinon	ADV	sinon
.	PUNCT	.
il	PRON	il
un	DET	un
pas	NOUN	pas
ferai	VERB	faire
injonctions	NOUN	injonction
il	PRON	il
.	PUNCT	.
devenir	VERB	devenir
question	NOUN	question
de	ADP	de
méchant	ADJ	méchant
plus	ADV	plus
parfaitement	ADV	parfaitement
je	PRON	je
,	PUNCT	,
s'	PRON	se
Rigguci	PROPN	Rigguci
compagnons	NOUN	compagnon
obstinait	VERB	obstiner
.	PUNCT	.
les	DET	le
,	PUNCT	,
d'	ADP	de
empoigna	NOUN	empoigna
deux	NUM	deux
faire	AUX	faire
le	DET	le
—	PUNCT	—
ou	CCONJ	ou
courir	VERB	courir
tu	ADP	tu
et	CCONJ	et
.	PUNCT	.
ennemi	NOUN	ennemi
—	PUNCT	—
.	PUNCT	.
Je	PRON	je
la	DET	le
—	PUNCT	—
avant	ADJ	avant
risque	NOUN	risque
bien	ADV	bien
pour	ADP	pour
que	SCONJ	que
bien	ADV	bien
ou	CCONJ	ou
cour	NOUN	cour
l'	DET	le
violemment	VERB	violemmer
,	PUNCT	,
en	ADP	en
de	ADP	de
me	PRON	me
plutôt	ADV	plutôt
t'	PRON	te
Cela	PRON	cela
par	ADP	par
.	PUNCT	.
préfère	VERB	préférer
envoie	VERB	envoyer
Tremaine	PROPN	Tremaine
écharper	VERB	écharper
avances	NOUN	avance
ce	DET	ce
martiale	ADJ	martial
m'	PRON	me
devant	ADP	devant
d'	ADP	de
est	AUX	être
égal	ADJ	égal
je	PRON	je
poussa	VERB	pousser
obéissance	NOUN	obéissance
.	PUNCT	.
refus	NOUN	refus
essaya	NOUN	essaya
,	PUNCT	,
guerre	NOUN	guerre
S'	SCONJ	s'
je	PRON	je
raison	NOUN	raison
Swann	PROPN	Swann
la	DET	le
conviction	NOUN	conviction
essaie	VERB	essayer
crois	VERB	croire
-moi	PRON	moi
nous	PRON	nous
de	ADP	de
copain	ADJ	copain
le	DET	le
entendre	VERB	entendre
passera	VERB	passer
pas	ADV	pas
il	PRON	il
faire	AUX	faire
,	PUNCT	,
grande	ADJ	grand
est	AUX	être
lui	PRON	lui
ton	ADJ	ton
.	PUNCT	.
Swann	NOUN	swann
louperai	NOUN	louperai
vient	VERB	venir
en	ADP	en
sans	ADP	sans
;	PUNCT	;
,	PUNCT	,
pas	ADV	pas
de	ADP	de
,	PUNCT	,
.	PUNCT	.
ne	ADV	ne
il	PRON	il
taule	NOUN	taule
avec	ADP	avec
reste	NOUN	reste
.	PUNCT	.
Et	CCONJ	et
ne	ADV	ne
Tremaine	PROPN	Tremaine
de	ADP	de
,	PUNCT	,
le	DET	le
envoya	NOUN	envoya
Paul	PROPN	Paul
yeux	NOUN	oeil
le	PRON	le
dégagea	VERB	dégager
encore	ADV	encore
persuader	VERB	persuader
Ses	DET	son
Sur	ADP	sur
.	PUNCT	.
.	PUNCT	.
Paul	PROPN	Paul
par	ADP	par
signe	NOUN	signe
En	ADP	en
un	DET	un
fois	NOUN	fois
de	ADP	de
brusque	ADJ	brusque
faire	VERB	faire
une	DET	un
le	DET	le
.	PUNCT	.
avancer	VERB	avancer
tenta	VERB	tenter
.	PUNCT	.
et	CCONJ	et
l'	DET	le
geste	NOUN	geste
en	ADP	en
durs	ADJ	dur
diable	NOUN	diable
vain	ADJ	vain
se	PRON	se
l'	DET	le
Mason	PROPN	Mason
au	ADP	au
de	ADP	de
d'	ADP	de
haut	NOUN	haut
brillaient	ADV	brillaient
agrippant	VERB	agripper
treillis	NOUN	treillis
de	ADP	de
colère	NOUN	colère
bouger	VERB	bouger
d'	ADP	de
.	PUNCT	.
un	DET	un
son	DET	son
te	CCONJ	te
leur	DET	leur
le	DET	le
enfonçait	VERB	enfoncer
te	VERB	te
qui	PRON	qui
de	ADP	de
et	CCONJ	et
Puis	CCONJ	puis
se	PRON	se
—	PUNCT	—
Je	PRON	je
s'	PRON	se
mettant	VERB	mettre
et	CCONJ	et
,	PUNCT	,
piste	NOUN	piste
dernière	ADJ	dernier
.	PUNCT	.
dans	ADP	dans
la	DET	le
adressa	VERB	adresser
.	PUNCT	.
,	PUNCT	,
vers	ADP	vers
Swann	PROPN	Swann
Cette	DET	ce
insubordination	NOUN	insubordination
Tremaine	PROPN	Tremaine
bois	NOUN	bois
menaça	NOUN	menaça
cher	ADJ	cher
Rigguci	PROPN	Rigguci
reviendrai	VERB	revenir
.	PUNCT	.
dirigèrent	VERB	diriger
coûtera	VERB	coûter
s'	PRON	se
chercher	VERB	chercher
une	DET	un
du	ADP	de
Mason	PROPN	Mason
à	ADP	à
doigt	NOUN	doigt
.	PUNCT	.
les	DET	le
chef	NOUN	chef
Paul	PROPN	Paul
,	PUNCT	,
fois	NOUN	fois
évanouir	VERB	évanouir
fusil	NOUN	fusil
à	ADP	à
s'	PRON	se
,	PUNCT	,
autres	ADJ	autre
son	DET	son
,	PUNCT	,
.	PUNCT	.
fit	VERB	faire
rideau	NOUN	rideau
de	ADP	de
mesurés	VERB	mesurer
entendit	VERB	entendre
,	PUNCT	,
regarder	VERB	regarder
les	DET	le
rèsta	ADJ	rèsta
trois	NUM	trois
éloignaient	VERB	éloigner
rejoindre	VERB	rejoindre
.	PUNCT	.
obscurité	NOUN	obscurité
l'	DET	le
pour	ADP	pour
épaule	NOUN	épaule
hommes	NOUN	homme
s'	PRON	se
les	DET	le
pas	ADV	pas
moitié	VERB	moitier
l'	DET	le
il	PRON	il
lianes	NOUN	liane
lents	NOUN	lent
demi-tour	ADJ	demi-tour
dans	ADP	dans
qui	PRON	qui
à	ADP	à
Paul	PROPN	Paul
caché	VERB	cacher
et	CCONJ	et
,	PUNCT	,
par	ADP	par
un	DET	un
à	ADP	à
sur	ADP	sur
immobile	ADJ	immobile
Il	PRON	il
là	ADV	là
était	AUX	être
le	DET	le
.	PUNCT	.
gamelles	NOUN	gamelle
North	PROPN	North
cliquetis	NOUN	cliquetis
décroître	VERB	décroître
1	NUM	1
ruban	NOUN	ruban
le	DET	le
routes	NOUN	route
secondaires	ADJ	secondaire
ils	PRON	il
bordé	VERB	border
bottes	NOUN	botte
ford	NOUN	ford
le	DET	le
dans	ADP	dans
Carpenter	PROPN	Carpenter
sur	ADP	sur
et	CCONJ	et
se	PRON	se
long	ADJ	long
de	ADP	de
caillouteux	NOUN	caillouteu
leurs	DET	leur
Road	PROPN	Road
n'	ADV	n'
,	PUNCT	,
ceinturons	NOUN	ceinturon
Comme	SCONJ	comme
un	DET	un
sur	ADP	sur
de	ADP	de
tandis	ADV	tandis
sentier	NOUN	sentier
qu'	ADV	qu'
des	ADP	de
-	PUNCT	-
fondaient	VERB	fondre
la	DET	le
qu'	SCONJ	que
brouillard	NOUN	brouillard
plupart	NOUN	plupart
des	ADP	de
leurs	DET	leur
bruit	NOUN	bruit
.	PUNCT	.
étroit	VERB	étroit
le	DET	le
la	DET	le
grands	ADJ	grand
comme	ADP	comme
une	DET	un
la	DET	le
emprunter	NOUN	emprunter
de	ADP	de
,	PUNCT	,
,	PUNCT	,
la	DET	le
la	DET	le
vitesse	NOUN	vitesse
froid	ADJ	froid
yeux	NOUN	oeil
à	ADP	à
sportive	ADJ	sportif
L'	DET	le
concentration	NOUN	concentration
Fenêtres	NOUN	fenêtre
certaine	NOUN	certaine
.	PUNCT	.
et	CCONJ	et
fond	NOUN	fond
,	PUNCT	,
vallonnée	VERB	vallonner
zigzaguant	VERB	zigzaguer
ouvertes	ADJ	ouvert
et	CCONJ	et
.	PUNCT	.
de	ADP	de
Paul	PROPN	Paul
à	ADP	à
travers	NOUN	travers
et	CCONJ	et
sang	NOUN	sang
campagne	NOUN	campagne
radio	NOUN	radio
nécessitait	VERB	nécessiter
conduite	NOUN	conduite
de	ADP	de
,	PUNCT	,
-	NOUN	-
surtout	ADV	surtout
on	PRON	on
aimait	VERB	aimer
dose	NOUN	dose
arbres	NOUN	arbre
lorsque	SCONJ	lorsque
les	DET	le
,	PUNCT	,
arrière	NOUN	arrière
sur	ADP	sur
fois	NOUN	fois
l'	DET	le
les	DET	le
savourait	VERB	savourer
fixés	ADJ	fixé
une	DET	un
Il	PRON	il
défilait	VERB	défiler
à	ADP	à
la	DET	le
qui	PRON	qui
presque	ADV	presque
jaune	ADJ	jaune
qui	PRON	qui
Paul	PROPN	Paul
à	ADP	à
entassaient	VERB	entasser
avance	NOUN	avance
,	PUNCT	,
l'	PRON	l'
.	PUNCT	.
double	NOUN	double
lui	PRON	lui
ligne	NOUN	ligne
à	ADP	à
l'	DET	le
s'	PRON	se
bière	NOUN	bière
qu'	SCONJ	que
camion	NOUN	camion
qui	PRON	qui
pépinière	NOUN	pépinière
bien	ADV	bien
devant	ADP	devant
du	ADP	de
