propre	ADJ	propre
.	PUNCT	.
,	PUNCT	,
fille	NOUN	fille
.	PUNCT	.
vit	VERB	voir
1	NUM	1
Ecœuré	NOUN	ecœuré
première	ADJ	premier
de	ADP	de
d'	ADP	de
un	DET	un
,	PUNCT	,
.	PUNCT	.
épais	NOUN	épai
était	AUX	être
King	PROPN	King
sa	DET	son
assez	ADV	assez
approcher	VERB	approcher
Simon	PROPN	Simon
moulée	VERB	mouler
à	ADP	à
travers	NOUN	travers
,	PUNCT	,
l'	DET	le
mignonne	ADJ	mignon
,	PUNCT	,
pourtant	ADV	pourtant
ondulant	VERB	onduler
il	PRON	il
,	PUNCT	,
brouillard	ADJ	brouillard
trait	NOUN	trait
des	ADP	de
fumée	NOUN	fumée
même	ADV	même
une	DET	un
Elle	PRON	lui
dans	ADP	dans
vida	VERB	vider
hanches	NOUN	hanche
orange	ADJ	orange
son	DET	son
whisky	NOUN	whisky
en	ADP	en
A	NOUN	a
.	PUNCT	.
vue	NOUN	vue
robe	ADV	robe
Se	PRON	se
était	AUX	être
,	PUNCT	,
de	ADP	de
à	ADP	à
avoir	VERB	avoir
C'	PRON	ce
Bangkok	PROPN	Bangkok
dans	ADP	dans
.	PUNCT	.
toujours	ADV	toujours
pas	ADV	pas
Depuis	ADP	depuis
attitude	NOUN	attitude
le	PRON	le
des	DET	un
pas	ADV	pas
qu'	PRON	qu'
se	PRON	se
douze	NOUN	douze
devait	VERB	devoir
deux	NUM	deux
lui	PRON	lui
âge	NOUN	âge
ne	ADV	ne
qui	PRON	qui
prostituer	VERB	prostituer
.	PUNCT	.
gosses	NOUN	gosse
treize	NUM	treize
il	PRON	il
devant	ADP	devant
chiffonnait	NOUN	chiffonnait
habitué	VERB	habituer
ans	NOUN	an
Elle	PRON	lui
plantant	VERB	planter
plus	ADV	plus
voir	VERB	voir
mois	NOUN	mois
ne	ADV	ne
.	PUNCT	.
était	AUX	être
s'	PRON	se
était	AUX	être
ou	CCONJ	ou
son	DET	son
à	ADP	à
une	DET	un
il	PRON	il
en	ADP	en
,	PUNCT	,
Américain	PROPN	Américain
?	PUNCT	?
?	PUNCT	?
—	PRON	—
provocante	ADJ	provocant
,	PUNCT	,
de	ADP	de
,	PUNCT	,
vouloir	VERB	vouloir
t'	DET	t'
la	DET	le
aux	ADP	à
la	DET	le
fouilla	VERB	fouiller
:	PUNCT	:
épanouit	VERB	épanouir
sa	DET	son
Simon	PROPN	Simon
