pourtant	ADV	pourtant
A	ADP	à
trouvait	VERB	trouver
on	PRON	on
d'	ADP	de
neige	NOUN	neige
I	ADJ	i
se	PRON	se
-là	PRON	-là
de	ADP	de
est	AUX	être
était	AUX	être
.	PUNCT	.
que	SCONJ	que
l'	DET	le
rien	PRON	rien
de	ADP	de
kilomètres	NOUN	kilomètre
;	PUNCT	;
distinguait	VERB	distinguer
couvert	ADJ	couvert
A	NOUN	a
côté	NOUN	côté
kilomètres	NOUN	kilomètre
aérodrome	NOUN	aérodrome
à	ADP	à
c'	PRON	ce
était	AUX	être
voir	VERB	voir
lumières	NOUN	lumière
Arbana	PROPN	Arbana
ce	DET	ce
est	AUX	être
impossible	ADJ	impossible
de	ADP	de
l'	DET	le
de	ADP	de
,	PUNCT	,
en	ADP	en
trente	NUM	trente
,	PUNCT	,
Detroit	PROPN	Detroit
l'	DET	le
mais	CCONJ	mais
il	PRON	il
les	DET	le
trente	NUM	trente
ouest	NOUN	ouest
,	PUNCT	,
à	ADP	à
:	PUNCT	:
Mrs	PROPN	Mrs
,	PUNCT	,
venus	VERB	venir
n'	ADV	n'
qui	PRON	qui
regardait	VERB	regarder
gendre	NOUN	gendre
,	PUNCT	,
se	PRON	se
eux	PRON	lui
.	PUNCT	.
elle	PRON	lui
n'	ADV	n'
ses	DET	son
pas	ADV	pas
gens	NOUN	gens
si	SCONJ	si
de	ADP	de
attendre	VERB	attendre
les	DET	le
se	PRON	se
esprit	NOUN	esprit
.	PUNCT	.
vers	ADP	vers
Puis	CCONJ	puis
le	DET	le
reconnaître	NOUN	reconnaître
sûre	ADV	sûre
voyageurs	NOUN	voyageur
était	AUX	être
son	DET	son
yeux	NOUN	oeil
Elle	PRON	lui
,	PUNCT	,
tournèrent	ADV	tournèrent
dans	ADP	dans
étaient	AUX	être
était	AUX	être
demanda	ADJ	demanda
pa	DET	pa
et	CCONJ	et
,	PUNCT	,
..	PUNCT	..
:	PUNCT	:
des	DET	un
Hamilton	PROPN	Hamilton
son	DET	son
Paul	PROPN	Paul
Paul	PROPN	Paul
vers	ADP	vers
jamais	ADV	jamais
certainement	ADV	certainement
Mais	CCONJ	mais
haute	NOUN	haute
Virginia	PROPN	Virginia
avait	AUX	avoir
ai	AUX	avoir
air	NOUN	air
était	AUX	être
-elle	DET	-elle
soudain	ADV	soudain
-il	PRON	il
.	PUNCT	.
:	PUNCT	:
.	PUNCT	.
de	ADP	de
...	PUNCT	...
compagne	NOUN	compagne
peut-être	ADV	peut-être
mari	NOUN	mari
la	DET	le
un	DET	un
complètement	ADV	complètement
le	DET	le
forme	NOUN	forme
se	PRON	se
tourna	VERB	tourner
Sa	DET	son
lui	PRON	lui
pas	ADV	pas
d'	ADP	de
il	PRON	il
à	ADP	à
,	PUNCT	,
simplement	ADV	simplement
elle	PRON	lui
.	PUNCT	.
voix	NOUN	voix
reconnaître	VERB	reconnaître
changé	VERB	changer
saurait	VERB	savoir
Je	PRON	je
,	PUNCT	,
dit	VERB	dire
,	PUNCT	,
pris	VERB	prendre
n'	ADV	n'
surpris	VERB	surprendre
-	PUNCT	-
comme	ADP	comme
était	AUX	être
Ses	DET	son
extrême	ADJ	extrême
sur	ADP	sur
qui	PRON	qui
C'	PRON	ce
.	PUNCT	.
.	PUNCT	.
vingtaine	NOUN	vingtaine
foncé	VERB	foncer
semblaient	VERB	sembler
de	ADP	de
Vous	PRON	vous
d'	ADP	de
monde	NOUN	monde
à	ADP	à
donnait	VERB	donner
regard	NOUN	regard
blondeur	ADJ	blondeur
,	PUNCT	,
ses	DET	son
enfants	NOUN	enfant
jeune	ADJ	jeune
années	NOUN	année
fille	NOUN	fille
curieux	ADJ	curieux
,	PUNCT	,
un	DET	un
sa	DET	son
yeux	NOUN	oeil
des	ADP	de
une	DET	un
promener	VERB	promener
chevelure	NOUN	chevelure
d'	ADP	de
celui	PRON	celui
l'	DET	le
le	DET	le
sourcils	NOUN	sourcil
d'	ADP	de
et	CCONJ	et
aspect	NOUN	aspect
un	DET	un
bleu	NOUN	bleu
de	ADP	de
une	DET	un
diaphane	ADJ	diaphane
-	PUNCT	-
un	DET	un
maintenant	ADV	maintenant
parliez	VERB	parler
,	PUNCT	,
en	ADP	en
pour	ADP	pour
