intelligent	VERB	intelliger
1	NUM	1
le	DET	le
et	CCONJ	et
ressentait	VERB	ressentir
autres	ADJ	autre
KTYK—	PROPN	KTYK—
de	ADP	de
ressentait	VERB	ressentir
petit	ADJ	petit
qu'	SCONJ	que
il	PRON	il
pu	VERB	pouvoir
peu	ADV	peu
un	DET	un
:	PUNCT	:
d'	DET	d'
Ktyk	PROPN	Ktyk
était	AUX	être
lieux	ADJ	lieux
En	ADP	en
dire	VERB	dire
il	PRON	il
était	AUX	être
.	PUNCT	.
vraiment	ADV	vraiment
puissant	ADJ	puissant
et	CCONJ	et
Ktyk	PROPN	Ktyk
on	PRON	on
contempler	NOUN	contempler
mais	CCONJ	mais
beau	NOUN	beau
ne	ADV	ne
aurait	AUX	avoir
nexus	PROPN	nexus
,	PUNCT	,
temps	NOUN	temps
pas	ADV	pas
que	SCONJ	que
.	PUNCT	.
presque	ADV	presque
tout	DET	tout
Une	DET	un
émotion	NOUN	émotion
,	PUNCT	,
C'	PRON	ce
ému	NOUN	ému
très	ADV	très
était	AUX	être
de	ADP	de
émotions	NOUN	émotion
la	DET	le
base	NOUN	base
Il	PRON	il
besoins	NOUN	besoin
d'	ADP	de
,	PUNCT	,
lorsqu'	SCONJ	lorsque
à	ADP	à
se	PRON	se
nourrir	VERB	nourrir
faim	NOUN	faim
projet	NOUN	projet
étaient	AUX	être
avait	VERB	avoir
ses	DET	son
contraire	NOUN	contraire
quelque	DET	quelque
.	PUNCT	.
de	ADP	de
et	CCONJ	et
,	PUNCT	,
et	CCONJ	et
satisfaction	NOUN	satisfaction
elles	PRON	lui
chose	NOUN	chose
proche	ADJ	proche
parfois	ADV	parfois
y	PRON	y
satisfaction	NOUN	satisfaction
joie	NOUN	joie
liées	VERB	lier
.	PUNCT	.
avait	VERB	avoir
la	DET	le
la	DET	le
de	ADP	de
y	PRON	y
le	DET	le
d'	ADP	de
la	DET	le
la	DET	le
avoir	AUX	avoir
pu	VERB	pouvoir
Il	PRON	il
,	PUNCT	,
faim	NOUN	faim
un	DET	un
de	ADP	de
de	ADP	de
abouti	VERB	aboutir
C'	PRON	ce
les	DET	le
ressentait	VERB	ressentir
.	PUNCT	.
avait	AUX	avoir
.	PUNCT	.
n'	ADV	n'
savait	VERB	savoir
,	PUNCT	,
qu'	SCONJ	que
avaient	AUX	avoir
pas	ADV	pas
il	PRON	il
l'	DET	le
réussite	NOUN	réussite
fait	NOUN	fait
,	PUNCT	,
seuls	ADJ	seul
la	DET	le
trait	VERB	traire
il	PRON	il
ou	CCONJ	ou
de	ADP	de
qu'	SCONJ	que
la	DET	le
joie	NOUN	joie
instant	NOUN	instant
qu'	PRON	qu'
était	AUX	être
qu'	SCONJ	que
le	PRON	le
il	PRON	il
ils	PRON	il
proche	ADJ	proche
savoir	VERB	savoir
Mais	CCONJ	mais
pour	ADP	pour
au	ADP	au
cela	PRON	cela
connaissait	AUX	connaissait
se	PRON	se
,	PUNCT	,
essentiellement	ADV	essentiellement
projets	NOUN	projet
,	PUNCT	,
nourrir	VERB	nourrir
avait	AUX	avoir
de	ADP	de
.	PUNCT	.
pour	ADP	pour
de	ADP	de
ne	ADV	ne
mais	CCONJ	mais
.	PUNCT	.
patienté	VERB	patienter
et	CCONJ	et
après	ADP	après
fois	NOUN	fois
,	PUNCT	,
de-là	NOUN	de-là
se	PRON	se
échecs	NOUN	échec
contempla	VERB	contempler
était	AUX	être
nexus	NOUN	nexu
une	DET	un
,	PUNCT	,
lui	PRON	lui
le	DET	le
nourrir	VERB	nourrir
,	PUNCT	,
.	PUNCT	.
plus	ADV	plus
Il	PRON	il
très	ADV	très
prometteur	NOUN	prometteur
prometteur	VERB	prometteur
encore	ADV	encore
grignoter	VERB	grignoter
Ktyk	PROPN	Ktyk
une	DET	un
,	PUNCT	,
permis	VERB	permettre
de	ADP	de
Et	CCONJ	et
Il	PRON	il
il	PRON	il
qu'	SCONJ	que
quelques	DET	quelque
de	ADP	de
fois	NOUN	fois
bouchées	NOUN	bouchée
de-ci	NOUN	de-ci
avait	AUX	avoir
rien	PRON	rien
,	PUNCT	,
plusieurs	DET	plusieurs
seule	ADJ	seul
il	PRON	il
avait	AUX	avoir
puissance	ADJ	puissanc
pour	ADP	pour
curieux	ADJ	curieux
faim	NOUN	faim
,	PUNCT	,
pleine	NOUN	pleine
,	PUNCT	,
,	PUNCT	,
Ktyk	PROPN	Ktyk
d'	ADP	de
de	ADP	de
c'	PRON	ce
son	DET	son
Cela	PRON	cela
sa	DET	son
et	CCONJ	et
produisait	VERB	produire
laisser	VERB	laisser
taire	VERB	taire
se	PRON	se
faim	NOUN	faim
à	ADP	à
faire	AUX	faire
réprimer	VERB	réprimer
soit	CCONJ	soit
quand	SCONJ	quand
se	PRON	se
nexus	ADJ	nexu
.	PUNCT	.
de	ADP	de
avidité	NOUN	avidité
être	AUX	être
le	DET	le
à	ADP	à
mourait	VERB	mourir
,	PUNCT	,
.	PUNCT	.
développer	VERB	développer
Il	PRON	il
temps	NOUN	temps
atteindre	VERB	atteindre
arrivait	VERB	arriver
à	ADP	à
au	ADP	au
appris	VERB	apprendre
sa	DET	son
et	CCONJ	et
d'	ADP	de
,	PUNCT	,
une	DET	un
dirigée	VERB	diriger
Cela	PRON	cela
perceptions	NOUN	perception
alimentation	NOUN	alimentation
était	AUX	être
non	ADV	non
rare	VERB	rare
dirigée	VERB	diriger
gré	NOUN	gré
de	ADP	de
et	CCONJ	et
cette	DET	ce
,	PUNCT	,
Cela	PRON	cela
possible	ADJ	possible
une	DET	un
durait	VERB	durer
arrivait	VERB	arriver
source	NOUN	source
