autres	ADJ	autre
PARTIE	NOUN	partie
les	DET	le
,	PUNCT	,
de	ADP	de
mai	NOUN	mai
PREMIÈRE	ADJ	premier
considéra	VERB	considérer
vulgaire	NOUN	vulgaire
h	NOUN	heure
de	ADP	de
classeurs	NOUN	classeur
referma	VERB	refermer
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
24	NUM	24
de	ADP	de
journaux	NOUN	journal
20	NUM	20
Lundi	NOUN	lundi
la	DET	le
un	DET	un
CASUISTES	PROPN	CASUISTES
PARIS	NOUN	pari
Lundi	PROPN	Lundi
où	PRON	où
d'	DET	d'
de	ADP	de
32	NUM	32
piles	NOUN	pile
vu	VERB	voir
20	NUM	20
,	PUNCT	,
Bertrand	PROPN	Bertrand
32	NUM	32
auraient	AUX	avoir
1999	NUM	1999
papiers	NOUN	papier
porte	NOUN	porte
de	ADP	de
Beaulieu	PROPN	Beaulieu
bureau	NOUN	bureau
bouquins	NOUN	bouquin
,	PUNCT	,
h	NOUN	heure
LES	DET	le
,	PUNCT	,
désordre	ADJ	désordr
son	DET	son
en	ADP	en
dont	PRON	dont
jours	NOUN	jour
était	AUX	être
-il	PRON	il
,	PUNCT	,
mais	CCONJ	mais
les	DET	le
pairs	NOUN	pair
,	PUNCT	,
question	NOUN	question
:	PUNCT	:
.	PUNCT	.
Puisque	SCONJ	puisque
ordre	NOUN	ordre
dans	ADP	dans
oui	NOUN	oui
jours	NOUN	jour
solitude	NOUN	solitude
la	DET	le
:	PUNCT	:
Tous	ADJ	tout
ses	DET	son
savait	VERB	savoir
conclut	VERB	conclure
l'	DET	le
,	PUNCT	,
ou	CCONJ	ou
la	DET	le
qu'	PRON	qu'
il	PRON	il
de	ADP	de
minutieux	ADJ	minutieux
était	AUX	être
il	PRON	il
et	CCONJ	et
compagnie	NOUN	compagnie
c'	PRON	ce
heureux	ADJ	heureux
les	DET	le
se	PRON	se
préférait	VERB	préférer
presque	ADV	presque
posait	VERB	poser
la	DET	le
solitude	NOUN	solitude
il	PRON	il
tous	ADJ	tout
?	PUNCT	?
,	PUNCT	,
le	DET	le
vie	NOUN	vie
lui	PRON	lui
sept	NUM	sept
heures	NOUN	heure
.	PUNCT	.
sa	DET	son
pour	ADP	pour
;	PUNCT	;
et	CCONJ	et
Il	PRON	il
travaillait	VERB	travailler
soir	NOUN	soir
préférait	VERB	préférer
fût	PRON	fût
six	NUM	six
seul	ADJ	seul
heure	NOUN	heure
l'	DET	le
heures	NOUN	heure
fût	AUX	être
,	PUNCT	,
recevait	VERB	recevoir
qu'	SCONJ	que
ne	ADV	ne
il	PRON	il
après-midi	NOUN	après-midi
(	PUNCT	(
heures	NOUN	heure
demie	NOUN	demie
comme	ADP	comme
il	PRON	il
seul	ADJ	seul
cinq	NUM	cinq
,	PUNCT	,
jamais	ADV	jamais
matin	NOUN	matin
À	ADP	à
,	PUNCT	,
l'	DET	le
une	DET	un
le	DET	le
dîner	NOUN	dîner
délivrance	NOUN	délivrance
.	PUNCT	.
et	CCONJ	et
voulait	VERB	vouloir
sonnait	VERB	sonner
que	SCONJ	que
du	ADP	de
sa	DET	son
,	PUNCT	,
table	NOUN	table
?	PUNCT	?
aucun	DET	aucun
d'	ADP	de
-il	PRON	il
à	ADP	à
.	PUNCT	.
enfin	ADV	enfin
alors	ADV	alors
ne	ADV	ne
il	PRON	il
seule	ADJ	seul
écrire	NOUN	écrire
,	PUNCT	,
arrêter	VERB	arrêter
de	ADP	de
étaient	AUX	être
)	PUNCT	)
enfin	ADV	enfin
avait	AUX	avoir
bonheur	NOUN	bonheur
mettre	VERB	mettre
ou	CCONJ	ou
à	ADP	à
eux	ADJ	eux
,	PUNCT	,
c'	PRON	ce
Le	DET	le
.	PUNCT	.
de	ADP	de
,	PUNCT	,
faisait	VERB	faire
soir	NOUN	soir
?	PUNCT	?
part	NOUN	part
écrire	NOUN	écrire
doute	NOUN	doute
hâte	VERB	hâter
Et	CCONJ	et
,	PUNCT	,
les	DET	le
la	DET	le
réponse	NOUN	réponse
.	PUNCT	.
se	PRON	se
siens	NOUN	sien
Leur	DET	leur
retrouver	VERB	retrouver
fini	VERB	finir
,	PUNCT	,
somme	NOUN	somme
,	PUNCT	,
,	PUNCT	,
leurs	DET	leur
existence	NOUN	existence
la	DET	le
de	ADP	de
,	PUNCT	,
,	PUNCT	,
leurs	DET	leur
—	VERB	—
encore	ADV	encore
leurs	DET	leur
tics	NOUN	tic
,	PUNCT	,
chaque	DET	chaque
Mais	CCONJ	mais
leur	DET	leur
toux	NOUN	toux
le	DET	le
tasse	NOUN	tasse
son	NOUN	son
leurs	DET	leur
de	ADP	de
le	DET	le
repas	NOUN	repas
...	PUNCT	...
,	PUNCT	,
de	ADP	de
la	DET	le
voix	NOUN	voix
marottes	NOUN	marotte
leur	DET	leur
de	ADP	de
,	PUNCT	,
odeurs	NOUN	odeur
leurs	DET	leur
chatoiement	NOUN	chatoiement
leurs	DET	leur
culture	NOUN	culture
fascinant	VERB	fasciner
savoirs	NOUN	savoir
—	VERB	—
esprit	NOUN	esprit
le	DET	le
de	ADP	de
café	NOUN	café
soir	NOUN	soir
soit	AUX	être
la	DET	le
qui	PRON	qui
du	ADP	de
pays	NOUN	pays
était	AUX	être
à	ADP	à
,	PUNCT	,
de	ADP	de
se	PRON	se
leurs	DET	leur
maisonsen	NOUN	maisonsen
.	PUNCT	.
,	PUNCT	,
ne	ADV	ne
café	NOUN	café
il	PRON	il
,	PUNCT	,
plus	ADV	plus
désir	NOUN	désir
,	PUNCT	,
Inimitable	NOUN	inimitable
risée	VERB	riser
,	PUNCT	,
taire	NOUN	taire
Beaulieu	PROPN	Beaulieu
juste	ADV	juste
qui	PRON	qui
le	DET	le
se	PRON	se
n'	ADV	n'
café	ADJ	café
