rude	ADJ	rude
Les	DET	le
barbe	ADJ	barbe
visage	NOUN	visage
pousser	VERB	pousser
fouettaient	VERB	fouetter
Prologue	PROPN	Prologue
épaisse	NOUN	épaisse
ne	ADV	ne
un	DET	un
s'	PRON	se
était	AUX	être
lui	PRON	lui
procurait	VERB	procurer
portés	VERB	porter
de	ADP	de
lui	PRON	lui
peau	NOUN	peau
ses	DET	son
comme	ADP	comme
,	PUNCT	,
arracher	VERB	arracher
,	PUNCT	,
glacials	ADJ	glacial
furieux	ADJ	furieux
,	PUNCT	,
joues	NOUN	joue
du	ADP	de
protéger	VERB	protéger
ils	PRON	il
blonde	ADJ	blond
arctique	ADJ	arctique
par	ADP	par
laissé	VERB	laisser
avaient	AUX	avoir
vent	NOUN	vent
climat	NOUN	climat
le	DET	le
afin	ADV	afin
la	DET	le
,	PUNCT	,
voulu	VERB	vouloir
Même	ADV	même
qu'	SCONJ	que
il	PRON	il
s'	SCONJ	s'
embruns	NOUN	embrun
l'	DET	le
lui	PRON	lui
.	PUNCT	.
la	DET	le
le	DET	le
sanguins	ADJ	sanguin
follement	NOUN	follement
dragon	NOUN	dragon
et	CCONJ	et
plus	ADV	plus
yeux	NOUN	oeil
.	PUNCT	.
drakkar	NOUN	drakkar
la	DET	le
tête	NOUN	tête
déchaînée	VERB	déchaîner
Vikings	NOUN	viking
Le	DET	le
intimidaient	VERB	intimider
tanguait	VERB	tanguer
la	DET	le
les	DET	le
,	PUNCT	,
majestueuses	ADJ	majestueux
.	PUNCT	.
relâche	NOUN	relâche
réconfort	NOUN	réconfort
lignes	NOUN	ligne
.	PUNCT	.
vagues	NOUN	vague
qui	PRON	qui
plus	ADV	plus
de	ADP	de
,	PUNCT	,
sans	ADP	sans
long	ADJ	long
de	ADP	de
la	DET	le
aux	ADP	à
cognaient	NOUN	cognaient
roulait	VERB	rouler
n'	ADV	n'
A	ADP	à
menaçants	NOUN	menaçant
mer	AUX	mer
,	PUNCT	,
,	PUNCT	,
de	ADP	de
prisonnier	NOUN	prisonnier
moindre	ADJ	moindre
les	DET	le
Les	DET	le
proue	NOUN	proue
rugissement	NOUN	rugissement
avec	ADP	avec
et	CCONJ	et
puissante	ADJ	puissant
craquement	NOUN	craquement
,	PUNCT	,
luttaient	NOUN	luttaient
blanc	ADJ	blanc
et	CCONJ	et
,	PUNCT	,
écumantes	ADJ	écumant
.	PUNCT	.
,	PUNCT	,
mât	NOUN	mât
la	DET	le
retentit	VERB	retentir
bourrasque	ADJ	bourrasqu
carré	NOUN	carré
-	NOUN	-
même	ADV	même
soudaine	NOUN	soudaine
projeta	NOUN	projeta
tempête	NOUN	tempête
pour	ADP	pour
une	DET	un
abaisser	VERB	abaisser
dessus	NOUN	dessus
le	DET	le
par	ADP	par
leurs	DET	leur
vert	VERB	vert
la	DET	le
voile	NOUN	voile
Un	DET	un
bras	NOUN	bras
lorsqu'	SCONJ	lorsque
de	ADP	de
trop	ADV	trop
horrible	ADJ	horrible
le	DET	le
dans	ADP	dans
musculeux	ADJ	musculeux
tissu	NOUN	tissu
les	DET	le
eaux	NOUN	eau
pour	ADP	pour
vaillance	NOUN	vaillance
rayé	VERB	rayer
le	DET	le
de	ADP	de
et	CCONJ	et
effondra	VERB	effondrer
et	CCONJ	et
flanc	NOUN	flanc
aussitôt	ADV	aussitôt
contre	ADP	contre
s'	PRON	se
gouvernail	NOUN	gouvernail
pour	ADP	pour
une	DET	un
Il	PRON	il
se	PRON	se
choc	NOUN	choc
ses	DET	son
tandis	ADV	tandis
luttant	VERB	lutter
abattait	VERB	abattre
lâcha	PROPN	lâcher
l'	DET	le
du	ADP	de
s'	PRON	se
,	PUNCT	,
yeux	NOUN	oeil
le	DET	le
lame	NOUN	lame
pont	NOUN	pont
étourdissement	NOUN	étourdissement
,	PUNCT	,
contre	ADP	contre
.	PUNCT	.
bascula	NOUN	bascula
les	DET	le
qu'	SCONJ	que
redressa	VERB	redresser
Sous	ADP	sous
nouvelle	ADJ	nouveau
plissa	VERB	plisser
le	DET	le
en	ADP	en
Harald	PROPN	Harald
en	ADP	en
le	DET	le
barre	NOUN	barre
avant	ADP	avant
.	PUNCT	.
navire	NOUN	navire
sur	ADP	sur
du	ADP	de
discerner	VERB	discerner
la	DET	le
poussa	VERB	pousser
à	ADP	à
dos	NOUN	dos
avaient	AUX	avoir
frappa	VERB	frapper
Plusieurs	DET	plusieurs
compagnons	NOUN	compagnon
le	DET	le
forces	NOUN	force
fondue	VERB	fondre
mât	NOUN	mât
.	PUNCT	.
;	PUNCT	;
cri	NOUN	cri
de	ADP	de
poing	NOUN	poing
.	PUNCT	.
ami	NOUN	ami
sa	DET	son
été	AUX	être
ciel	NOUN	ciel
son	DET	son
ses	DET	son
le	DET	le
du	ADP	de
rideau	NOUN	rideau
poitrine	NOUN	poitrine
et	CCONJ	et
sur	ADP	sur
à	ADP	à
,	PUNCT	,
toutes	ADJ	tout
neige	NOUN	neige
Harald	PROPN	Harald
la	DET	le
tombant	VERB	tomber
de	ADP	de
hommes	NOUN	homme
du	ADP	de
meilleur	ADJ	meilleur
écrasé	VERB	écraser
mer	VERB	mer
gisait	VERB	gésir
par	ADP	par
le	DET	le
précipités	VERB	précipiter
travers	NOUN	travers
sur	ADP	sur
un	DET	un
,	PUNCT	,
Et	CCONJ	et
fureur	NOUN	fureur
l'	DET	le
!	PUNCT	!
âmes	NOUN	âme
Quel	ADJ	quel
de	ADP	de
et	CCONJ	et
savait	VERB	savoir
Quelle	ADJ	quell
Maudites	ADJ	maudire
soient	AUX	être
deux	NUM	deux
ce	DET	ce
mêlés	VERB	mêler
Knut	PROPN	Knut
...	PUNCT	...
l'	DET	le
de	ADP	de
Tout	ADJ	tout
!	PUNCT	!
rois	NOUN	roi
Harald	PROPN	Harald
de	ADP	de
destinée	VERB	destiner
chagrin	NOUN	chagrin
Magnus	PROPN	Magnus
.	PUNCT	.
et	CCONJ	et
à	ADP	à
autre	PRON	autre
,	PUNCT	,
.	PUNCT	.
les	DET	le
cause	NOUN	cause
affreuse	ADJ	affreux
pourtant	ADV	pourtant
gâchis	ADJ	gâchi
de	ADP	de
,	PUNCT	,
trop	ADV	trop
de	ADP	de
trop	ADV	trop
cruel	ADJ	cruel
.	PUNCT	.
cela	PRON	cela
et	CCONJ	et
faible	ADJ	faible
que	SCONJ	que
un	PRON	un
petits	ADJ	petit
avait	AUX	avoir
instant	NOUN	instant
Le	DET	le
son	DET	son
perfide	ADJ	perfide
drame	NOUN	drame
tout	DET	tout
dos	NOUN	dos
—	VERB	—
cordage	NOUN	cordage
pour	ADP	pour
que	SCONJ	que
,	PUNCT	,
une	DET	un
,	PUNCT	,
et	CCONJ	et
menaçait	VERB	menacer
s'	PRON	se
roulis	NOUN	roulis
ignoble	ADJ	ignoble
le	DET	le
le	DET	le
principal	ADJ	principal
femme	NOUN	femme
responsable	NOUN	responsable
avança	VERB	avancer
à	ADP	à
puis	CCONJ	puis
accentuait	VERB	accentuer
.	PUNCT	.
,	PUNCT	,
femme	NOUN	femme
reprendre	VERB	reprendre
au	ADP	au
une	DET	un
pas	ADV	pas
...	PUNCT	...
équilibre	NOUN	équilibre
drakkar	NOUN	drakkar
Harald	PROPN	Harald
point	NOUN	point
chavirer	VERB	chavirer
agrippa	VERB	agripper
un	DET	un
s'	PRON	se
pour	ADP	pour
à	ADP	à
voûté	ADJ	voûter
de	ADP	de
avait	AUX	avoir
son	DET	son
le	DET	le
lui	PRON	lui
abjecte	ADJ	abject
...	PUNCT	...
vers	ADP	vers
cinglaient	VERB	cingler
elle	PRON	lui
n'	ADV	n'
à	ADP	à
cette	DET	ce
courage	NOUN	courage
hanté	VERB	hanter
!	PUNCT	!
Adrianna	NOUN	adrianna
lutte	NOUN	lutte
aux	ADP	à
Comme	SCONJ	comme
suffisait	VERB	suffire
la	DET	le
de	ADP	de
Comme	SCONJ	comme
.	PUNCT	.
pas	ADV	pas
Non	ADV	non
il	PRON	il
l'	PRON	l'
.	PUNCT	.
pour	ADP	pour
visage	NOUN	visage
!	PUNCT	!
il	PRON	il
femme	NOUN	femme
trouver	VERB	trouver
abandonnerait	VERB	abandonner
